,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,2,リシャール・ガスケ,圭,1.0,,1,201605全仏その１,○,0,0,Deuce,1,0
1,1,,c,1,リシャール・ガスケ,圭,1.0,,1,201605全仏その１,○,15,0,Ad,1,0
2,2,,w,2,リシャール・ガスケ,圭,1.0,,1,201605全仏その１,○,30,0,Deuce,1,0
3,3,,w,2,リシャール・ガスケ,圭,1.0,,1,201605全仏その１,○,40,0,Ad,1,0
4,4,,c,2,リシャール・ガスケ,圭,1.0,,1,201605全仏その１,○,,,Deuce,1,0
5,8,Ac,c,1,リシャール・ガスケ,瓦,1.0,,2,201605全仏その１,×,0,0,Deuce,0,1
6,9,,w,2,リシャール・ガスケ,瓦,1.0,,2,201605全仏その１,×,0,15,Ad,0,1
7,10,,b,2,リシャール・ガスケ,瓦,1.0,,2,201605全仏その１,×,0,30,Deuce,0,1
8,11,,w,1,リシャール・ガスケ,瓦,1.0,164,2,201605全仏その１,×,0,40,Ad,0,1
9,20,,c,1,リシャール・ガスケ,圭,1.0,,3,201605全仏その１,×,0,0,Deuce,0,1
10,21,,c,1,リシャール・ガスケ,圭,1.0,,3,201605全仏その１,×,0,15,Ad,0,1
11,22,Do,o,2,リシャール・ガスケ,圭,1.0,,3,201605全仏その１,×,0,30,Deuce,0,1
12,23,,b,1,リシャール・ガスケ,圭,1.0,,3,201605全仏その１,○,0,40,Ad,1,0
13,24,,b,1,リシャール・ガスケ,圭,1.0,,3,201605全仏その１,×,15,40,Deuce,0,1
14,38,,w,1,リシャール・ガスケ,瓦,1.0,,4,201605全仏その１,○,0,0,Deuce,1,0
15,39,,w,1,リシャール・ガスケ,瓦,1.0,,4,201605全仏その１,○,15,0,Ad,1,0
16,40,,c,1,リシャール・ガスケ,瓦,1.0,,4,201605全仏その１,○,30,0,Deuce,1,0
17,41,,w,1,リシャール・ガスケ,瓦,1.0,,4,201605全仏その１,×,40,0,Ad,0,1
18,42,,w,1,リシャール・ガスケ,瓦,1.0,,4,201605全仏その１,×,40,15,Deuce,0,1
19,43,,w,2,リシャール・ガスケ,瓦,1.0,,4,201605全仏その１,○,40,30,Ad,1,0
20,63,,c,2,リシャール・ガスケ,圭,1.0,,5,201605全仏その１,○,0,0,Deuce,1,0
21,64,,w,1,リシャール・ガスケ,圭,1.0,,5,201605全仏その１,○,15,0,Ad,1,0
22,65,,b,2,リシャール・ガスケ,圭,1.0,,5,201605全仏その１,○,30,0,Deuce,1,0
23,66,,w,1,リシャール・ガスケ,圭,1.0,,5,201605全仏その１,×,40,0,Ad,0,1
24,67,,c,1,リシャール・ガスケ,圭,1.0,,5,201605全仏その１,○,40,15,Deuce,1,0
25,92,,b,2,リシャール・ガスケ,瓦,1.0,,6,201605全仏その１,×,0,0,Deuce,0,1
26,93,,w,2,リシャール・ガスケ,瓦,1.0,,6,201605全仏その１,○,0,15,Ad,1,0
27,94,,w,1,リシャール・ガスケ,瓦,1.0,,6,201605全仏その１,○,15,15,Deuce,1,0
28,95,,b,1,リシャール・ガスケ,瓦,1.0,,6,201605全仏その１,×,30,15,Ad,0,1
29,96,,c,2,リシャール・ガスケ,瓦,1.0,,6,201605全仏その１,○,30,30,Deuce,1,0
30,97,,w,2,リシャール・ガスケ,瓦,1.0,,6,201605全仏その１,○,40,30,Ad,1,0
31,128,,w,2,リシャール・ガスケ,圭,1.0,,7,201605全仏その１,○,0,0,Deuce,1,0
32,129,,c,1,リシャール・ガスケ,圭,1.0,,7,201605全仏その１,×,15,0,Ad,0,1
33,130,,w,1,リシャール・ガスケ,圭,1.0,,7,201605全仏その１,○,15,15,Deuce,1,0
34,131,,w,1,リシャール・ガスケ,圭,1.0,,7,201605全仏その１,×,30,15,Ad,0,1
35,132,,b,2,リシャール・ガスケ,圭,1.0,,7,201605全仏その１,×,30,30,Deuce,0,1
