,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,1,ノバク・ジョコビッチ,如,3,,1,201605ローマその２,○,0,0,Deuce,1,0
1,1,,c,2,ノバク・ジョコビッチ,如,3,,1,201605ローマその２,×,15,0,Ad,0,1
2,2,,c,1,ノバク・ジョコビッチ,如,3,,1,201605ローマその２,×,15,15,Deuce,0,1
3,3,,w,1,ノバク・ジョコビッチ,如,3,,1,201605ローマその２,×,15,30,Ad,0,1
4,4,,w,2,ノバク・ジョコビッチ,如,3,,1,201605ローマその２,×,15,40,Deuce,0,1
5,5,,c,1,ノバク・ジョコビッチ,如,3,,1,201605ローマその２,○,,,Ad,1,0
6,10,,b,2,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,○,0,0,Deuce,1,0
7,11,,c,2,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,×,15,0,Ad,0,1
8,12,,c,1,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,○,15,15,Deuce,1,0
9,13,,c,1,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,×,30,15,Ad,0,1
10,14,,w,1,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,○,30,30,Deuce,1,0
11,15,,w,1,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,×,40,30,Ad,0,1
12,16,,c,2,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,×,40,40,Deuce,0,1
13,17,,c,1,ノバク・ジョコビッチ,圭,3,,2,201605ローマその２,×,40,Ad,Ad,0,1
14,31,,w,2,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,×,0,0,Deuce,0,1
15,32,,w,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,○,0,15,Ad,1,0
16,33,,c,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,○,15,15,Deuce,1,0
17,34,,c,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,×,30,15,Ad,0,1
18,35,,w,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,○,30,30,Deuce,1,0
19,36,,w,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,×,40,30,Ad,0,1
20,37,,w,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,○,40,40,Deuce,1,0
21,38,,w,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,×,Ad,40,Ad,0,1
22,40,,c,1,ノバク・ジョコビッチ,如,3,,3,201605ローマその２,×,40,Ad,Ad,0,1
23,64,,c,2,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,×,0,0,Deuce,0,1
24,65,,b,2,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,○,0,15,Ad,1,0
25,66,,w,1,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,○,15,15,Deuce,1,0
26,67,,w,1,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,○,30,15,Ad,1,0
27,68,,w,2,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,×,40,15,Deuce,0,1
28,69,,w,1,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,×,40,30,Ad,0,1
29,70,Aw,w,1,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,○,40,40,Deuce,1,0
30,71,,w,1,ノバク・ジョコビッチ,圭,3,,4,201605ローマその２,○,Ad,40,Ad,1,0
31,103,,w,1,ノバク・ジョコビッチ,如,3,,5,201605ローマその２,×,0,0,Deuce,0,1
32,104,,w,2,ノバク・ジョコビッチ,如,3,,5,201605ローマその２,○,0,15,Ad,1,0
33,105,,b,2,ノバク・ジョコビッチ,如,3,,5,201605ローマその２,×,15,15,Deuce,0,1
34,106,,c,2,ノバク・ジョコビッチ,如,3,,5,201605ローマその２,○,15,30,Ad,1,0
35,107,,w,1,ノバク・ジョコビッチ,如,3,,5,201605ローマその２,×,30,30,Deuce,0,1
36,108,,c,1,ノバク・ジョコビッチ,如,3,,5,201605ローマその２,×,30,40,Ad,0,1
37,146,,c,1,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,×,0,0,Deuce,0,1
38,147,,c,1,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,×,0,15,Ad,0,1
39,148,,c,2,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,○,0,30,Deuce,1,0
40,149,,w,2,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,○,15,30,Ad,1,0
41,150,,c,1,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,×,30,30,Deuce,0,1
42,151,,w,1,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,○,30,40,Ad,1,0
43,152,,c,1,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,○,40,40,Deuce,1,0
44,153,,b,1,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,×,Ad,40,Ad,0,1
45,155,,c,2,ノバク・ジョコビッチ,圭,3,,6,201605ローマその２,○,40,Ad,Ad,1,0
46,207,,c,1,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,×,0,0,Deuce,0,1
47,208,,c,2,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,○,0,15,Ad,1,0
48,209,,b,2,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,○,15,15,Deuce,1,0
49,210,,w,1,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,×,30,15,Ad,0,1
50,211,,w,1,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,○,30,30,Deuce,1,0
51,212,,w,1,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,×,40,30,Ad,0,1
52,213,,b,2,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,○,40,40,Deuce,1,0
53,214,,w,1,ノバク・ジョコビッチ,如,3,,7,201605ローマその２,×,Ad,40,Ad,0,1
54,276,,w,2,ノバク・ジョコビッチ,圭,3,,8,201605ローマその２,×,0,0,Deuce,0,1
55,277,,w,1,ノバク・ジョコビッチ,圭,3,,8,201605ローマその２,○,0,15,Ad,1,0
56,278,,b,1,ノバク・ジョコビッチ,圭,3,,8,201605ローマその２,○,15,15,Deuce,1,0
57,279,,b,1,ノバク・ジョコビッチ,圭,3,,8,201605ローマその２,○,30,15,Ad,1,0
58,280,,w,1,ノバク・ジョコビッチ,圭,3,,8,201605ローマその２,×,40,15,Deuce,0,1
