,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,1,アンディ・マレー,餡,1.0,,1,201608リオオリンピック,×,0,0,Deuce,0,1
1,1,,w,1,アンディ・マレー,餡,1.0,,1,201608リオオリンピック,×,0,15,Ad,0,1
2,2,,c,1,アンディ・マレー,餡,1.0,,1,201608リオオリンピック,×,0,30,Deuce,0,1
3,3,Ku,c,1,アンディ・マレー,餡,1.0,127,1,201608リオオリンピック,×,0,40,Ad,0,1
4,4,,c,1,アンディ・マレー,餡,1.0,,1,201608リオオリンピック,×,,,Deuce,0,1
5,8,,w,1,アンディ・マレー,圭,1.0,,2,201608リオオリンピック,×,0,0,Deuce,0,1
6,9,,c,2,アンディ・マレー,圭,1.0,,2,201608リオオリンピック,○,0,15,Ad,1,0
7,10,,c,1,アンディ・マレー,圭,1.0,,2,201608リオオリンピック,○,15,15,Deuce,1,0
8,11,,w,2,アンディ・マレー,圭,1.0,,2,201608リオオリンピック,×,30,15,Ad,0,1
9,12,,w,1,アンディ・マレー,圭,1.0,,2,201608リオオリンピック,○,30,30,Deuce,1,0
10,13,,b,2,アンディ・マレー,圭,1.0,,2,201608リオオリンピック,○,40,30,Ad,1,0
11,24,,w,1,アンディ・マレー,餡,1.0,,3,201608リオオリンピック,○,0,0,Deuce,1,0
12,25,,w,2,アンディ・マレー,餡,1.0,,3,201608リオオリンピック,○,15,0,Ad,1,0
13,26,,w,1,アンディ・マレー,餡,1.0,,3,201608リオオリンピック,×,30,0,Deuce,0,1
14,27,,c,1,アンディ・マレー,餡,1.0,,3,201608リオオリンピック,×,30,15,Ad,0,1
15,28,Ac,c,1,アンディ・マレー,餡,1.0,,3,201608リオオリンピック,×,30,30,Deuce,0,1
16,29,Ku,c,1,アンディ・マレー,餡,1.0,131,3,201608リオオリンピック,×,30,40,Ad,0,1
17,46,,c,1,アンディ・マレー,圭,1.0,,4,201608リオオリンピック,×,0,0,Deuce,0,1
18,47,,w,2,アンディ・マレー,圭,1.0,,4,201608リオオリンピック,×,0,15,Ad,0,1
19,48,,b,2,アンディ・マレー,圭,1.0,,4,201608リオオリンピック,○,0,30,Deuce,1,0
20,49,,c,1,アンディ・マレー,圭,1.0,,4,201608リオオリンピック,○,15,30,Ad,1,0
21,50,,c,1,アンディ・マレー,圭,1.0,,4,201608リオオリンピック,○,30,30,Deuce,1,0
22,51,,w,1,アンディ・マレー,圭,1.0,,4,201608リオオリンピック,×,40,30,Ad,0,1
23,52,,b,2,アンディ・マレー,圭,1.0,,4,201608リオオリンピック,×,40,40,Deuce,0,1
