,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,2,スタンワウリンカ,輪,1,,1,201608USオープンその２,×,0,0,Deuce,0,1
1,1,,w,1,スタンワウリンカ,輪,1,,1,201608USオープンその２,×,0,15,Ad,0,1
2,2,,c,1,スタンワウリンカ,輪,1,,1,201608USオープンその２,×,0,30,Deuce,0,1
3,3,,c,1,スタンワウリンカ,輪,1,,1,201608USオープンその２,×,0,40,Ad,0,1
4,4,,w,1,スタンワウリンカ,圭,1,,2,201608USオープンその２,○,0,0,Deuce,1,0
5,5,,w,1,スタンワウリンカ,圭,1,,2,201608USオープンその２,○,15,0,Ad,1,0
6,6,,w,1,スタンワウリンカ,圭,1,,2,201608USオープンその２,×,30,0,Deuce,0,1
7,7,,c,1,スタンワウリンカ,圭,1,,2,201608USオープンその２,○,30,15,Ad,1,0
8,8,,,,スタンワウリンカ,圭,1,,2,201608USオープンその２,○,40,15,Deuce,1,0
9,9,,c,1,スタンワウリンカ,輪,1,,3,201608USオープンその２,×,0,0,Deuce,0,1
10,10,,c,1,スタンワウリンカ,輪,1,,3,201608USオープンその２,×,0,15,Ad,0,1
11,11,,c,2,スタンワウリンカ,輪,1,,3,201608USオープンその２,○,0,30,Deuce,1,0
12,12,,c,1,スタンワウリンカ,輪,1,,3,201608USオープンその２,×,15,30,Ad,0,1
13,13,,w,2,スタンワウリンカ,輪,1,,3,201608USオープンその２,×,15,40,Deuce,0,1
14,14,,c,2,スタンワウリンカ,圭,1,,4,201608USオープンその２,○,0,0,Deuce,1,0
15,15,,b,1,スタンワウリンカ,圭,1,,4,201608USオープンその２,○,15,0,Ad,1,0
16,16,,w,1,スタンワウリンカ,圭,1,,4,201608USオープンその２,○,30,0,Deuce,1,0
17,17,,,,スタンワウリンカ,圭,1,,4,201608USオープンその２,○,40,0,Ad,1,0
18,18,Dn,n,2,スタンワウリンカ,輪,1,,5,201608USオープンその２,○,0,0,Deuce,1,0
19,19,,b,2,スタンワウリンカ,輪,1,,5,201608USオープンその２,×,15,0,Ad,0,1
20,20,,c,1,スタンワウリンカ,輪,1,,5,201608USオープンその２,○,15,15,Deuce,1,0
21,21,,w,2,スタンワウリンカ,輪,1,,5,201608USオープンその２,○,30,15,Ad,1,0
22,22,,w,1,スタンワウリンカ,輪,1,,5,201608USオープンその２,○,40,15,Deuce,1,0
23,23,,c,1,スタンワウリンカ,圭,1,,6,201608USオープンその２,○,0,0,Deuce,1,0
24,24,,c,1,スタンワウリンカ,圭,1,,6,201608USオープンその２,○,15,0,Ad,1,0
25,25,Dn,n,2,スタンワウリンカ,圭,1,,6,201608USオープンその２,×,30,0,Deuce,0,1
26,26,,w,1,スタンワウリンカ,圭,1,,6,201608USオープンその２,○,30,15,Ad,1,0
27,27,,b,2,スタンワウリンカ,圭,1,,6,201608USオープンその２,○,40,15,Deuce,1,0
28,56,Aw,w,1,スタンワウリンカ,輪,1,,7,201608USオープンその２,×,0,0,Deuce,0,1
29,57,Ac,c,1,スタンワウリンカ,輪,1,,7,201608USオープンその２,×,0,15,Ad,0,1
30,58,Aw,w,1,スタンワウリンカ,輪,1,,7,201608USオープンその２,×,0,30,Deuce,0,1
31,59,,c,1,スタンワウリンカ,輪,1,,7,201608USオープンその２,○,0,40,Ad,1,0
32,60,,w,1,スタンワウリンカ,輪,1,,7,201608USオープンその２,×,15,40,Deuce,0,1
33,94,,w,1,スタンワウリンカ,圭,1,,8,201608USオープンその２,○,0,0,Deuce,1,0
34,95,,b,1,スタンワウリンカ,圭,1,,8,201608USオープンその２,○,15,0,Ad,1,0
35,96,,w,2,スタンワウリンカ,圭,1,,8,201608USオープンその２,○,30,0,Deuce,1,0
36,97,,w,1,スタンワウリンカ,圭,1,,8,201608USオープンその２,○,40,0,Ad,1,0
37,135,,w,1,スタンワウリンカ,輪,1,,9,201608USオープンその２,○,0,0,Deuce,1,0
38,136,,w,1,スタンワウリンカ,輪,1,,9,201608USオープンその２,×,15,0,Ad,0,1
39,137,Aw,w,1,スタンワウリンカ,輪,1,,9,201608USオープンその２,×,15,15,Deuce,0,1
40,138,,c,1,スタンワウリンカ,輪,1,,9,201608USオープンその２,×,15,30,Ad,0,1
41,139,Ku,c,1,スタンワウリンカ,輪,1,,9,201608USオープンその２,×,15,40,Deuce,0,1
42,182,,c,1,スタンワウリンカ,圭,1,,10,201608USオープンその２,○,0,0,Deuce,1,0
43,183,,b,1,スタンワウリンカ,圭,1,,10,201608USオープンその２,○,15,0,Ad,1,0
44,184,,b,2,スタンワウリンカ,圭,1,,10,201608USオープンその２,×,30,0,Deuce,0,1
45,185,Ds,s,2,スタンワウリンカ,圭,1,,10,201608USオープンその２,×,30,15,Ad,0,1
46,186,,w,1,スタンワウリンカ,圭,1,,10,201608USオープンその２,○,30,30,Deuce,1,0
47,187,Aw,w,1,スタンワウリンカ,圭,1,,10,201608USオープンその２,○,40,30,Ad,1,0
48,0,,b,2,スタンワウリンカ,輪,2,,1,201608USオープンその２,○,0,0,Deuce,1,0
49,1,,w,2,スタンワウリンカ,輪,2,,1,201608USオープンその２,○,15,0,Ad,1,0
50,2,,c,2,スタンワウリンカ,輪,2,,1,201608USオープンその２,○,30,0,Deuce,1,0
51,3,,c,1,スタンワウリンカ,輪,2,,1,201608USオープンその２,×,40,0,Ad,0,1
52,4,,w,1,スタンワウリンカ,輪,2,,1,201608USオープンその２,○,40,15,Deuce,1,0
