,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,パオロ・ロレンツィ,圭,1.0,,1,201610バーゼル,○,0,0,Deuce,1,0
1,1,,w,1,パオロ・ロレンツィ,圭,1.0,,1,201610バーゼル,○,15,0,Ad,1,0
2,2,,c,2,パオロ・ロレンツィ,圭,1.0,,1,201610バーゼル,○,30,0,Deuce,1,0
3,3,Ds,s,2,パオロ・ロレンツィ,圭,1.0,,1,201610バーゼル,×,40,0,Ad,0,1
4,4,,w,1,パオロ・ロレンツィ,圭,1.0,,1,201610バーゼル,×,40,15,Deuce,0,1
5,5,,c,2,パオロ・ロレンツィ,圭,1.0,177,1,201610バーゼル,○,40,30,Ad,1,0
6,6,,w,1,パオロ・ロレンツィ,圭,1.0,,1,201610バーゼル,○,,,Deuce,1,0
7,12,,w,2,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,○,0,0,Deuce,1,0
8,13,,w,2,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,×,15,0,Ad,0,1
9,14,,c,2,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,○,15,15,Deuce,1,0
10,15,,w,1,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,○,30,15,Ad,1,0
11,16,,c,2,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,×,40,15,Deuce,0,1
12,17,,w,2,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,×,40,30,Ad,0,1
13,18,,b,2,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,×,40,40,Deuce,0,1
14,19,,w,2,パオロ・ロレンツィ,蓮,1.0,,2,201610バーゼル,×,40,Ad,Ad,0,1
15,34,,c,2,パオロ・ロレンツィ,圭,1.0,,3,201610バーゼル,○,0,0,Deuce,1,0
16,35,,w,1,パオロ・ロレンツィ,圭,1.0,,3,201610バーゼル,×,15,0,Ad,0,1
17,36,,c,2,パオロ・ロレンツィ,圭,1.0,,3,201610バーゼル,×,15,15,Deuce,0,1
18,37,,c,1,パオロ・ロレンツィ,圭,1.0,,3,201610バーゼル,○,15,30,Ad,1,0
19,38,,w,1,パオロ・ロレンツィ,圭,1.0,,3,201610バーゼル,○,30,30,Deuce,1,0
20,39,,w,2,パオロ・ロレンツィ,圭,1.0,,3,201610バーゼル,×,40,30,Ad,0,1
21,40,,b,1,パオロ・ロレンツィ,圭,1.0,,3,201610バーゼル,○,40,40,Deuce,1,0
