,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,Do,o,2,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,○,0,0,Deuce,1,0
1,1,,w,1,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,×,15,0,Ad,0,1
2,2,,w,1,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,○,15,15,Deuce,1,0
3,3,,w,1,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,○,30,15,Ad,1,0
4,4,,w,2,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,×,40,15,Deuce,0,1
5,5,,w,2,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,×,40,30,Ad,0,1
6,6,,c,1,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,×,40,40,Deuce,0,1
7,7,,w,2,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,○,40,Ad,Ad,1,0
8,10,,b,2,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,○,0,0,Deuce,1,0
9,11,,c,1,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,×,15,0,Ad,0,1
10,12,,b,2,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,○,15,15,Deuce,1,0
11,13,,c,1,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,×,30,15,Ad,0,1
12,14,,w,1,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,○,30,30,Deuce,1,0
13,15,,c,1,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,○,40,30,Ad,1,0
14,16,,b,1,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,×,0,0,Deuce,0,1
15,17,,b,2,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,○,0,15,Ad,1,0
16,18,,c,1,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,×,15,15,Deuce,0,1
17,19,,c,1,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,×,15,30,Ad,0,1
18,20,,c,2,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,×,15,40,Deuce,0,1
19,21,,w,2,ビクトル・トロイツキ,圭,2.0,,4,201610パリ,○,0,0,Deuce,1,0
20,22,,w,1,ビクトル・トロイツキ,圭,2.0,,4,201610パリ,○,15,0,Ad,1,0
21,23,,b,2,ビクトル・トロイツキ,圭,2.0,,4,201610パリ,×,30,0,Deuce,0,1
22,24,,w,1,ビクトル・トロイツキ,圭,2.0,,4,201610パリ,○,30,15,Ad,1,0
23,25,,c,2,ビクトル・トロイツキ,圭,2.0,,4,201610パリ,○,40,15,Deuce,1,0
24,26,,w,2,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,×,0,0,Deuce,0,1
25,27,,b,2,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,○,0,15,Ad,1,0
26,28,,c,1,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,○,15,15,Deuce,1,0
27,29,Ac,c,1,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,×,30,15,Ad,0,1
28,30,,c,2,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,○,30,30,Deuce,1,0
29,31,Dn,n,2,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,○,40,30,Ad,1,0
30,32,,w,1,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,○,0,0,Deuce,1,0
31,33,,b,2,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,○,15,0,Ad,1,0
32,34,,w,2,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,×,30,0,Deuce,0,1
33,35,,w,1,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,○,30,15,Ad,1,0
34,36,,w,1,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,○,40,15,Deuce,1,0
35,37,,w,1,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,×,0,0,Deuce,0,1
36,38,,w,2,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,×,0,15,Ad,0,1
37,39,,b,2,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,○,0,30,Deuce,1,0
38,40,,w,1,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,○,15,30,Ad,1,0
39,41,,w,2,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,○,30,30,Deuce,1,0
40,42,,w,2,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,×,40,30,Ad,0,1
41,43,,c,1,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,×,40,40,Deuce,0,1
42,44,Ds,s,2,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,○,40,Ad,Ad,1,0
43,46,,w,2,ビクトル・トロイツキ,瀞,2.0,,7,201610パリ,○,Ad,40,Ad,1,0
44,47,,b,2,ビクトル・トロイツキ,圭,2.0,,8,201610パリ,○,0,0,Deuce,1,0
45,48,,w,1,ビクトル・トロイツキ,圭,2.0,,8,201610パリ,×,15,0,Ad,0,1
46,49,,b,1,ビクトル・トロイツキ,圭,2.0,,8,201610パリ,○,15,15,Deuce,1,0
47,50,,w,1,ビクトル・トロイツキ,圭,2.0,,8,201610パリ,○,30,15,Ad,1,0
48,51,,w,1,ビクトル・トロイツキ,圭,2.0,,8,201610パリ,○,40,15,Deuce,1,0
49,54,,b,2,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,○,30,0,Deuce,1,0
50,55,,w,2,ビクトル・トロイツキ,瀞,2.0,,1,201610パリ,○,40,0,Ad,1,0
51,59,,w,1,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,○,15,30,Ad,1,0
52,61,,c,2,ビクトル・トロイツキ,圭,2.0,,2,201610パリ,×,30,40,Ad,0,1
53,64,,c,1,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,○,0,30,Deuce,1,0
54,67,,w,2,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,○,30,40,Ad,1,0
55,68,,w,1,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,○,40,40,Deuce,1,0
56,69,Ac,c,1,ビクトル・トロイツキ,瀞,2.0,,3,201610パリ,×,Ad,40,Ad,0,1
57,73,,b,1,ビクトル・トロイツキ,圭,2.0,,4,201610パリ,○,0,15,Ad,1,0
58,74,,w,1,ビクトル・トロイツキ,圭,2.0,,4,201610パリ,○,15,15,Deuce,1,0
59,82,,w,1,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,○,30,40,Ad,1,0
60,83,,w,2,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,×,40,40,Deuce,0,1
61,84,,b,2,ビクトル・トロイツキ,瀞,2.0,,5,201610パリ,×,40,Ad,Ad,0,1
62,86,,w,1,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,○,0,15,Ad,1,0
63,87,,w,1,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,×,15,15,Deuce,0,1
64,88,,w,1,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,×,15,30,Ad,0,1
65,89,,b,2,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,○,15,40,Deuce,1,0
66,90,,w,1,ビクトル・トロイツキ,圭,2.0,,6,201610パリ,×,30,40,Ad,0,1
67,96,,c,1,ビクトル・トロイツキ,圭,2.0,,8,201610パリ,×,30,0,Deuce,0,1
68,99,Ac,c,1,ビクトル・トロイツキ,瀞,2.0,,9,201610パリ,×,0,0,Deuce,0,1
69,100,,w,2,ビクトル・トロイツキ,瀞,2.0,,9,201610パリ,○,0,15,Ad,1,0
70,101,,w,1,ビクトル・トロイツキ,瀞,2.0,,9,201610パリ,×,15,15,Deuce,0,1
71,102,,c,1,ビクトル・トロイツキ,瀞,2.0,,9,201610パリ,×,15,30,Ad,0,1
72,103,Ac,c,1,ビクトル・トロイツキ,瀞,2.0,,9,201610パリ,×,15,40,Deuce,0,1
73,104,,w,1,ビクトル・トロイツキ,圭,2.0,,10,201610パリ,○,0,0,Deuce,1,0
74,105,,b,1,ビクトル・トロイツキ,圭,2.0,,10,201610パリ,×,15,0,Ad,0,1
75,106,,b,2,ビクトル・トロイツキ,圭,2.0,,10,201610パリ,○,15,15,Deuce,1,0
76,107,,c,1,ビクトル・トロイツキ,圭,2.0,,10,201610パリ,○,30,15,Ad,1,0
77,108,,b,1,ビクトル・トロイツキ,圭,2.0,,10,201610パリ,○,40,15,Deuce,1,0
78,109,,w,2,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,○,0,0,Deuce,1,0
79,110,,c,1,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,○,15,0,Ad,1,0
80,111,,c,2,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,×,30,0,Deuce,0,1
81,112,,w,1,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,×,30,15,Ad,0,1
82,113,,w,1,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,×,30,30,Deuce,0,1
83,114,,b,2,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,○,30,40,Ad,1,0
84,115,,w,2,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,○,40,40,Deuce,1,0
85,116,,c,1,ビクトル・トロイツキ,瀞,2.0,,11,201610パリ,○,Ad,40,Ad,1,0
86,117,,w,2,ビクトル・トロイツキ,圭,2.0,,12,201610パリ,○,0,0,Deuce,1,0
87,118,,c,1,ビクトル・トロイツキ,圭,2.0,,12,201610パリ,○,15,0,Ad,1,0
88,119,,c,1,ビクトル・トロイツキ,圭,2.0,,12,201610パリ,○,30,0,Deuce,1,0
89,120,,b,1,ビクトル・トロイツキ,圭,2.0,,12,201610パリ,○,40,0,Ad,1,0
90,0,Dn,n,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,1,201610パリ,○,0,0,Deuce,1,0
91,1,,w,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,1,201610パリ,○,15,0,Ad,1,0
92,2,,b,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,1,201610パリ,×,30,0,Deuce,0,1
93,3,,b,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,1,201610パリ,○,30,15,Ad,1,0
94,4,Ac,c,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,1,201610パリ,×,40,15,Deuce,0,1
95,5,,w,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,1,201610パリ,○,40,30,Ad,1,0
96,6,,c,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,2,201610パリ,○,0,0,Deuce,1,0
97,7,,w,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,2,201610パリ,×,15,0,Ad,0,1
98,8,,c,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,2,201610パリ,○,15,15,Deuce,1,0
99,9,,w,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,2,201610パリ,○,30,15,Ad,1,0
100,10,,c,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,2,201610パリ,×,40,15,Deuce,0,1
101,11,,c,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,2,201610パリ,○,40,30,Ad,1,0
102,24,,c,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,3,201610パリ,○,0,0,Deuce,1,0
103,25,,w,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,3,201610パリ,○,15,0,Ad,1,0
104,26,,w,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,3,201610パリ,○,30,0,Deuce,1,0
105,27,Ac,c,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,3,201610パリ,×,40,0,Ad,0,1
106,28,,w,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,3,201610パリ,○,40,15,Deuce,1,0
107,46,,c,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,×,0,0,Deuce,0,1
108,47,,w,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,○,0,15,Ad,1,0
109,48,Ac,c,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,○,15,15,Deuce,1,0
110,49,,w,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,○,30,15,Ad,1,0
111,50,,w,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,×,40,15,Deuce,0,1
112,51,Do,o,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,×,40,30,Ad,0,1
113,52,,w,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,○,40,40,Deuce,1,0
114,53,,b,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,4,201610パリ,○,Ad,40,Ad,1,0
115,79,Ac,c,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,×,0,0,Deuce,0,1
116,80,Do,o,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,○,0,15,Ad,1,0
117,81,Ac,c,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,×,15,15,Deuce,0,1
118,82,Do,o,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,○,15,30,Ad,1,0
119,83,,w,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,×,30,30,Deuce,0,1
120,84,,w,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,○,30,40,Ad,1,0
121,85,,b,2,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,○,40,40,Deuce,1,0
122,86,,w,1,ジョー・ウィルフリード・ツォンガ,城,1.0,,5,201610パリ,○,Ad,40,Ad,1,0
123,120,Aw,w,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,6,201610パリ,○,0,0,Deuce,1,0
124,121,,w,2,ジョー・ウィルフリード・ツォンガ,圭,1.0,,6,201610パリ,○,15,0,Ad,1,0
125,122,,c,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,6,201610パリ,○,30,0,Deuce,1,0
126,123,,c,1,ジョー・ウィルフリード・ツォンガ,圭,1.0,,6,201610パリ,○,40,0,Ad,1,0
127,0,,w,1,ジョー・ウィルフリード・ツォンガ,城,2.0,,1,201610パリ,×,0,0,Deuce,0,1
128,1,,w,2,ジョー・ウィルフリード・ツォンガ,城,2.0,,1,201610パリ,×,0,15,Ad,0,1
129,2,,c,2,ジョー・ウィルフリード・ツォンガ,城,2.0,,1,201610パリ,○,0,30,Deuce,1,0
130,3,Ac,c,1,ジョー・ウィルフリード・ツォンガ,城,2.0,,1,201610パリ,×,15,30,Ad,0,1
131,4,,c,1,ジョー・ウィルフリード・ツォンガ,城,2.0,195,1,201610パリ,×,15,40,Deuce,0,1
132,5,,w,1,ジョー・ウィルフリード・ツォンガ,城,2.0,,1,201610パリ,×,,,Ad,0,1
133,10,,c,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,○,0,0,Deuce,1,0
134,11,,b,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,○,15,0,Ad,1,0
135,12,,c,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,×,30,0,Deuce,0,1
136,13,,w,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,×,30,15,Ad,0,1
137,14,,w,2,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,×,30,30,Deuce,0,1
138,15,,w,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,○,30,40,Ad,1,0
139,16,,b,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,×,40,40,Deuce,0,1
140,17,Ac,c,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,○,40,Ad,Ad,1,0
141,19,,b,1,ジョー・ウィルフリード・ツォンガ,圭,2.0,,2,201610パリ,○,Ad,40,Ad,1,0
