,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,スタン・ワウリンカ,泡,1,,1,201611WTF,○,0,0,Deuce,1,0
1,1,,w,1,スタン・ワウリンカ,泡,1,,1,201611WTF,×,15,0,Ad,0,1
2,2,Ds,s,2,スタン・ワウリンカ,泡,1,,1,201611WTF,○,15,15,Deuce,1,0
3,3,,w,2,スタン・ワウリンカ,泡,1,,1,201611WTF,○,30,15,Ad,1,0
4,4,,c,2,スタン・ワウリンカ,泡,1,,1,201611WTF,×,40,15,Deuce,0,1
5,5,,c,1,スタン・ワウリンカ,泡,1,,1,201611WTF,×,40,30,Ad,0,1
6,6,,c,2,スタン・ワウリンカ,泡,1,,1,201611WTF,×,40,40,Deuce,0,1
7,7,,w,2,スタン・ワウリンカ,泡,1,,1,201611WTF,×,40,Ad,Ad,0,1
8,8,,w,1,スタン・ワウリンカ,泡,1,,1,201611WTF,○,,,Deuce,1,0
9,16,,b,2,スタン・ワウリンカ,圭,1,,2,201611WTF,○,0,0,Deuce,1,0
10,17,,c,1,スタン・ワウリンカ,圭,1,,2,201611WTF,○,15,0,Ad,1,0
11,18,,b,2,スタン・ワウリンカ,圭,1,,2,201611WTF,○,30,0,Deuce,1,0
12,19,,b,1,スタン・ワウリンカ,圭,1,,2,201611WTF,×,40,0,Ad,0,1
13,20,,c,1,スタン・ワウリンカ,圭,1,,2,201611WTF,×,40,15,Deuce,0,1
14,21,,w,1,スタン・ワウリンカ,圭,1,,2,201611WTF,○,40,30,Ad,1,0
15,36,Ac,c,1,スタン・ワウリンカ,泡,1,,3,201611WTF,×,0,0,Deuce,0,1
16,37,Ac,c,1,スタン・ワウリンカ,泡,1,,3,201611WTF,×,0,15,Ad,0,1
17,38,,c,1,スタン・ワウリンカ,泡,1,,3,201611WTF,×,0,30,Deuce,0,1
18,39,,c,1,スタン・ワウリンカ,泡,1,,3,201611WTF,×,0,40,Ad,0,1
19,58,,c,1,スタン・ワウリンカ,圭,1,,4,201611WTF,○,0,0,Deuce,1,0
20,59,,c,1,スタン・ワウリンカ,圭,1,,4,201611WTF,○,15,0,Ad,1,0
21,60,,c,1,スタン・ワウリンカ,圭,1,,4,201611WTF,×,30,0,Deuce,0,1
22,61,,w,1,スタン・ワウリンカ,圭,1,,4,201611WTF,○,30,15,Ad,1,0
23,62,Aw,w,1,スタン・ワウリンカ,圭,1,,4,201611WTF,○,40,15,Deuce,1,0
24,86,,w,2,スタン・ワウリンカ,泡,1,,5,201611WTF,○,0,0,Deuce,1,0
25,87,,c,1,スタン・ワウリンカ,泡,1,,5,201611WTF,×,15,0,Ad,0,1
26,88,,c,1,スタン・ワウリンカ,泡,1,,5,201611WTF,○,15,15,Deuce,1,0
27,89,,c,1,スタン・ワウリンカ,泡,1,,5,201611WTF,×,30,15,Ad,0,1
28,90,,w,1,スタン・ワウリンカ,泡,1,,5,201611WTF,○,30,30,Deuce,1,0
29,91,,w,2,スタン・ワウリンカ,泡,1,,5,201611WTF,×,40,30,Ad,0,1
30,92,,w,1,スタン・ワウリンカ,泡,1,,5,201611WTF,○,40,40,Deuce,1,0
31,93,,w,1,スタン・ワウリンカ,泡,1,,5,201611WTF,○,Ad,40,Ad,1,0
32,125,,w,1,スタン・ワウリンカ,圭,1,,6,201611WTF,○,0,0,Deuce,1,0
33,126,Ac,c,1,スタン・ワウリンカ,圭,1,,6,201611WTF,○,15,0,Ad,1,0
34,127,,b,2,スタン・ワウリンカ,圭,1,,6,201611WTF,○,30,0,Deuce,1,0
35,128,,w,2,スタン・ワウリンカ,圭,1,,6,201611WTF,×,40,0,Ad,0,1
36,129,,b,2,スタン・ワウリンカ,圭,1,,6,201611WTF,○,40,15,Deuce,1,0
37,166,,c,2,スタン・ワウリンカ,泡,1,,7,201611WTF,○,0,0,Deuce,1,0
38,167,Do,o,2,スタン・ワウリンカ,泡,1,,7,201611WTF,○,15,0,Ad,1,0
39,168,,c,2,スタン・ワウリンカ,泡,1,,7,201611WTF,×,30,0,Deuce,0,1
40,169,,w,2,スタン・ワウリンカ,泡,1,,7,201611WTF,○,30,15,Ad,1,0
41,170,Dn,n,2,スタン・ワウリンカ,泡,1,,7,201611WTF,○,40,15,Deuce,1,0
42,212,,c,2,スタン・ワウリンカ,圭,1,,8,201611WTF,○,0,0,Deuce,1,0
43,213,,b,2,スタン・ワウリンカ,圭,1,,8,201611WTF,○,15,0,Ad,1,0
44,214,Ac,c,1,スタン・ワウリンカ,圭,1,,8,201611WTF,○,30,0,Deuce,1,0
45,215,,w,2,スタン・ワウリンカ,圭,1,,8,201611WTF,○,40,0,Ad,1,0
46,0,Aw,w,1,スタン・ワウリンカ,泡,2,,1,201611WTF,×,0,0,Deuce,0,1
47,1,,w,1,スタン・ワウリンカ,泡,2,,1,201611WTF,×,0,15,Ad,0,1
48,2,,c,1,スタン・ワウリンカ,泡,2,,1,201611WTF,×,0,30,Deuce,0,1
49,3,,w,1,スタン・ワウリンカ,泡,2,,1,201611WTF,○,0,40,Ad,1,0
50,4,,c,2,スタン・ワウリンカ,泡,2,,1,201611WTF,×,15,40,Deuce,0,1
51,5,,w,1,スタン・ワウリンカ,圭,2,,2,201611WTF,○,0,0,Deuce,1,0
52,6,,c,2,スタン・ワウリンカ,圭,2,,2,201611WTF,○,15,0,Ad,1,0
53,7,,b,1,スタン・ワウリンカ,圭,2,,2,201611WTF,○,30,0,Deuce,1,0
54,8,,w,1,スタン・ワウリンカ,圭,2,,2,201611WTF,×,40,0,Ad,0,1
55,9,,c,1,スタン・ワウリンカ,圭,2,,2,201611WTF,○,40,15,Deuce,1,0
56,20,,b,1,スタン・ワウリンカ,泡,2,,3,201611WTF,○,0,0,Deuce,1,0
57,21,,w,1,スタン・ワウリンカ,泡,2,,3,201611WTF,×,15,0,Ad,0,1
58,22,,b,1,スタン・ワウリンカ,泡,2,,3,201611WTF,○,15,15,Deuce,1,0
59,23,,c,1,スタン・ワウリンカ,泡,2,,3,201611WTF,×,30,15,Ad,0,1
60,24,As,s,1,スタン・ワウリンカ,泡,2,,3,201611WTF,×,30,30,Deuce,0,1
61,25,,w,1,スタン・ワウリンカ,泡,2,,3,201611WTF,○,30,40,Ad,1,0
62,26,,w,1,スタン・ワウリンカ,泡,2,,3,201611WTF,×,40,40,Deuce,0,1
63,27,,w,1,スタン・ワウリンカ,泡,2,,3,201611WTF,×,40,Ad,Ad,0,1
64,46,,b,2,スタン・ワウリンカ,圭,2,,4,201611WTF,○,0,0,Deuce,1,0
65,47,,c,2,スタン・ワウリンカ,圭,2,,4,201611WTF,×,15,0,Ad,0,1
66,48,,w,2,スタン・ワウリンカ,圭,2,,4,201611WTF,○,15,15,Deuce,1,0
67,49,Dn,n,2,スタン・ワウリンカ,圭,2,,4,201611WTF,○,30,15,Ad,1,0
68,50,,w,2,スタン・ワウリンカ,圭,2,,4,201611WTF,×,40,15,Deuce,0,1
69,51,,w,1,スタン・ワウリンカ,圭,2,,4,201611WTF,×,40,30,Ad,0,1
70,52,,b,1,スタン・ワウリンカ,圭,2,,4,201611WTF,○,40,40,Deuce,1,0
71,53,,,,スタン・ワウリンカ,圭,2,,4,201611WTF,○,Ad,40,Ad,1,0
72,80,,w,2,スタン・ワウリンカ,泡,2,,5,201611WTF,×,0,0,Deuce,0,1
73,81,,w,2,スタン・ワウリンカ,泡,2,,5,201611WTF,○,0,15,Ad,1,0
74,82,,w,1,スタン・ワウリンカ,泡,2,,5,201611WTF,×,15,15,Deuce,0,1
75,83,,w,1,スタン・ワウリンカ,泡,2,,5,201611WTF,×,15,30,Ad,0,1
76,84,,w,1,スタン・ワウリンカ,泡,2,,5,201611WTF,○,15,40,Deuce,1,0
77,85,,w,1,スタン・ワウリンカ,泡,2,,5,201611WTF,○,30,40,Ad,1,0
78,86,,b,2,スタン・ワウリンカ,泡,2,,5,201611WTF,○,40,40,Deuce,1,0
79,120,,c,2,スタン・ワウリンカ,圭,2,,6,201611WTF,○,0,0,Deuce,1,0
80,121,,c,1,スタン・ワウリンカ,圭,2,,6,201611WTF,○,15,0,Ad,1,0
81,122,,c,2,スタン・ワウリンカ,圭,2,,6,201611WTF,○,30,0,Deuce,1,0
82,123,Aw,w,1,スタン・ワウリンカ,圭,2,,6,201611WTF,○,40,0,Ad,1,0
83,161,,c,1,スタン・ワウリンカ,泡,2,,7,201611WTF,×,0,0,Deuce,0,1
84,162,,c,1,スタン・ワウリンカ,泡,2,,7,201611WTF,○,0,15,Ad,1,0
85,163,,c,2,スタン・ワウリンカ,泡,2,,7,201611WTF,×,15,15,Deuce,0,1
86,164,,c,1,スタン・ワウリンカ,泡,2,,7,201611WTF,×,15,30,Ad,0,1
87,165,,c,2,スタン・ワウリンカ,泡,2,,7,201611WTF,○,15,40,Deuce,1,0
88,166,,g,2,スタン・ワウリンカ,泡,2,,7,201611WTF,×,30,40,Ad,0,1
89,210,,b,1,スタン・ワウリンカ,圭,2,,8,201611WTF,○,0,0,Deuce,1,0
90,211,Aw,w,1,スタン・ワウリンカ,圭,2,,8,201611WTF,○,15,0,Ad,1,0
91,212,,w,2,スタン・ワウリンカ,圭,2,,8,201611WTF,×,30,0,Deuce,0,1
92,213,,w,2,スタン・ワウリンカ,圭,2,,8,201611WTF,○,30,15,Ad,1,0
93,214,,c,1,スタン・ワウリンカ,圭,2,,8,201611WTF,×,40,15,Deuce,0,1
94,215,,w,2,スタン・ワウリンカ,圭,2,,8,201611WTF,○,40,30,Ad,1,0
