,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,ジャレド・ドナルドソン,圭,1.0,,1,201701ブリスベンATP250,○,0,0,Deuce,1,0
1,1,,w,2,ジャレド・ドナルドソン,圭,1.0,,1,201701ブリスベンATP250,○,15,0,Ad,1,0
2,2,,b,2,ジャレド・ドナルドソン,圭,1.0,,1,201701ブリスベンATP250,○,30,0,Deuce,1,0
3,3,,b,2,ジャレド・ドナルドソン,圭,1.0,,1,201701ブリスベンATP250,×,40,0,Ad,0,1
4,4,,w,1,ジャレド・ドナルドソン,圭,1.0,,1,201701ブリスベンATP250,○,40,15,Deuce,1,0
5,5,,w,1,ジャレド・ドナルドソン,圭,1.0,,1,201701ブリスベンATP250,○,,,Ad,1,0
6,10,,?,1,ジャレド・ドナルドソン,土,1.0,,2,201701ブリスベンATP250,×,0,0,Deuce,0,1
7,11,,w,2,ジャレド・ドナルドソン,土,1.0,,2,201701ブリスベンATP250,○,0,15,Ad,1,0
8,12,,c,2,ジャレド・ドナルドソン,土,1.0,,2,201701ブリスベンATP250,○,15,15,Deuce,1,0
9,13,,b,2,ジャレド・ドナルドソン,土,1.0,,2,201701ブリスベンATP250,○,30,15,Ad,1,0
10,14,,w,1,ジャレド・ドナルドソン,土,1.0,,2,201701ブリスベンATP250,○,40,15,Deuce,1,0
11,25,,b,2,ジャレド・ドナルドソン,圭,1.0,,3,201701ブリスベンATP250,×,0,0,Deuce,0,1
12,26,,w,1,ジャレド・ドナルドソン,圭,1.0,,3,201701ブリスベンATP250,○,0,15,Ad,1,0
13,27,,w,1,ジャレド・ドナルドソン,圭,1.0,,3,201701ブリスベンATP250,×,15,15,Deuce,0,1
14,28,,w,2,ジャレド・ドナルドソン,圭,1.0,,3,201701ブリスベンATP250,○,15,30,Ad,1,0
15,29,,b,1,ジャレド・ドナルドソン,圭,1.0,,3,201701ブリスベンATP250,○,30,30,Deuce,1,0
16,30,,,,ジャレド・ドナルドソン,圭,1.0,,3,201701ブリスベンATP250,○,40,30,Ad,1,0
17,47,,c,2,ジャレド・ドナルドソン,土,1.0,,4,201701ブリスベンATP250,○,0,0,Deuce,1,0
18,48,Dn,n,2,ジャレド・ドナルドソン,土,1.0,,4,201701ブリスベンATP250,○,15,0,Ad,1,0
19,49,,b,2,ジャレド・ドナルドソン,土,1.0,,4,201701ブリスベンATP250,×,30,0,Deuce,0,1
20,50,,w,2,ジャレド・ドナルドソン,土,1.0,,4,201701ブリスベンATP250,○,30,15,Ad,1,0
21,51,,c,1,ジャレド・ドナルドソン,土,1.0,,4,201701ブリスベンATP250,○,40,15,Deuce,1,0
22,73,,w,1,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,○,0,0,Deuce,1,0
23,74,,b,2,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,○,15,0,Ad,1,0
24,75,,c,2,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,×,30,0,Deuce,0,1
25,76,Do,o,2,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,×,30,15,Ad,0,1
26,77,,c,1,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,×,30,30,Deuce,0,1
27,78,Ac,c,1,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,○,30,40,Ad,1,0
28,79,,w,1,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,○,40,40,Deuce,1,0
29,80,Do,o,2,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,×,Ad,40,Ad,0,1
30,82,,b,2,ジャレド・ドナルドソン,圭,1.0,,5,201701ブリスベンATP250,○,40,Ad,Ad,1,0
31,118,,c,2,ジャレド・ドナルドソン,土,1.0,,6,201701ブリスベンATP250,○,0,0,Deuce,1,0
32,119,,w,1,ジャレド・ドナルドソン,土,1.0,,6,201701ブリスベンATP250,×,15,0,Ad,0,1
33,120,Ac,c,1,ジャレド・ドナルドソン,土,1.0,,6,201701ブリスベンATP250,×,15,15,Deuce,0,1
34,121,,w,1,ジャレド・ドナルドソン,土,1.0,,6,201701ブリスベンATP250,×,15,30,Ad,0,1
35,122,Aw,w,1,ジャレド・ドナルドソン,土,1.0,201,6,201701ブリスベンATP250,×,15,40,Deuce,0,1
36,161,,w,1,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,○,0,0,Deuce,1,0
37,162,,w,1,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,×,15,0,Ad,0,1
38,163,,b,2,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,×,15,15,Deuce,0,1
39,164,,w,2,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,○,15,30,Ad,1,0
40,165,,w,1,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,○,30,30,Deuce,1,0
41,166,,b,1,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,×,40,30,Ad,0,1
42,167,,b,1,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,×,40,40,Deuce,0,1
43,168,,c,1,ジャレド・ドナルドソン,圭,1.0,,7,201701ブリスベンATP250,×,40,Ad,Ad,0,1
44,215,,w,2,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,○,0,0,Deuce,1,0
45,216,,w,2,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,×,15,0,Ad,0,1
46,217,,c,2,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,○,15,15,Deuce,1,0
47,218,,w,2,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,×,30,15,Ad,0,1
48,219,,w,1,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,○,30,30,Deuce,1,0
49,220,,w,2,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,×,40,30,Ad,0,1
50,221,,c,1,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,○,40,40,Deuce,1,0
51,222,,b,2,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,×,Ad,40,Ad,0,1
52,224,,w,2,ジャレド・ドナルドソン,土,1.0,,8,201701ブリスベンATP250,×,40,Ad,Ad,0,1
53,281,,w,2,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,×,0,0,Deuce,0,1
54,282,,c,1,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,○,0,15,Ad,1,0
55,283,,c,2,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,○,15,15,Deuce,1,0
56,284,,b,2,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,×,30,15,Ad,0,1
57,285,,w,1,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,○,30,30,Deuce,1,0
58,286,,w,1,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,×,40,30,Ad,0,1
59,287,,b,1,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,×,40,40,Deuce,0,1
60,288,,w,2,ジャレド・ドナルドソン,圭,1.0,,9,201701ブリスベンATP250,×,40,Ad,Ad,0,1
61,353,,?,2,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,×,0,0,Deuce,0,1
62,354,,w,1,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,○,0,15,Ad,1,0
63,355,,c,1,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,○,15,15,Deuce,1,0
64,356,,w,2,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,×,30,15,Ad,0,1
65,357,,w,1,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,×,30,30,Deuce,0,1
66,358,,w,1,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,○,30,40,Ad,1,0
67,359,,c,1,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,×,40,40,Deuce,0,1
68,360,,,,ジャレド・ドナルドソン,土,1.0,,10,201701ブリスベンATP250,×,40,Ad,Ad,0,1
69,0,,?,1,ジャレド・ドナルドソン,圭,2.0,,1,201701ブリスベンATP250,○,0,0,Deuce,1,0
70,1,,b,1,ジャレド・ドナルドソン,圭,2.0,,1,201701ブリスベンATP250,×,15,0,Ad,0,1
71,2,,c,1,ジャレド・ドナルドソン,圭,2.0,,1,201701ブリスベンATP250,○,15,15,Deuce,1,0
72,3,,b,1,ジャレド・ドナルドソン,圭,2.0,,1,201701ブリスベンATP250,○,30,15,Ad,1,0
73,4,,,,ジャレド・ドナルドソン,圭,2.0,,1,201701ブリスベンATP250,○,40,15,Deuce,1,0
74,5,,?,1,ジャレド・ドナルドソン,圭,2.0,,1,201701ブリスベンATP250,○,,,Ad,1,0
75,10,,b,2,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,○,0,0,Deuce,1,0
76,11,,w,2,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,○,15,0,Ad,1,0
77,12,,c,2,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,○,30,0,Deuce,1,0
78,13,,c,1,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,×,40,0,Ad,0,1
79,14,,w,1,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,×,40,15,Deuce,0,1
80,15,Aw,w,1,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,×,40,30,Ad,0,1
81,16,,w,1,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,○,40,40,Deuce,1,0
82,17,,c,1,ジャレド・ドナルドソン,土,2.0,,2,201701ブリスベンATP250,×,Ad,40,Ad,0,1
83,35,,w,1,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,×,0,0,Deuce,0,1
84,36,,c,2,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,○,0,15,Ad,1,0
85,37,,w,1,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,○,15,15,Deuce,1,0
86,38,,b,2,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,×,30,15,Ad,0,1
87,39,,w,1,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,○,30,30,Deuce,1,0
88,40,,b,2,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,×,40,30,Ad,0,1
89,41,,b,1,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,○,40,40,Deuce,1,0
90,42,,b,1,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,×,Ad,40,Ad,0,1
91,44,,w,1,ジャレド・ドナルドソン,圭,2.0,,3,201701ブリスベンATP250,○,40,Ad,Ad,1,0
92,90,,c,2,ジャレド・ドナルドソン,土,2.0,,4,201701ブリスベンATP250,×,0,0,Deuce,0,1
93,91,Aw,w,1,ジャレド・ドナルドソン,土,2.0,,4,201701ブリスベンATP250,×,0,15,Ad,0,1
94,92,,w,1,ジャレド・ドナルドソン,土,2.0,,4,201701ブリスベンATP250,×,0,30,Deuce,0,1
95,93,,,,ジャレド・ドナルドソン,土,2.0,,4,201701ブリスベンATP250,×,0,40,Ad,0,1
96,133,,w,2,ジャレド・ドナルドソン,圭,2.0,,5,201701ブリスベンATP250,○,0,0,Deuce,1,0
97,134,,c,1,ジャレド・ドナルドソン,圭,2.0,,5,201701ブリスベンATP250,○,15,0,Ad,1,0
98,135,,w,1,ジャレド・ドナルドソン,圭,2.0,,5,201701ブリスベンATP250,×,30,0,Deuce,0,1
99,136,,b,2,ジャレド・ドナルドソン,圭,2.0,,5,201701ブリスベンATP250,×,30,15,Ad,0,1
100,137,,w,1,ジャレド・ドナルドソン,圭,2.0,,5,201701ブリスベンATP250,×,30,30,Deuce,0,1
101,138,,w,2,ジャレド・ドナルドソン,圭,2.0,,5,201701ブリスベンATP250,×,30,40,Ad,0,1
102,184,Ds,s,2,ジャレド・ドナルドソン,土,2.0,,6,201701ブリスベンATP250,○,0,0,Deuce,1,0
103,185,,w,2,ジャレド・ドナルドソン,土,2.0,,6,201701ブリスベンATP250,×,15,0,Ad,0,1
104,186,,c,1,ジャレド・ドナルドソン,土,2.0,,6,201701ブリスベンATP250,×,15,15,Deuce,0,1
105,187,,w,1,ジャレド・ドナルドソン,土,2.0,,6,201701ブリスベンATP250,○,15,30,Ad,1,0
106,188,,w,2,ジャレド・ドナルドソン,土,2.0,,6,201701ブリスベンATP250,×,30,30,Deuce,0,1
107,189,Ac,c,1,ジャレド・ドナルドソン,土,2.0,,6,201701ブリスベンATP250,○,30,40,Ad,1,0
