,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,トマス・ベルッチ,圭,1,,1,201702リオデジャネイロATP500,○,0,0,Deuce,1,0
1,1,,b,1,トマス・ベルッチ,圭,1,,1,201702リオデジャネイロATP500,○,15,0,Ad,1,0
2,2,,c,1,トマス・ベルッチ,圭,1,,1,201702リオデジャネイロATP500,○,30,0,Deuce,1,0
3,3,,c,1,トマス・ベルッチ,圭,1,,1,201702リオデジャネイロATP500,○,40,0,Ad,1,0
4,4,,w,1,トマス・ベルッチ,圭,1,,1,201702リオデジャネイロATP500,○,,,Deuce,1,0
5,8,,w,1,トマス・ベルッチ,鐘,1,,2,201702リオデジャネイロATP500,×,0,0,Deuce,0,1
6,9,,c,1,トマス・ベルッチ,鐘,1,,2,201702リオデジャネイロATP500,○,0,15,Ad,1,0
7,10,,w,1,トマス・ベルッチ,鐘,1,,2,201702リオデジャネイロATP500,×,15,15,Deuce,0,1
8,11,,w,1,トマス・ベルッチ,鐘,1,,2,201702リオデジャネイロATP500,×,15,30,Ad,0,1
9,12,,w,1,トマス・ベルッチ,鐘,1,,2,201702リオデジャネイロATP500,○,15,40,Deuce,1,0
10,13,,w,1,トマス・ベルッチ,鐘,1,,2,201702リオデジャネイロATP500,×,30,40,Ad,0,1
11,24,,w,1,トマス・ベルッチ,圭,1,,3,201702リオデジャネイロATP500,○,0,0,Deuce,1,0
12,25,,w,2,トマス・ベルッチ,圭,1,,3,201702リオデジャネイロATP500,○,15,0,Ad,1,0
13,26,,w,1,トマス・ベルッチ,圭,1,,3,201702リオデジャネイロATP500,○,30,0,Deuce,1,0
14,27,,c,1,トマス・ベルッチ,圭,1,,3,201702リオデジャネイロATP500,○,40,0,Ad,1,0
15,42,,c,1,トマス・ベルッチ,鐘,1,,4,201702リオデジャネイロATP500,○,0,0,Deuce,1,0
16,43,,w,1,トマス・ベルッチ,鐘,1,,4,201702リオデジャネイロATP500,×,15,0,Ad,0,1
17,44,,w,1,トマス・ベルッチ,鐘,1,,4,201702リオデジャネイロATP500,×,15,15,Deuce,0,1
18,45,Ac,c,1,トマス・ベルッチ,鐘,1,,4,201702リオデジャネイロATP500,×,15,30,Ad,0,1
19,46,,b,2,トマス・ベルッチ,鐘,1,,4,201702リオデジャネイロATP500,×,15,40,Deuce,0,1
20,66,,c,1,トマス・ベルッチ,圭,1,,5,201702リオデジャネイロATP500,○,0,0,Deuce,1,0
21,67,,b,2,トマス・ベルッチ,圭,1,,5,201702リオデジャネイロATP500,×,15,0,Ad,0,1
22,68,,w,1,トマス・ベルッチ,圭,1,,5,201702リオデジャネイロATP500,×,15,15,Deuce,0,1
23,69,,c,1,トマス・ベルッチ,圭,1,,5,201702リオデジャネイロATP500,○,15,30,Ad,1,0
24,70,,w,2,トマス・ベルッチ,圭,1,,5,201702リオデジャネイロATP500,○,30,30,Deuce,1,0
25,71,,w,1,トマス・ベルッチ,圭,1,,5,201702リオデジャネイロATP500,○,40,30,Ad,1,0
26,97,,w,1,トマス・ベルッチ,鐘,1,,6,201702リオデジャネイロATP500,×,0,0,Deuce,0,1
27,98,,w,1,トマス・ベルッチ,鐘,1,,6,201702リオデジャネイロATP500,×,0,15,Ad,0,1
28,99,,b,1,トマス・ベルッチ,鐘,1,,6,201702リオデジャネイロATP500,×,0,30,Deuce,0,1
29,100,,c,1,トマス・ベルッチ,鐘,1,,6,201702リオデジャネイロATP500,×,0,40,Ad,0,1
30,130,,c,2,トマス・ベルッチ,圭,1,,7,201702リオデジャネイロATP500,○,0,0,Deuce,1,0
31,131,,c,2,トマス・ベルッチ,圭,1,,7,201702リオデジャネイロATP500,○,15,0,Ad,1,0
32,132,,w,1,トマス・ベルッチ,圭,1,,7,201702リオデジャネイロATP500,○,30,0,Deuce,1,0
33,133,,w,1,トマス・ベルッチ,圭,1,,7,201702リオデジャネイロATP500,○,40,0,Ad,1,0
34,167,,w,1,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,×,0,0,Deuce,0,1
35,168,,w,1,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,×,0,15,Ad,0,1
36,169,,w,2,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,×,0,30,Deuce,0,1
37,170,,w,1,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,○,0,40,Ad,1,0
38,171,,c,2,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,○,15,40,Deuce,1,0
39,172,,w,1,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,○,30,40,Ad,1,0
40,173,,w,1,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,×,40,40,Deuce,0,1
41,174,Ws,y,3,トマス・ベルッチ,鐘,1,,8,201702リオデジャネイロATP500,×,40,Ad,Ad,0,1
42,216,,c,1,トマス・ベルッチ,圭,1,,9,201702リオデジャネイロATP500,○,0,0,Deuce,1,0
43,217,,w,2,トマス・ベルッチ,圭,1,,9,201702リオデジャネイロATP500,×,15,0,Ad,0,1
44,218,,c,1,トマス・ベルッチ,圭,1,,9,201702リオデジャネイロATP500,×,15,15,Deuce,0,1
