,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,ダニエル・エバンス,圭,1.0,,1,201703インディアンウェルズ,×,0,0,Deuce,0,1
1,1,,w,2,ダニエル・エバンス,圭,1.0,,1,201703インディアンウェルズ,×,0,15,Ad,0,1
2,2,,b,1,ダニエル・エバンス,圭,1.0,,1,201703インディアンウェルズ,×,0,30,Deuce,0,1
3,3,,w,1,ダニエル・エバンス,圭,1.0,,1,201703インディアンウェルズ,○,0,40,Ad,1,0
4,4,Rs,c,1,ダニエル・エバンス,圭,1.0,201,1,201703インディアンウェルズ,×,15,40,Deuce,0,1
5,5,,w,1,ダニエル・エバンス,圭,1.0,,1,201703インディアンウェルズ,×,,,Ad,0,1
6,10,,?,1,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,×,0,0,Deuce,0,1
7,11,Dn,n,2,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,○,0,15,Ad,1,0
8,12,,w,1,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,×,15,15,Deuce,0,1
9,13,,c,2,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,○,15,30,Ad,1,0
10,14,,w,2,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,○,30,30,Deuce,1,0
11,15,,w,1,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,×,40,30,Ad,0,1
12,16,,w,2,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,○,40,40,Deuce,1,0
13,17,,w,1,ダニエル・エバンス,江,1.0,,2,201703インディアンウェルズ,○,Ad,40,Ad,1,0
14,31,,c,2,ダニエル・エバンス,圭,1.0,,3,201703インディアンウェルズ,×,0,0,Deuce,0,1
15,32,,b,1,ダニエル・エバンス,圭,1.0,,3,201703インディアンウェルズ,○,0,15,Ad,1,0
16,33,,c,1,ダニエル・エバンス,圭,1.0,,3,201703インディアンウェルズ,×,15,15,Deuce,0,1
17,34,,c,1,ダニエル・エバンス,圭,1.0,,3,201703インディアンウェルズ,○,15,30,Ad,1,0
18,35,,b,1,ダニエル・エバンス,圭,1.0,,3,201703インディアンウェルズ,○,30,30,Deuce,1,0
