,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,アンディ・マレー,餡,2.0,164,1,201705全仏その２,×,0,0,Deuce,0,1
1,1,,w,2,アンディ・マレー,餡,2.0,131,1,201705全仏その２,○,0,15,Ad,1,0
2,2,,w,1,アンディ・マレー,餡,2.0,179,1,201705全仏その２,×,15,15,Deuce,0,1
3,3,,w,2,アンディ・マレー,餡,2.0,120,1,201705全仏その２,○,15,30,Ad,1,0
4,4,,c,1,アンディ・マレー,餡,2.0,201,1,201705全仏その２,×,30,30,Deuce,0,1
5,5,,c,1,アンディ・マレー,餡,2.0,184,1,201705全仏その２,×,30,40,Ad,0,1
6,6,,w,2,アンディ・マレー,圭,2.0,149,2,201705全仏その２,○,0,0,Deuce,1,0
7,7,,w,2,アンディ・マレー,圭,2.0,143,2,201705全仏その２,○,15,0,Ad,1,0
8,8,,c,2,アンディ・マレー,圭,2.0,132,2,201705全仏その２,○,30,0,Deuce,1,0
9,9,,w,1,アンディ・マレー,圭,2.0,187,2,201705全仏その２,○,40,0,Ad,1,0
10,10,,c,1,アンディ・マレー,餡,2.0,187,3,201705全仏その２,×,0,0,Deuce,0,1
11,11,,w,2,アンディ・マレー,餡,2.0,126,3,201705全仏その２,×,0,15,Ad,0,1
12,12,,c,1,アンディ・マレー,餡,2.0,201,3,201705全仏その２,×,0,30,Deuce,0,1
13,13,,c,1,アンディ・マレー,餡,2.0,184,3,201705全仏その２,○,0,40,Ad,1,0
14,14,,c,2,アンディ・マレー,餡,2.0,144,3,201705全仏その２,○,15,40,Deuce,1,0
15,15,,c,1,アンディ・マレー,餡,2.0,181,3,201705全仏その２,○,30,40,Ad,1,0
16,16,,c,1,アンディ・マレー,餡,2.0,205,3,201705全仏その２,×,40,40,Deuce,0,1
17,17,,w,1,アンディ・マレー,餡,2.0,200,3,201705全仏その２,○,40,Ad,Ad,1,0
18,19,,w,a,アンディ・マレー,圭,2.0,136,4,201705全仏その２,○,0,0,Deuce,1,0
19,20,,w,2,アンディ・マレー,圭,2.0,128,4,201705全仏その２,×,15,0,Ad,0,1
20,21,,w,2,アンディ・マレー,圭,2.0,153,4,201705全仏その２,×,15,15,Deuce,0,1
21,22,,w,1,アンディ・マレー,圭,2.0,167,4,201705全仏その２,×,15,30,Ad,0,1
22,23,Dn,n,2,アンディ・マレー,圭,2.0,,4,201705全仏その２,×,15,40,Deuce,0,1
23,24,,w,1,アンディ・マレー,餡,2.0,167,5,201705全仏その２,○,0,0,Deuce,1,0
24,25,,w,1,アンディ・マレー,餡,2.0,196,5,201705全仏その２,×,15,0,Ad,0,1
25,26,Dn,n,2,アンディ・マレー,餡,2.0,,5,201705全仏その２,○,15,15,Deuce,1,0
26,27,,w,2,アンディ・マレー,餡,2.0,134,5,201705全仏その２,×,30,15,Ad,0,1
27,28,,b,2,アンディ・マレー,餡,2.0,,5,201705全仏その２,○,30,30,Deuce,1,0
28,29,,w,2,アンディ・マレー,餡,2.0,155,5,201705全仏その２,×,40,30,Ad,0,1
29,30,Ds,s,2,アンディ・マレー,餡,2.0,,5,201705全仏その２,○,40,40,Deuce,1,0
30,31,,b,2,アンディ・マレー,餡,2.0,141,5,201705全仏その２,×,Ad,40,Ad,0,1
31,33,,w,1,アンディ・マレー,餡,2.0,199,5,201705全仏その２,×,40,Ad,Ad,0,1
32,68,,c,2,アンディ・マレー,圭,2.0,156,6,201705全仏その２,○,0,0,Deuce,1,0
33,69,,c,1,アンディ・マレー,圭,2.0,185,6,201705全仏その２,×,15,0,Ad,0,1
34,70,,b,2,アンディ・マレー,圭,2.0,149,6,201705全仏その２,×,15,15,Deuce,0,1
35,71,,w,2,アンディ・マレー,圭,2.0,146,6,201705全仏その２,×,15,30,Ad,0,1
36,72,,w,2,アンディ・マレー,圭,2.0,152,6,201705全仏その２,○,15,40,Deuce,1,0
37,73,,w,1,アンディ・マレー,圭,2.0,128,6,201705全仏その２,×,30,40,Ad,0,1
38,114,,c,2,アンディ・マレー,餡,2.0,134,7,201705全仏その２,×,0,0,Deuce,0,1
39,115,,w,1,アンディ・マレー,餡,2.0,194,7,201705全仏その２,×,0,15,Ad,0,1
40,116,,c,2,アンディ・マレー,餡,2.0,145,7,201705全仏その２,○,0,30,Deuce,1,0
41,117,,w,2,アンディ・マレー,餡,2.0,127,7,201705全仏その２,×,15,30,Ad,0,1
42,118,,c,2,アンディ・マレー,餡,2.0,152,7,201705全仏その２,○,15,40,Deuce,1,0
43,119,,w,2,アンディ・マレー,餡,2.0,144,7,201705全仏その２,×,30,40,Ad,0,1
44,0,,w,1,アンディ・マレー,圭,3.0,159,1,201705全仏その２,○,0,0,Deuce,1,0
45,1,,c,2,アンディ・マレー,圭,3.0,131,1,201705全仏その２,×,15,0,Ad,0,1
46,2,,c,1,アンディ・マレー,圭,3.0,170,1,201705全仏その２,○,15,15,Deuce,1,0
47,3,,w,1,アンディ・マレー,圭,3.0,188,1,201705全仏その２,○,30,15,Ad,1,0
48,4,,c,1,アンディ・マレー,圭,3.0,189,1,201705全仏その２,○,40,15,Deuce,1,0
49,5,,w,1,アンディ・マレー,圭,3.0,159,1,201705全仏その２,○,,,Ad,1,0
50,10,,w,1,アンディ・マレー,餡,3.0,165,2,201705全仏その２,×,0,0,Deuce,0,1
51,11,,w,2,アンディ・マレー,餡,3.0,139,2,201705全仏その２,○,0,15,Ad,1,0
52,12,,c,1,アンディ・マレー,餡,3.0,194,2,201705全仏その２,×,15,15,Deuce,0,1
53,13,,w,2,アンディ・マレー,餡,3.0,145,2,201705全仏その２,×,15,30,Ad,0,1
54,14,Fs,c,1,アンディ・マレー,餡,3.0,186,2,201705全仏その２,×,15,40,Deuce,0,1
55,25,,b,2,アンディ・マレー,圭,3.0,148,3,201705全仏その２,○,0,0,Deuce,1,0
56,26,,w,2,アンディ・マレー,圭,3.0,126,3,201705全仏その２,○,15,0,Ad,1,0
57,27,,w,2,アンディ・マレー,圭,3.0,136,3,201705全仏その２,○,30,0,Deuce,1,0
58,28,,w,2,アンディ・マレー,圭,3.0,138,3,201705全仏その２,×,40,0,Ad,0,1
59,29,,w,2,アンディ・マレー,圭,3.0,154,3,201705全仏その２,○,40,15,Deuce,1,0
60,45,,c,1,アンディ・マレー,餡,3.0,197,4,201705全仏その２,×,0,0,Deuce,0,1
61,46,,c,2,アンディ・マレー,餡,3.0,140,4,201705全仏その２,○,0,15,Ad,1,0
62,47,Do,o,2,アンディ・マレー,餡,3.0,,4,201705全仏その２,○,15,15,Deuce,1,0
63,48,,w,1,アンディ・マレー,餡,3.0,181,4,201705全仏その２,×,30,15,Ad,0,1
64,49,,w,1,アンディ・マレー,餡,3.0,169,4,201705全仏その２,×,30,30,Deuce,0,1
65,50,,c,1,アンディ・マレー,餡,3.0,175,4,201705全仏その２,×,30,40,Ad,0,1
66,72,,c,2,アンディ・マレー,圭,3.0,152,5,201705全仏その２,×,0,0,Deuce,0,1
67,73,,w,2,アンディ・マレー,圭,3.0,147,5,201705全仏その２,×,0,15,Ad,0,1
68,74,,w,1,アンディ・マレー,圭,3.0,158,5,201705全仏その２,×,0,30,Deuce,0,1
69,75,,w,1,アンディ・マレー,圭,3.0,172,5,201705全仏その２,○,0,40,Ad,1,0
70,76,Fs,c,2,アンディ・マレー,圭,3.0,143,5,201705全仏その２,×,15,40,Deuce,0,1
71,103,,c,1,アンディ・マレー,餡,3.0,188,6,201705全仏その２,○,0,0,Deuce,1,0
72,104,,c,1,アンディ・マレー,餡,3.0,186,6,201705全仏その２,×,15,0,Ad,0,1
73,105,,w,1,アンディ・マレー,餡,3.0,176,6,201705全仏その２,○,15,15,Deuce,1,0
74,106,,w,1,アンディ・マレー,餡,3.0,193,6,201705全仏その２,○,30,15,Ad,1,0
75,107,,w,1,アンディ・マレー,餡,3.0,170,6,201705全仏その２,×,40,15,Deuce,0,1
76,108,,c,1,アンディ・マレー,餡,3.0,186,6,201705全仏その２,○,40,30,Ad,1,0
77,141,,c,1,アンディ・マレー,圭,3.0,192,7,201705全仏その２,○,0,0,Deuce,1,0
78,142,,w,2,アンディ・マレー,圭,3.0,184,7,201705全仏その２,○,15,0,Ad,1,0
79,143,,c,1,アンディ・マレー,圭,3.0,193,7,201705全仏その２,○,30,0,Deuce,1,0
80,144,,w,2,アンディ・マレー,圭,3.0,143,7,201705全仏その２,○,40,0,Ad,1,0
81,181,,c,1,アンディ・マレー,餡,3.0,188,8,201705全仏その２,×,0,0,Deuce,0,1
82,182,,c,1,アンディ・マレー,餡,3.0,184,8,201705全仏その２,×,0,15,Ad,0,1
83,183,,c,1,アンディ・マレー,餡,3.0,190,8,201705全仏その２,×,0,30,Deuce,0,1
84,184,Fs,w,1,アンディ・マレー,餡,3.0,188,8,201705全仏その２,×,0,40,Ad,0,1
85,225,,c,1,アンディ・マレー,圭,3.0,159,9,201705全仏その２,○,0,0,Deuce,1,0
86,226,,w,1,アンディ・マレー,圭,3.0,135,9,201705全仏その２,×,15,0,Ad,0,1
87,227,,w,1,アンディ・マレー,圭,3.0,155,9,201705全仏その２,○,15,15,Deuce,1,0
88,228,,w,1,アンディ・マレー,圭,3.0,130,9,201705全仏その２,○,30,15,Ad,1,0
89,229,,c,1,アンディ・マレー,圭,3.0,179,9,201705全仏その２,○,40,15,Deuce,1,0
90,275,Aw,w,1,アンディ・マレー,餡,3.0,164,10,201705全仏その２,×,0,0,Deuce,0,1
91,276,,c,1,アンディ・マレー,餡,3.0,184,10,201705全仏その２,×,0,15,Ad,0,1
92,277,,w,1,アンディ・マレー,餡,3.0,170,10,201705全仏その２,×,0,30,Deuce,0,1
93,278,Fs,c,1,アンディ・マレー,餡,3.0,181,10,201705全仏その２,×,0,40,Ad,0,1
94,328,,w,1,アンディ・マレー,圭,3.0,177,11,201705全仏その２,×,0,0,Deuce,0,1
95,329,,w,2,アンディ・マレー,圭,3.0,135,11,201705全仏その２,×,0,15,Ad,0,1
96,330,,c,1,アンディ・マレー,圭,3.0,193,11,201705全仏その２,○,0,30,Deuce,1,0
97,331,,c,1,アンディ・マレー,圭,3.0,171,11,201705全仏その２,×,15,30,Ad,0,1
98,332,,w,2,アンディ・マレー,圭,3.0,137,11,201705全仏その２,×,15,40,Deuce,0,1
99,387,,c,2,アンディ・マレー,餡,3.0,148,12,201705全仏その２,○,0,0,Deuce,1,0
100,388,,b,2,アンディ・マレー,餡,3.0,152,12,201705全仏その２,○,15,0,Ad,1,0
101,389,,w,1,アンディ・マレー,餡,3.0,177,12,201705全仏その２,×,30,0,Deuce,0,1
102,390,,w,2,アンディ・マレー,餡,3.0,149,12,201705全仏その２,○,30,15,Ad,1,0
103,391,,c,2,アンディ・マレー,餡,3.0,,12,201705全仏その２,○,40,15,Deuce,1,0
104,0,,),0,アンディ・マレー,圭,3.0,,13,201705全仏その２,×,0,0,Deuce,0,1
105,1,,w,1,アンディ・マレー,餡,3.0,,13,201705全仏その２,×,0,1,Ad,0,1
106,2,,w,2,アンディ・マレー,餡,3.0,134,13,201705全仏その２,×,0,2,Deuce,0,1
107,3,,w,1,アンディ・マレー,圭,3.0,174,13,201705全仏その２,×,0,3,Ad,0,1
108,4,Dn,n,2,アンディ・マレー,圭,3.0,,13,201705全仏その２,×,0,4,Deuce,0,1
109,5,,b,2,アンディ・マレー,餡,3.0,141,13,201705全仏その２,×,0,5,Ad,0,1
110,6,,c,2,アンディ・マレー,餡,3.0,164,13,201705全仏その２,×,0,6,Deuce,0,1
111,0,,w,2,アンディ・マレー,餡,4.0,130,1,201705全仏その２,×,0,0,Deuce,0,1
112,1,,c,1,アンディ・マレー,餡,4.0,184,1,201705全仏その２,○,0,15,Ad,1,0
113,2,Do,o,2,アンディ・マレー,餡,4.0,,1,201705全仏その２,×,15,15,Deuce,0,1
114,3,,w,1,アンディ・マレー,餡,4.0,189,1,201705全仏その２,○,15,30,Ad,1,0
115,4,,w,1,アンディ・マレー,餡,4.0,171,1,201705全仏その２,○,30,30,Deuce,1,0
116,5,,w,2,アンディ・マレー,餡,4.0,130,1,201705全仏その２,×,40,30,Ad,0,1
117,6,,c,1,アンディ・マレー,餡,4.0,184,1,201705全仏その２,○,40,40,Deuce,1,0
118,7,Do,o,2,アンディ・マレー,餡,4.0,,1,201705全仏その２,×,Ad,40,Ad,0,1
119,10,,w,1,アンディ・マレー,圭,4.0,163,2,201705全仏その２,○,0,0,Deuce,1,0
120,11,,w,1,アンディ・マレー,圭,4.0,184,2,201705全仏その２,×,15,0,Ad,0,1
121,12,,b,2,アンディ・マレー,圭,4.0,144,2,201705全仏その２,×,15,15,Deuce,0,1
122,13,,w,1,アンディ・マレー,圭,4.0,188,2,201705全仏その２,○,15,30,Ad,1,0
123,14,,b,1,アンディ・マレー,圭,4.0,170,2,201705全仏その２,○,30,30,Deuce,1,0
124,15,,w,2,アンディ・マレー,圭,4.0,131,2,201705全仏その２,×,40,30,Ad,0,1
125,16,,w,1,アンディ・マレー,圭,4.0,151,2,201705全仏その２,○,40,40,Deuce,1,0
126,17,,w,1,アンディ・マレー,圭,4.0,188,2,201705全仏その２,×,Ad,40,Ad,0,1
127,19,,c,1,アンディ・マレー,圭,4.0,192,2,201705全仏その２,×,40,Ad,Ad,0,1
128,35,,c,2,アンディ・マレー,餡,4.0,145,3,201705全仏その２,×,0,0,Deuce,0,1
129,36,,w,1,アンディ・マレー,餡,4.0,191,3,201705全仏その２,○,0,15,Ad,1,0
130,37,,c,1,アンディ・マレー,餡,4.0,203,3,201705全仏その２,×,15,15,Deuce,0,1
131,38,,c,2,アンディ・マレー,餡,4.0,147,3,201705全仏その２,○,15,30,Ad,1,0
132,39,,w,1,アンディ・マレー,餡,4.0,182,3,201705全仏その２,×,30,30,Deuce,0,1
133,40,,b,1,アンディ・マレー,餡,4.0,190,3,201705全仏その２,○,30,40,Ad,1,0
134,41,Ac,c,1,アンディ・マレー,餡,4.0,199,3,201705全仏その２,×,40,40,Deuce,0,1
135,42,Aw,w,1,アンディ・マレー,餡,4.0,192,3,201705全仏その２,×,40,Ad,Ad,0,1
136,66,,w,1,アンディ・マレー,圭,4.0,174,4,201705全仏その２,×,0,0,Deuce,0,1
137,67,,w,1,アンディ・マレー,圭,4.0,175,4,201705全仏その２,×,0,15,Ad,0,1
138,68,,w,1,アンディ・マレー,圭,4.0,169,4,201705全仏その２,○,0,30,Deuce,1,0
139,69,,c,1,アンディ・マレー,圭,4.0,166,4,201705全仏その２,×,15,30,Ad,0,1
140,70,,c,1,アンディ・マレー,圭,4.0,186,4,201705全仏その２,○,15,40,Deuce,1,0
141,71,,c,1,アンディ・マレー,圭,4.0,180,4,201705全仏その２,×,30,40,Ad,0,1
142,101,,c,1,アンディ・マレー,餡,4.0,207,5,201705全仏その２,×,0,0,Deuce,0,1
143,102,,w,1,アンディ・マレー,餡,4.0,185,5,201705全仏その２,×,0,15,Ad,0,1
144,103,,w,1,アンディ・マレー,餡,4.0,144,5,201705全仏その２,×,0,30,Deuce,0,1
145,104,,w,2,アンディ・マレー,餡,4.0,,5,201705全仏その２,×,0,40,Ad,0,1
146,138,,c,1,アンディ・マレー,圭,4.0,190,6,201705全仏その２,×,0,0,Deuce,0,1
147,139,,b,2,アンディ・マレー,圭,4.0,146,6,201705全仏その２,×,0,15,Ad,0,1
148,140,,c,1,アンディ・マレー,圭,4.0,188,6,201705全仏その２,×,0,30,Deuce,0,1
149,141,,c,1,アンディ・マレー,圭,4.0,187,6,201705全仏その２,○,0,40,Ad,1,0
150,142,,w,1,アンディ・マレー,圭,4.0,161,6,201705全仏その２,○,15,40,Deuce,1,0
151,143,Fs,c,2,アンディ・マレー,圭,4.0,158,6,201705全仏その２,×,30,40,Ad,0,1
152,183,,w,1,アンディ・マレー,餡,4.0,163,7,201705全仏その２,×,0,0,Deuce,0,1
153,184,,w,1,アンディ・マレー,餡,4.0,193,7,201705全仏その２,×,0,15,Ad,0,1
154,185,,c,1,アンディ・マレー,餡,4.0,133,7,201705全仏その２,○,0,30,Deuce,1,0
155,186,,c,1,アンディ・マレー,餡,4.0,,7,201705全仏その２,×,15,30,Ad,0,1
156,187,,w,3,アンディ・マレー,餡,4.0,173,7,201705全仏その２,×,15,40,Deuce,0,1
