,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,1,ミハイル・ククシュキン,圭,1.0,176,1,201705ジュネーブ,○,0,0,Deuce,1,0
1,1,,w,2,ミハイル・ククシュキン,圭,1.0,127,1,201705ジュネーブ,×,15,0,Ad,0,1
2,2,,w,2,ミハイル・ククシュキン,圭,1.0,141,1,201705ジュネーブ,○,15,15,Deuce,1,0
3,3,,w,1,ミハイル・ククシュキン,圭,1.0,178,1,201705ジュネーブ,○,30,15,Ad,1,0
4,4,,w,1,ミハイル・ククシュキン,圭,1.0,150,1,201705ジュネーブ,○,40,15,Deuce,1,0
5,5,,c,1,ミハイル・ククシュキン,圭,1.0,176,1,201705ジュネーブ,○,,,Ad,1,0
6,10,,c,1,ミハイル・ククシュキン,九,1.0,170,2,201705ジュネーブ,×,0,0,Deuce,0,1
7,11,,w,1,ミハイル・ククシュキン,九,1.0,155,2,201705ジュネーブ,○,0,15,Ad,1,0
8,12,,c,1,ミハイル・ククシュキン,九,1.0,169,2,201705ジュネーブ,×,15,15,Deuce,0,1
9,13,,w,2,ミハイル・ククシュキン,九,1.0,121,2,201705ジュネーブ,×,15,30,Ad,0,1
10,14,,w,1,ミハイル・ククシュキン,九,1.0,147,2,201705ジュネーブ,×,15,40,Deuce,0,1
11,15,,6,1,ミハイル・ククシュキン,九,1.0,201,6,201705ジュネーブ,×,0,0,Deuce,0,1
12,16,Pj,f,7,ミハイル・ククシュキン,九,1.0,,6,201705ジュネーブ,×,0,15,Ad,0,1
13,17,,c,4,ミハイル・ククシュキン,九,1.0,,6,201705ジュネーブ,×,0,30,Deuce,0,1
14,18,,,,ミハイル・ククシュキン,九,1.0,,6,201705ジュネーブ,○,0,40,Ad,1,0
15,19,,,,ミハイル・ククシュキン,九,1.0,,6,201705ジュネーブ,×,15,40,Deuce,0,1
16,20,,,,ミハイル・ククシュキン,九,1.0,,6,201705ジュネーブ,×,,,Ad,0,1
17,25,,w,1,ミハイル・ククシュキン,圭,1.0,148,7,201705ジュネーブ,○,0,0,Deuce,1,0
18,26,Do,o,2,ミハイル・ククシュキン,圭,1.0,,7,201705ジュネーブ,×,15,0,Ad,0,1
19,27,Ac,c,1,ミハイル・ククシュキン,圭,1.0,190,7,201705ジュネーブ,○,15,15,Deuce,1,0
20,28,,w,1,ミハイル・ククシュキン,圭,1.0,157,7,201705ジュネーブ,○,30,15,Ad,1,0
21,29,Aw,w,1,ミハイル・ククシュキン,圭,1.0,146,7,201705ジュネーブ,○,40,15,Deuce,1,0
22,40,,6,2,ミハイル・ククシュキン,九,1.0,201,8,201705ジュネーブ,×,0,0,Deuce,0,1
23,41,Pj,f,7,ミハイル・ククシュキン,九,1.0,,8,201705ジュネーブ,×,0,15,Ad,0,1
24,42,,c,4,ミハイル・ククシュキン,九,1.0,,8,201705ジュネーブ,○,0,30,Deuce,1,0
25,43,,,,ミハイル・ククシュキン,九,1.0,,8,201705ジュネーブ,○,15,30,Ad,1,0
26,44,,,,ミハイル・ククシュキン,九,1.0,,8,201705ジュネーブ,×,30,30,Deuce,0,1
27,45,,,,ミハイル・ククシュキン,九,1.0,,8,201705ジュネーブ,×,30,40,Ad,0,1
28,62,,c,1,ミハイル・ククシュキン,圭,1.0,185,9,201705ジュネーブ,×,0,0,Deuce,0,1
29,63,,w,1,ミハイル・ククシュキン,圭,1.0,180,9,201705ジュネーブ,×,0,15,Ad,0,1
30,64,,c,2,ミハイル・ククシュキン,圭,1.0,130,9,201705ジュネーブ,×,0,30,Deuce,0,1
31,65,,c,1,ミハイル・ククシュキン,圭,1.0,138,9,201705ジュネーブ,○,0,40,Ad,1,0
32,66,,c,1,ミハイル・ククシュキン,圭,1.0,128,9,201705ジュネーブ,○,15,40,Deuce,1,0
33,67,,c,1,ミハイル・ククシュキン,圭,1.0,181,9,201705ジュネーブ,○,30,40,Ad,1,0
34,68,,w,1,ミハイル・ククシュキン,圭,1.0,149,9,201705ジュネーブ,○,40,40,Deuce,1,0
35,69,,w,1,ミハイル・ククシュキン,圭,1.0,111,9,201705ジュネーブ,×,Ad,40,Ad,0,1
36,102,,レ,ブ,ミハイル・ククシュキン,九,1.0,,10,201705ジュネーブ,×,0,0,Deuce,0,1
