,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,2,ファン・マルティン・デルポトロ,出,2.0,131,1,201705ローマ,×,0,0,Deuce,0,1
1,1,,w,2,ファン・マルティン・デルポトロ,出,2.0,128,1,201705ローマ,×,0,15,Ad,0,1
2,2,,c,2,ファン・マルティン・デルポトロ,出,2.0,146,1,201705ローマ,×,0,30,Deuce,0,1
3,3,,c,2,ファン・マルティン・デルポトロ,出,2.0,165,1,201705ローマ,○,0,40,Ad,1,0
4,4,Ac,c,1,ファン・マルティン・デルポトロ,出,2.0,213,1,201705ローマ,×,15,40,Deuce,0,1
5,5,,c,2,ファン・マルティン・デルポトロ,出,2.0,131,1,201705ローマ,×,,,Ad,0,1
6,10,,c,2,ファン・マルティン・デルポトロ,圭,2.0,151,2,201705ローマ,○,0,0,Deuce,1,0
7,11,,w,2,ファン・マルティン・デルポトロ,圭,2.0,137,2,201705ローマ,○,15,0,Ad,1,0
8,12,,c,2,ファン・マルティン・デルポトロ,圭,2.0,155,2,201705ローマ,×,30,0,Deuce,0,1
9,13,,w,1,ファン・マルティン・デルポトロ,圭,2.0,187,2,201705ローマ,○,30,15,Ad,1,0
10,14,,c,1,ファン・マルティン・デルポトロ,圭,2.0,195,2,201705ローマ,○,40,15,Deuce,1,0
11,25,,w,2,ファン・マルティン・デルポトロ,出,2.0,165,3,201705ローマ,×,0,0,Deuce,0,1
12,26,,b,1,ファン・マルティン・デルポトロ,出,2.0,177,3,201705ローマ,○,0,15,Ad,1,0
13,27,,c,1,ファン・マルティン・デルポトロ,出,2.0,193,3,201705ローマ,×,15,15,Deuce,0,1
14,28,,c,1,ファン・マルティン・デルポトロ,出,2.0,177,3,201705ローマ,×,15,30,Ad,0,1
15,29,,c,2,ファン・マルティン・デルポトロ,出,2.0,143,3,201705ローマ,○,15,40,Deuce,1,0
16,30,,c,1,ファン・マルティン・デルポトロ,出,2.0,173,3,201705ローマ,○,30,40,Ad,1,0
17,31,Aw,w,1,ファン・マルティン・デルポトロ,出,2.0,180,3,201705ローマ,×,40,40,Deuce,0,1
18,32,,c,2,ファン・マルティン・デルポトロ,出,2.0,165,3,201705ローマ,○,40,Ad,Ad,1,0
19,55,,c,2,ファン・マルティン・デルポトロ,圭,2.0,142,4,201705ローマ,○,0,0,Deuce,1,0
20,56,,w,1,ファン・マルティン・デルポトロ,圭,2.0,136,4,201705ローマ,×,15,0,Ad,0,1
21,57,,w,2,ファン・マルティン・デルポトロ,圭,2.0,156,4,201705ローマ,×,15,15,Deuce,0,1
22,58,,b,1,ファン・マルティン・デルポトロ,圭,2.0,179,4,201705ローマ,○,15,30,Ad,1,0
23,59,,c,1,ファン・マルティン・デルポトロ,圭,2.0,190,4,201705ローマ,×,30,30,Deuce,0,1
24,60,,w,2,ファン・マルティン・デルポトロ,圭,2.0,119,4,201705ローマ,×,30,40,Ad,0,1
25,87,Aw,w,1,ファン・マルティン・デルポトロ,出,2.0,177,5,201705ローマ,×,0,0,Deuce,0,1
26,88,,b,1,ファン・マルティン・デルポトロ,出,2.0,190,5,201705ローマ,○,0,15,Ad,1,0
27,89,,w,1,ファン・マルティン・デルポトロ,出,2.0,181,5,201705ローマ,×,15,15,Deuce,0,1
28,90,,c,1,ファン・マルティン・デルポトロ,出,2.0,184,5,201705ローマ,×,15,30,Ad,0,1
29,91,,w,1,ファン・マルティン・デルポトロ,出,2.0,174,5,201705ローマ,×,15,40,Deuce,0,1
30,123,,c,2,ファン・マルティン・デルポトロ,圭,2.0,143,6,201705ローマ,○,0,0,Deuce,1,0
31,124,,w,1,ファン・マルティン・デルポトロ,圭,2.0,140,6,201705ローマ,○,15,0,Ad,1,0
32,125,,b,1,ファン・マルティン・デルポトロ,圭,2.0,187,6,201705ローマ,○,30,0,Deuce,1,0
33,126,,w,1,ファン・マルティン・デルポトロ,圭,2.0,138,6,201705ローマ,○,40,0,Ad,1,0
34,162,,w,1,ファン・マルティン・デルポトロ,出,2.0,170,7,201705ローマ,○,0,0,Deuce,1,0
35,163,,w,2,ファン・マルティン・デルポトロ,出,2.0,136,7,201705ローマ,×,15,0,Ad,0,1
36,164,,c,1,ファン・マルティン・デルポトロ,出,2.0,220,7,201705ローマ,×,15,15,Deuce,0,1
37,165,,w,1,ファン・マルティン・デルポトロ,出,2.0,182,7,201705ローマ,×,15,30,Ad,0,1
38,166,,w,1,ファン・マルティン・デルポトロ,出,2.0,168,7,201705ローマ,×,15,40,Deuce,0,1
39,207,,w,1,ファン・マルティン・デルポトロ,圭,2.0,166,8,201705ローマ,○,0,0,Deuce,1,0
40,208,,w,2,ファン・マルティン・デルポトロ,圭,2.0,122,8,201705ローマ,×,15,0,Ad,0,1
41,209,,w,1,ファン・マルティン・デルポトロ,圭,2.0,152,8,201705ローマ,○,15,15,Deuce,1,0
42,210,,w,2,ファン・マルティン・デルポトロ,圭,2.0,128,8,201705ローマ,○,30,15,Ad,1,0
43,211,,c,2,ファン・マルティン・デルポトロ,圭,2.0,152,8,201705ローマ,×,40,15,Deuce,0,1
44,212,,w,2,ファン・マルティン・デルポトロ,圭,2.0,114,8,201705ローマ,×,40,30,Ad,0,1
45,213,,w,1,ファン・マルティン・デルポトロ,圭,2.0,156,8,201705ローマ,×,40,40,Deuce,0,1
46,214,,c,2,ファン・マルティン・デルポトロ,圭,2.0,147,8,201705ローマ,○,40,Ad,Ad,1,0
47,216,,b,1,ファン・マルティン・デルポトロ,圭,2.0,182,8,201705ローマ,○,Ad,40,Ad,1,0
48,267,,c,1,ファン・マルティン・デルポトロ,出,2.0,199,9,201705ローマ,×,0,0,Deuce,0,1
49,268,,w,1,ファン・マルティン・デルポトロ,出,2.0,194,9,201705ローマ,×,0,15,Ad,0,1
50,269,,w,1,ファン・マルティン・デルポトロ,出,2.0,220,9,201705ローマ,×,0,30,Deuce,0,1
51,270,Ac,c,1,ファン・マルティン・デルポトロ,出,2.0,,9,201705ローマ,×,0,40,Ad,0,1
52,0,,レ,ブ,ダビド・フェレール,鉄,2.0,,1,201705ローマ,○,0,0,Deuce,1,0
53,1,,,,ダビド・フェレール,鉄,2.0,,1,201705ローマ,○,15,0,Ad,1,0
54,2,,,,ダビド・フェレール,鉄,2.0,,1,201705ローマ,○,30,0,Deuce,1,0
55,3,,,,ダビド・フェレール,鉄,2.0,,1,201705ローマ,○,40,0,Ad,1,0
56,4,,〇,1,ダビド・フェレール,圭,2.0,,2,201705ローマ,○,0,0,Deuce,1,0
57,5,,,,ダビド・フェレール,圭,2.0,,2,201705ローマ,×,15,0,Ad,0,1
58,6,,,,ダビド・フェレール,圭,2.0,,2,201705ローマ,×,15,15,Deuce,0,1
59,7,,,,ダビド・フェレール,圭,2.0,,2,201705ローマ,○,15,30,Ad,1,0
60,8,,,,ダビド・フェレール,圭,2.0,,2,201705ローマ,×,30,30,Deuce,0,1
61,9,,,,ダビド・フェレール,圭,2.0,,2,201705ローマ,○,30,40,Ad,1,0
62,10,,,,ダビド・フェレール,鉄,2.0,,3,201705ローマ,×,0,0,Deuce,0,1
63,11,,,,ダビド・フェレール,鉄,2.0,,3,201705ローマ,×,0,15,Ad,0,1
64,12,,,,ダビド・フェレール,鉄,2.0,,3,201705ローマ,×,0,30,Deuce,0,1
65,13,,,,ダビド・フェレール,鉄,2.0,,3,201705ローマ,×,0,40,Ad,0,1
66,14,,w,1,ダビド・フェレール,圭,2.0,170,4,201705ローマ,○,0,0,Deuce,1,0
67,15,,b,1,ダビド・フェレール,圭,2.0,196,4,201705ローマ,×,15,0,Ad,0,1
68,16,,b,2,ダビド・フェレール,圭,2.0,147,4,201705ローマ,×,15,15,Deuce,0,1
69,17,,c,1,ダビド・フェレール,圭,2.0,193,4,201705ローマ,○,15,30,Ad,1,0
70,18,,w,1,ダビド・フェレール,圭,2.0,173,4,201705ローマ,×,30,30,Deuce,0,1
71,19,,c,1,ダビド・フェレール,圭,2.0,190,4,201705ローマ,×,30,40,Ad,0,1
72,40,Dn,n,2,ダビド・フェレール,鉄,2.0,,5,201705ローマ,○,0,0,Deuce,1,0
73,41,Do,o,2,ダビド・フェレール,鉄,2.0,,5,201705ローマ,○,15,0,Ad,1,0
74,42,,b,1,ダビド・フェレール,鉄,2.0,173,5,201705ローマ,×,30,0,Deuce,0,1
75,43,Aw,w,1,ダビド・フェレール,鉄,2.0,185,5,201705ローマ,×,30,15,Ad,0,1
76,44,,b,2,ダビド・フェレール,鉄,2.0,147,5,201705ローマ,○,30,30,Deuce,1,0
77,45,,w,1,ダビド・フェレール,鉄,2.0,184,5,201705ローマ,○,40,30,Ad,1,0
78,72,,b,1,ダビド・フェレール,圭,2.0,183,6,201705ローマ,×,0,0,Deuce,0,1
79,73,,w,1,ダビド・フェレール,圭,2.0,155,6,201705ローマ,○,0,15,Ad,1,0
80,74,,w,1,ダビド・フェレール,圭,2.0,155,6,201705ローマ,○,15,15,Deuce,1,0
81,75,,b,2,ダビド・フェレール,圭,2.0,141,6,201705ローマ,○,30,15,Ad,1,0
82,76,,c,1,ダビド・フェレール,圭,2.0,163,6,201705ローマ,○,40,15,Deuce,1,0
83,108,,w,1,ダビド・フェレール,鉄,2.0,169,7,201705ローマ,○,0,0,Deuce,1,0
84,109,,w,2,ダビド・フェレール,鉄,2.0,149,7,201705ローマ,○,15,0,Ad,1,0
85,110,,w,1,ダビド・フェレール,鉄,2.0,178,7,201705ローマ,○,30,0,Deuce,1,0
86,111,,w,2,ダビド・フェレール,鉄,2.0,142,7,201705ローマ,×,40,0,Ad,0,1
87,112,,b,2,ダビド・フェレール,鉄,2.0,164,7,201705ローマ,×,40,15,Deuce,0,1
88,113,,c,1,ダビド・フェレール,鉄,2.0,172,7,201705ローマ,×,40,30,Ad,0,1
89,114,,b,1,ダビド・フェレール,鉄,2.0,185,7,201705ローマ,○,40,40,Deuce,1,0
90,115,,c,2,ダビド・フェレール,鉄,2.0,165,7,201705ローマ,○,Ad,40,Ad,1,0
91,155,,w,1,ダビド・フェレール,圭,2.0,174,8,201705ローマ,○,0,0,Deuce,1,0
92,156,,c,2,ダビド・フェレール,圭,2.0,159,8,201705ローマ,○,15,0,Ad,1,0
93,157,,w,1,ダビド・フェレール,圭,2.0,173,8,201705ローマ,○,30,0,Deuce,1,0
94,158,,b,2,ダビド・フェレール,圭,2.0,164,8,201705ローマ,○,40,0,Ad,1,0
