,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201707ワシントン,ドナルド・ヤング,1.0,1,屋,○,2,c,151,,0,0,Deuce,1,0
1,1,201707ワシントン,ドナルド・ヤング,1.0,1,屋,○,1,b,154,,15,0,Ad,1,0
2,2,201707ワシントン,ドナルド・ヤング,1.0,1,屋,○,1,c,165,,30,0,Deuce,1,0
3,3,201707ワシントン,ドナルド・ヤング,1.0,1,屋,×,1,b,177,,40,0,Ad,0,1
4,4,201707ワシントン,ドナルド・ヤング,1.0,1,屋,○,1,w,189,,40,15,Deuce,1,0
5,10,201707ワシントン,ドナルド・ヤング,1.0,2,圭,×,1,c,185,,0,0,Deuce,0,1
6,11,201707ワシントン,ドナルド・ヤング,1.0,2,圭,×,1,b,143,,0,15,Ad,0,1
7,12,201707ワシントン,ドナルド・ヤング,1.0,2,圭,×,1,w,168,,0,30,Deuce,0,1
8,13,201707ワシントン,ドナルド・ヤング,1.0,2,圭,○,1,w,136,,0,40,Ad,1,0
9,14,201707ワシントン,ドナルド・ヤング,1.0,2,圭,×,1,w,160,,15,40,Deuce,0,1
10,25,201707ワシントン,ドナルド・ヤング,1.0,3,屋,×,2,c,131,,0,0,Deuce,0,1
11,26,201707ワシントン,ドナルド・ヤング,1.0,3,屋,○,2,b,115,,0,15,Ad,1,0
12,27,201707ワシントン,ドナルド・ヤング,1.0,3,屋,○,2,b,138,,15,15,Deuce,1,0
13,28,201707ワシントン,ドナルド・ヤング,1.0,3,屋,○,1,w,154,,30,15,Ad,1,0
14,29,201707ワシントン,ドナルド・ヤング,1.0,3,屋,×,2,b,175,,40,15,Deuce,0,1
15,30,201707ワシントン,ドナルド・ヤング,1.0,3,屋,×,1,c,183,,40,30,Ad,0,1
16,31,201707ワシントン,ドナルド・ヤング,1.0,3,屋,○,1,c,165,,40,40,Deuce,1,0
17,32,201707ワシントン,ドナルド・ヤング,1.0,3,屋,○,2,w,133,,Ad,40,Ad,1,0
18,51,201707ワシントン,ドナルド・ヤング,1.0,4,圭,×,1,c,160,,0,0,Deuce,0,1
19,52,201707ワシントン,ドナルド・ヤング,1.0,4,圭,○,2,b,125,,0,15,Ad,1,0
20,53,201707ワシントン,ドナルド・ヤング,1.0,4,圭,○,2,v,128,,15,15,Deuce,1,0
21,54,201707ワシントン,ドナルド・ヤング,1.0,4,圭,○,2,w,123,,30,15,Ad,1,0
22,55,201707ワシントン,ドナルド・ヤング,1.0,4,圭,○,1,c,,,40,15,Deuce,1,0
23,79,201707ワシントン,ドナルド・ヤング,1.0,5,屋,○,2,b,109,,0,0,Deuce,1,0
24,80,201707ワシントン,ドナルド・ヤング,1.0,5,屋,○,1,c,189,,15,0,Ad,1,0
25,81,201707ワシントン,ドナルド・ヤング,1.0,5,屋,○,1,w,136,,30,0,Deuce,1,0
26,82,201707ワシントン,ドナルド・ヤング,1.0,5,屋,○,2,w,141,,40,0,Ad,1,0
27,110,201707ワシントン,ドナルド・ヤング,1.0,6,圭,○,2,b,143,,0,0,Deuce,1,0
28,111,201707ワシントン,ドナルド・ヤング,1.0,6,圭,○,1,w,180,,15,0,Ad,1,0
29,112,201707ワシントン,ドナルド・ヤング,1.0,6,圭,×,1,w,170,,30,0,Deuce,0,1
30,113,201707ワシントン,ドナルド・ヤング,1.0,6,圭,×,2,n,,Dn,30,15,Ad,0,1
31,114,201707ワシントン,ドナルド・ヤング,1.0,6,圭,×,2,n,,Dn,30,30,Deuce,0,1
32,115,201707ワシントン,ドナルド・ヤング,1.0,6,圭,×,1,w,178,,30,40,Ad,0,1
33,149,201707ワシントン,ドナルド・ヤング,1.0,7,屋,○,1,w,144,,0,0,Deuce,1,0
34,150,201707ワシントン,ドナルド・ヤング,1.0,7,屋,×,1,w,151,,15,0,Ad,0,1
35,151,201707ワシントン,ドナルド・ヤング,1.0,7,屋,○,2,c,135,,15,15,Deuce,1,0
36,152,201707ワシントン,ドナルド・ヤング,1.0,7,屋,×,2,w,141,,30,15,Ad,0,1
37,153,201707ワシントン,ドナルド・ヤング,1.0,7,屋,○,1,b,157,,30,30,Deuce,1,0
38,154,201707ワシントン,ドナルド・ヤング,1.0,7,屋,×,1,w,151,,40,30,Ad,0,1
