,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,1,蛸,×,1,c,193,Ac,0,0,Deuce,0,1
1,1,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,1,蛸,×,1,c,,,0,15,Ad,0,1
2,2,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,1,蛸,×,1,w,188,,0,30,Deuce,0,1
3,3,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,1,蛸,○,2,w,151,,0,40,Ad,1,0
4,4,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,1,蛸,×,1,c,197,,15,40,Deuce,0,1
5,10,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,2,圭,○,2,c,152,,0,0,Deuce,1,0
6,11,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,2,圭,○,2,c,148,,15,0,Ad,1,0
7,12,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,2,圭,○,1,c,185,Ac,30,0,Deuce,1,0
8,13,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,2,圭,×,1,w,172,,40,0,Ad,0,1
9,14,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,2,圭,○,1,c,191,,40,15,Deuce,1,0
10,25,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,3,蛸,×,2,b,170,,0,0,Deuce,0,1
11,26,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,3,蛸,×,1,w,193,,0,15,Ad,0,1
12,27,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,3,蛸,×,1,c,201,Ac,0,30,Deuce,0,1
13,28,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,3,蛸,×,1,w,172,,0,40,Ad,0,1
14,43,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,4,圭,○,2,c,154,,0,0,Deuce,1,0
15,44,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,4,圭,○,2,w,138,,15,0,Ad,1,0
16,45,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,4,圭,○,1,c,185,,30,0,Deuce,1,0
17,46,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,4,圭,×,2,o,,Do,40,0,Ad,0,1
18,65,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,5,蛸,×,1,c,191,,0,0,Deuce,0,1
19,66,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,5,蛸,○,2,c,167,,0,15,Ad,1,0
20,67,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,5,蛸,○,2,b,162,,15,15,Deuce,1,0
21,68,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,5,蛸,×,1,c,191,,30,15,Ad,0,1
22,69,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,5,蛸,○,1,c,191,,30,30,Deuce,1,0
23,70,201707ウィンブルドン,セルゲイ・スタコフスキー,1.0,5,蛸,○,1,w,181,,40,30,Ad,1,0
