,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,ガエル・モンフィス,門,1.0,167,1,201708モントリオール,×,0,0,Deuce,0,1
1,1,,c,1,ガエル・モンフィス,門,1.0,162,1,201708モントリオール,○,0,15,Ad,1,0
2,2,,b,2,ガエル・モンフィス,門,1.0,155,1,201708モントリオール,×,15,15,Deuce,0,1
3,3,,w,1,ガエル・モンフィス,門,1.0,189,1,201708モントリオール,○,15,30,Ad,1,0
4,4,,w,2,ガエル・モンフィス,門,1.0,158,1,201708モントリオール,×,30,30,Deuce,0,1
5,5,,c,1,ガエル・モンフィス,門,1.0,,1,201708モントリオール,×,30,40,Ad,0,1
6,6,,c,1,ガエル・モンフィス,圭,1.0,180,2,201708モントリオール,×,0,0,Deuce,0,1
7,7,,w,1,ガエル・モンフィス,圭,1.0,183,2,201708モントリオール,×,0,15,Ad,0,1
8,8,,c,1,ガエル・モンフィス,圭,1.0,177,2,201708モントリオール,○,0,30,Deuce,1,0
9,9,,c,1,ガエル・モンフィス,圭,1.0,179,2,201708モントリオール,×,15,30,Ad,0,1
10,10,,w,1,ガエル・モンフィス,圭,1.0,161,2,201708モントリオール,○,15,40,Deuce,1,0
11,11,Zr,w,2,ガエル・モンフィス,圭,1.0,119,2,201708モントリオール,×,30,40,Ad,0,1
12,24,,w,1,ガエル・モンフィス,問,1.0,171,2,201708モントリオール,×,,,Deuce,0,1
13,27,,w,1,ガエル・モンフィス,問,1.0,168,2,201708モントリオール,○,40,Ad,Ad,1,0
14,28,,c,2,ガエル・モンフィス,問,1.0,165,2,201708モントリオール,×,40,40,Deuce,0,1
15,42,,w,1,ガエル・モンフィス,問,1.0,171,3,201708モントリオール,×,0,0,Deuce,0,1
16,43,,w,2,ガエル・モンフィス,問,1.0,156,3,201708モントリオール,○,0,15,Ad,1,0
17,44,,c,1,ガエル・モンフィス,問,1.0,200,3,201708モントリオール,○,15,15,Deuce,1,0
18,45,,w,1,ガエル・モンフィス,問,1.0,168,3,201708モントリオール,○,30,15,Ad,1,0
19,46,,c,2,ガエル・モンフィス,問,1.0,165,3,201708モントリオール,×,40,15,Deuce,0,1
20,47,,w,1,ガエル・モンフィス,問,1.0,166,3,201708モントリオール,○,40,30,Ad,1,0
21,48,,c,1,ガエル・モンフィス,圭,1.0,173,4,201708モントリオール,×,0,0,Deuce,0,1
22,49,,w,1,ガエル・モンフィス,圭,1.0,163,4,201708モントリオール,○,0,15,Ad,1,0
23,50,,c,2,ガエル・モンフィス,圭,1.0,132,4,201708モントリオール,×,15,15,Deuce,0,1
24,51,,w,1,ガエル・モンフィス,圭,1.0,178,4,201708モントリオール,×,15,30,Ad,0,1
25,52,,w,1,ガエル・モンフィス,圭,1.0,159,4,201708モントリオール,○,15,40,Deuce,1,0
26,53,,w,2,ガエル・モンフィス,圭,1.0,117,4,201708モントリオール,○,30,40,Ad,1,0
27,54,,w,1,ガエル・モンフィス,圭,1.0,153,4,201708モントリオール,○,40,40,Deuce,1,0
28,55,,w,2,ガエル・モンフィス,圭,1.0,131,4,201708モントリオール,○,Ad,40,Ad,1,0
29,82,Ac,c,1,ガエル・モンフィス,問,1.0,206,5,201708モントリオール,×,0,0,Deuce,0,1
30,83,,c,1,ガエル・モンフィス,問,1.0,202,5,201708モントリオール,×,0,15,Ad,0,1
31,84,Zr,c,1,ガエル・モンフィス,問,1.0,201,5,201708モントリオール,×,0,30,Deuce,0,1
32,85,Zr,,,ガエル・モンフィス,問,1.0,201,5,201708モントリオール,×,0,40,Ad,0,1
33,116,,c,2,ガエル・モンフィス,圭,1.0,141,6,201708モントリオール,○,0,0,Deuce,1,0
34,117,,w,1,ガエル・モンフィス,圭,1.0,,6,201708モントリオール,○,15,0,Ad,1,0
35,118,,c,1,ガエル・モンフィス,圭,1.0,191,6,201708モントリオール,○,30,0,Deuce,1,0
36,119,,b,1,ガエル・モンフィス,圭,1.0,174,6,201708モントリオール,○,40,0,Ad,1,0
37,154,,w,1,ガエル・モンフィス,問,1.0,164,7,201708モントリオール,×,0,0,Deuce,0,1
38,155,,c,2,ガエル・モンフィス,問,1.0,169,7,201708モントリオール,×,0,15,Ad,0,1
39,156,,c,1,ガエル・モンフィス,問,1.0,177,7,201708モントリオール,×,0,30,Deuce,0,1
40,157,,c,1,ガエル・モンフィス,問,1.0,172,7,201708モントリオール,○,0,40,Ad,1,0
41,158,Zr,w,1,ガエル・モンフィス,問,1.0,174,7,201708モントリオール,×,15,40,Deuce,0,1
42,199,,w,2,ガエル・モンフィス,圭,1.0,132,2,201708モントリオール,○,15,0,Ad,1,0
43,200,,w,1,ガエル・モンフィス,圭,1.0,161,2,201708モントリオール,○,30,0,Deuce,1,0
44,201,,w,1,ガエル・モンフィス,圭,1.0,121,2,201708モントリオール,○,40,0,Ad,1,0
45,241,,c,2,ガエル・モンフィス,圭,1.0,138,8,201708モントリオール,○,0,0,Deuce,1,0
