,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201802ニューヨーク,ケビン・アンダーソン,1.0,1,下,×,1,w,294,,0,0,Deuce,0,1
1,1,201802ニューヨーク,ケビン・アンダーソン,1.0,1,下,×,2,w,140,,0,15,Ad,0,1
2,2,201802ニューヨーク,ケビン・アンダーソン,1.0,1,下,×,1,c,,Ac,0,30,Deuce,0,1
3,3,201802ニューヨーク,ケビン・アンダーソン,1.0,1,下,○,2,w,138,,0,40,Ad,1,0
4,4,201802ニューヨーク,ケビン・アンダーソン,1.0,1,下,○,2,w,170,,15,40,Deuce,1,0
5,5,201802ニューヨーク,ケビン・アンダーソン,1.0,1,下,×,1,w,196,,30,40,Ad,0,1
6,12,201802ニューヨーク,ケビン・アンダーソン,1.0,2,圭,○,2,c,154,,0,0,Deuce,1,0
7,13,201802ニューヨーク,ケビン・アンダーソン,1.0,2,圭,×,1,w,162,,15,0,Ad,0,1
8,14,201802ニューヨーク,ケビン・アンダーソン,1.0,2,圭,×,2,w,148,,15,15,Deuce,0,1
9,15,201802ニューヨーク,ケビン・アンダーソン,1.0,2,圭,×,1,c,170,,15,30,Ad,0,1
10,26,201802ニューヨーク,ケビン・アンダーソン,1.0,3,下,×,1,w,173,,0,0,Deuce,0,1
11,27,201802ニューヨーク,ケビン・アンダーソン,1.0,3,下,×,1,c,196,,0,15,Ad,0,1
12,28,201802ニューヨーク,ケビン・アンダーソン,1.0,3,下,×,1,c,196,Ac,0,30,Deuce,0,1
13,29,201802ニューヨーク,ケビン・アンダーソン,1.0,3,下,×,,,196,Ac,0,40,Ad,0,1
14,44,201802ニューヨーク,ケビン・アンダーソン,1.0,4,圭,×,1,b,170,,0,0,Deuce,0,1
15,45,201802ニューヨーク,ケビン・アンダーソン,1.0,4,圭,×,1,w,167,,0,15,Ad,0,1
16,46,201802ニューヨーク,ケビン・アンダーソン,1.0,4,圭,○,2,c,157,,0,30,Deuce,1,0
17,47,201802ニューヨーク,ケビン・アンダーソン,1.0,4,圭,×,2,o,,Do,15,30,Ad,0,1
18,48,201802ニューヨーク,ケビン・アンダーソン,1.0,4,圭,○,1,c,178,,15,40,Deuce,1,0
19,49,201802ニューヨーク,ケビン・アンダーソン,1.0,4,圭,×,1,w,178,,30,40,Ad,0,1
20,70,201802ニューヨーク,ケビン・アンダーソン,1.0,5,下,×,1,c,199,Ac,0,0,Deuce,0,1
