,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201803マイアミ,ジョン・ミルマン,1.0,1,視,○,1,c,183,,0,0,Deuce,1,0
1,1,201803マイアミ,ジョン・ミルマン,1.0,1,視,×,1,b,178,,15,0,Ad,0,1
2,2,201803マイアミ,ジョン・ミルマン,1.0,1,視,×,1,w,168,,15,15,Deuce,0,1
3,3,201803マイアミ,ジョン・ミルマン,1.0,1,視,×,1,c,181,,15,30,Ad,0,1
4,4,201803マイアミ,ジョン・ミルマン,1.0,1,視,○,1,b,189,,15,40,Deuce,1,0
5,5,201803マイアミ,ジョン・ミルマン,1.0,1,視,×,2,w,130,,30,40,Ad,0,1
6,6,201803マイアミ,ジョン・ミルマン,1.0,2,圭,×,1,w,157,,0,0,Deuce,0,1
7,7,201803マイアミ,ジョン・ミルマン,1.0,2,圭,○,1,b,181,,0,15,Ad,1,0
8,8,201803マイアミ,ジョン・ミルマン,1.0,2,圭,○,2,b,143,,15,15,Deuce,1,0
9,9,201803マイアミ,ジョン・ミルマン,1.0,2,圭,○,2,c,157,,30,15,Ad,1,0
10,10,201803マイアミ,ジョン・ミルマン,1.0,2,圭,×,2,c,154,,40,15,Deuce,0,1
11,11,201803マイアミ,ジョン・ミルマン,1.0,2,圭,○,2,w,138,,40,30,Ad,1,0
12,24,201803マイアミ,ジョン・ミルマン,1.0,3,観,○,2,n,,Dn,0,0,Deuce,1,0
13,25,201803マイアミ,ジョン・ミルマン,1.0,3,観,×,1,c,157,,15,0,Ad,0,1
14,26,201803マイアミ,ジョン・ミルマン,1.0,3,観,×,1,w,177,,15,15,Deuce,0,1
15,27,201803マイアミ,ジョン・ミルマン,1.0,3,観,×,2,w,146,,15,30,Ad,0,1
16,28,201803マイアミ,ジョン・ミルマン,1.0,3,観,×,1,c,199,,15,40,Deuce,0,1
