,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201805ローマ,グリゴール・ディミドロフ,1.0,1,虞,×,1,w,181,,0,0,Deuce,0,1
1,1,201805ローマ,グリゴール・ディミドロフ,1.0,1,虞,×,1,c,220,,0,15,Ad,0,1
2,2,201805ローマ,グリゴール・ディミドロフ,1.0,1,虞,×,1,c,221,,0,30,Deuce,0,1
3,3,201805ローマ,グリゴール・ディミドロフ,1.0,1,虞,×,1,w,196,,0,40,Ad,0,1
4,8,201805ローマ,グリゴール・ディミドロフ,1.0,2,圭,○,1,c,182,,0,0,Deuce,1,0
5,9,201805ローマ,グリゴール・ディミドロフ,1.0,2,圭,○,2,w,139,,15,0,Ad,1,0
6,10,201805ローマ,グリゴール・ディミドロフ,1.0,2,圭,×,1,b,170,,30,0,Deuce,0,1
7,11,201805ローマ,グリゴール・ディミドロフ,1.0,2,圭,○,1,w,178,,30,15,Ad,1,0
8,12,201805ローマ,グリゴール・ディミドロフ,1.0,2,圭,×,2,c,154,,40,15,Deuce,0,1
9,13,201805ローマ,グリゴール・ディミドロフ,1.0,2,圭,○,1,w,147,,40,30,Ad,1,0
10,24,201805ローマ,グリゴール・ディミドロフ,1.0,3,虞,×,2,c,160,,0,0,Deuce,0,1
11,25,201805ローマ,グリゴール・ディミドロフ,1.0,3,虞,○,1,c,189,,0,15,Ad,1,0
12,26,201805ローマ,グリゴール・ディミドロフ,1.0,3,虞,×,2,b,151,,15,15,Deuce,0,1
13,27,201805ローマ,グリゴール・ディミドロフ,1.0,3,虞,×,1,w,,,15,30,Ad,0,1
14,28,201805ローマ,グリゴール・ディミドロフ,1.0,3,虞,○,1,w,176,,15,40,Deuce,1,0
15,29,201805ローマ,グリゴール・ディミドロフ,1.0,3,虞,×,1,c,183,,30,40,Ad,0,1
16,46,201805ローマ,グリゴール・ディミドロフ,1.0,4,圭,×,2,w,140,,0,0,Deuce,0,1
17,47,201805ローマ,グリゴール・ディミドロフ,1.0,4,圭,○,1,c,172,,0,15,Ad,1,0
18,48,201805ローマ,グリゴール・ディミドロフ,1.0,4,圭,○,1,w,159,,15,15,Deuce,1,0
19,49,201805ローマ,グリゴール・ディミドロフ,1.0,4,圭,○,2,w,124,,30,15,Ad,1,0
20,50,201805ローマ,グリゴール・ディミドロフ,1.0,4,圭,○,1,c,172,,40,15,Deuce,1,0
