,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201805全仏,マキシム・ジャンビエ,1.0,1,圭,○,2,c,,,0,0,Deuce,1,0
1,1,201805全仏,マキシム・ジャンビエ,1.0,1,圭,○,2,w,,,15,0,Ad,1,0
2,2,201805全仏,マキシム・ジャンビエ,1.0,1,圭,×,1,w,,,30,0,Deuce,0,1
3,3,201805全仏,マキシム・ジャンビエ,1.0,1,圭,○,1,w,,,30,15,Ad,1,0
4,4,201805全仏,マキシム・ジャンビエ,1.0,1,圭,○,1,c,,,40,15,Deuce,1,0
5,10,201805全仏,マキシム・ジャンビエ,1.0,2,蛇,×,1,w,,,0,0,Deuce,0,1
6,11,201805全仏,マキシム・ジャンビエ,1.0,2,蛇,×,1,w,,,0,15,Ad,0,1
7,12,201805全仏,マキシム・ジャンビエ,1.0,2,蛇,×,1,c,,,0,30,Deuce,0,1
8,13,201805全仏,マキシム・ジャンビエ,1.0,2,蛇,×,2,c,,,0,40,Ad,0,1
9,23,201805全仏,マキシム・ジャンビエ,1.0,3,圭,○,1,b,,,0,0,Deuce,1,0
10,24,201805全仏,マキシム・ジャンビエ,1.0,3,圭,○,2,b,,,15,0,Ad,1,0
11,25,201805全仏,マキシム・ジャンビエ,1.0,3,圭,○,1,w,,,30,0,Deuce,1,0
12,26,201805全仏,マキシム・ジャンビエ,1.0,3,圭,×,1,c,,,40,0,Ad,0,1
13,27,201805全仏,マキシム・ジャンビエ,1.0,3,圭,○,1,w,,,40,15,Deuce,1,0
14,42,201805全仏,マキシム・ジャンビエ,1.0,4,蛇,×,2,b,,,0,0,Deuce,0,1
15,43,201805全仏,マキシム・ジャンビエ,1.0,4,蛇,○,2,w,,,0,15,Ad,1,0
16,44,201805全仏,マキシム・ジャンビエ,1.0,4,蛇,○,1,c,,,15,15,Deuce,1,0
17,45,201805全仏,マキシム・ジャンビエ,1.0,4,蛇,×,1,c,,,30,15,Ad,0,1
18,46,201805全仏,マキシム・ジャンビエ,1.0,4,蛇,×,2,w,,,30,30,Deuce,0,1
19,47,201805全仏,マキシム・ジャンビエ,1.0,4,蛇,×,1,w,,,30,40,Ad,0,1
20,68,201805全仏,マキシム・ジャンビエ,1.0,5,圭,×,2,c,,,0,0,Deuce,0,1
21,69,201805全仏,マキシム・ジャンビエ,1.0,5,圭,×,2,w,,,0,15,Ad,0,1
22,70,201805全仏,マキシム・ジャンビエ,1.0,5,圭,×,1,w,,,0,30,Deuce,0,1
