,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201806ハレ,マティアス・バッキンガー,1.0,1,圭,○,2,b,,,0,0,Deuce,1,0
1,1,201806ハレ,マティアス・バッキンガー,1.0,1,圭,○,2,c,148,,15,0,Ad,1,0
2,2,201806ハレ,マティアス・バッキンガー,1.0,1,圭,○,1,b,182,,30,0,Deuce,1,0
3,3,201806ハレ,マティアス・バッキンガー,1.0,1,圭,×,1,w,162,,40,0,Ad,0,1
4,4,201806ハレ,マティアス・バッキンガー,1.0,1,圭,×,1,w,176,,40,15,Deuce,0,1
5,5,201806ハレ,マティアス・バッキンガー,1.0,1,圭,×,1,w,182,,40,30,Ad,0,1
6,6,201806ハレ,マティアス・バッキンガー,1.0,1,圭,○,1,w,162,,40,40,Deuce,1,0
7,7,201806ハレ,マティアス・バッキンガー,1.0,1,圭,○,1,w,142,,Ad,40,Ad,1,0
8,16,201806ハレ,マティアス・バッキンガー,1.0,2,町,○,2,w,151,,0,0,Deuce,1,0
9,17,201806ハレ,マティアス・バッキンガー,1.0,2,町,×,1,c,177,,15,0,Ad,0,1
10,18,201806ハレ,マティアス・バッキンガー,1.0,2,町,○,2,c,155,,15,15,Deuce,1,0
11,19,201806ハレ,マティアス・バッキンガー,1.0,2,町,○,1,w,173,,30,15,Ad,1,0
12,20,201806ハレ,マティアス・バッキンガー,1.0,2,町,×,1,w,176,,40,15,Deuce,0,1
13,21,201806ハレ,マティアス・バッキンガー,1.0,2,町,×,2,w,126,,40,30,Ad,0,1
14,22,201806ハレ,マティアス・バッキンガー,1.0,2,町,×,1,c,194,Ac,40,40,Deuce,0,1
15,23,201806ハレ,マティアス・バッキンガー,1.0,2,町,×,1,c,200,,40,Ad,Ad,0,1
16,40,201806ハレ,マティアス・バッキンガー,1.0,3,圭,○,2,b,167,,0,0,Deuce,1,0
17,41,201806ハレ,マティアス・バッキンガー,1.0,3,圭,○,2,w,150,,15,0,Ad,1,0
18,42,201806ハレ,マティアス・バッキンガー,1.0,3,圭,○,1,w,164,,30,0,Deuce,1,0
19,43,201806ハレ,マティアス・バッキンガー,1.0,3,圭,○,1,c,175,Ac,40,0,Ad,1,0
20,64,201806ハレ,マティアス・バッキンガー,1.0,4,町,○,2,o,,Do,0,0,Deuce,1,0
21,65,201806ハレ,マティアス・バッキンガー,1.0,4,町,×,1,c,182,,15,0,Ad,0,1
22,66,201806ハレ,マティアス・バッキンガー,1.0,4,町,○,1,c,198,,15,15,Deuce,1,0
23,67,201806ハレ,マティアス・バッキンガー,1.0,4,町,○,2,n,,Dn,30,15,Ad,1,0
24,68,201806ハレ,マティアス・バッキンガー,1.0,4,町,×,1,w,182,,40,15,Deuce,0,1
25,69,201806ハレ,マティアス・バッキンガー,1.0,4,町,○,2,w,138,,40,30,Ad,1,0
26,96,201806ハレ,マティアス・バッキンガー,1.0,5,圭,○,2,c,158,,0,0,Deuce,1,0
27,97,201806ハレ,マティアス・バッキンガー,1.0,5,圭,○,1,w,170,,15,0,Ad,1,0
28,98,201806ハレ,マティアス・バッキンガー,1.0,5,圭,×,1,b,186,,30,0,Deuce,0,1
29,99,201806ハレ,マティアス・バッキンガー,1.0,5,圭,×,1,c,179,,30,15,Ad,0,1
30,100,201806ハレ,マティアス・バッキンガー,1.0,5,圭,○,2,w,165,,30,30,Deuce,1,0
31,101,201806ハレ,マティアス・バッキンガー,1.0,5,圭,○,1,c,186,,40,30,Ad,1,0
32,134,201806ハレ,マティアス・バッキンガー,1.0,6,町,×,1,w,180,,0,0,Deuce,0,1
33,135,201806ハレ,マティアス・バッキンガー,1.0,6,町,×,1,b,179,,0,15,Ad,0,1
34,136,201806ハレ,マティアス・バッキンガー,1.0,6,町,×,1,w,172,,0,30,Deuce,0,1
35,137,201806ハレ,マティアス・バッキンガー,1.0,6,町,×,1,w,180,,0,40,Ad,0,1
36,174,201806ハレ,マティアス・バッキンガー,1.0,7,圭,○,2,c,163,,0,0,Deuce,1,0
37,175,201806ハレ,マティアス・バッキンガー,1.0,7,圭,○,1,c,176,Ac,15,0,Ad,1,0
38,176,201806ハレ,マティアス・バッキンガー,1.0,7,圭,○,1,w,158,,30,0,Deuce,1,0
39,177,201806ハレ,マティアス・バッキンガー,1.0,7,圭,○,2,w,142,,40,0,Ad,1,0
40,218,201806ハレ,マティアス・バッキンガー,1.0,8,町,×,2,w,165,,0,0,Deuce,0,1
41,219,201806ハレ,マティアス・バッキンガー,1.0,8,町,○,2,w,148,,0,15,Ad,1,0
42,220,201806ハレ,マティアス・バッキンガー,1.0,8,町,×,2,w,158,,15,15,Deuce,0,1
43,221,201806ハレ,マティアス・バッキンガー,1.0,8,町,×,1,b,170,,15,30,Ad,0,1
44,222,201806ハレ,マティアス・バッキンガー,1.0,8,町,×,2,w,160,,15,40,Deuce,0,1
45,268,201806ハレ,マティアス・バッキンガー,1.0,9,圭,○,1,b,180,,0,0,Deuce,1,0
