,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201807ウィンブルドン,ニック・キリオス,2.0,1,霧,×,1,w,193,,0,0,Deuce,0,1
1,1,201807ウィンブルドン,ニック・キリオス,2.0,1,霧,×,1,c,201,Ac,0,15,Ad,0,1
2,2,201807ウィンブルドン,ニック・キリオス,2.0,1,霧,○,1,c,210,,0,30,Deuce,1,0
3,3,201807ウィンブルドン,ニック・キリオス,2.0,1,霧,○,2,w,167,,15,30,Ad,1,0
4,4,201807ウィンブルドン,ニック・キリオス,2.0,1,霧,○,2,b,172,,30,30,Deuce,1,0
5,5,201807ウィンブルドン,ニック・キリオス,2.0,1,霧,○,2,w,173,,40,30,Ad,1,0
6,6,201807ウィンブルドン,ニック・キリオス,2.0,2,圭,×,1,c,191,,0,0,Deuce,0,1
7,7,201807ウィンブルドン,ニック・キリオス,2.0,2,圭,○,1,w,188,,0,15,Ad,1,0
8,8,201807ウィンブルドン,ニック・キリオス,2.0,2,圭,○,1,c,193,Ac,15,15,Deuce,1,0
9,9,201807ウィンブルドン,ニック・キリオス,2.0,2,圭,×,1,w,144,,30,15,Ad,0,1
10,10,201807ウィンブルドン,ニック・キリオス,2.0,2,圭,○,2,w,146,,30,30,Deuce,1,0
11,11,201807ウィンブルドン,ニック・キリオス,2.0,2,圭,○,2,w,148,,40,30,Ad,1,0
12,12,201807ウィンブルドン,ニック・キリオス,2.0,3,霧,×,1,w,178,,0,0,Deuce,0,1
13,13,201807ウィンブルドン,ニック・キリオス,2.0,3,霧,○,2,n,,Dn,0,15,Ad,1,0
14,14,201807ウィンブルドン,ニック・キリオス,2.0,3,霧,×,1,c,212,Ac,15,15,Deuce,0,1
15,15,201807ウィンブルドン,ニック・キリオス,2.0,3,霧,○,1,w,167,,15,30,Ad,1,0
16,16,201807ウィンブルドン,ニック・キリオス,2.0,3,霧,×,1,c,214,,30,30,Deuce,0,1
17,17,201807ウィンブルドン,ニック・キリオス,2.0,3,霧,×,1,c,214,Ac,30,40,Ad,0,1
18,18,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,×,1,w,165,,0,0,Deuce,0,1
19,19,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,×,2,w,136,,0,15,Ad,0,1
20,20,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,○,1,b,186,,0,30,Deuce,1,0
21,21,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,○,2,b,144,,15,30,Ad,1,0
22,22,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,○,1,w,162,,30,30,Deuce,1,0
23,23,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,×,1,b,173,,40,30,Ad,0,1
24,24,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,×,1,w,157,,40,40,Deuce,0,1
25,25,201807ウィンブルドン,ニック・キリオス,2.0,4,圭,×,2,w,131,,40,Ad,Ad,0,1
26,52,201807ウィンブルドン,ニック・キリオス,2.0,5,霧,○,2,w,157,,0,0,Deuce,1,0
27,53,201807ウィンブルドン,ニック・キリオス,2.0,5,霧,×,2,w,173,,15,0,Ad,0,1
28,54,201807ウィンブルドン,ニック・キリオス,2.0,5,霧,×,1,c,214,Ac,15,15,Deuce,0,1
29,55,201807ウィンブルドン,ニック・キリオス,2.0,5,霧,×,1,c,199,,15,30,Ad,0,1
30,56,201807ウィンブルドン,ニック・キリオス,2.0,5,霧,×,2,w,167,,15,40,Deuce,0,1
31,88,201807ウィンブルドン,ニック・キリオス,2.0,6,圭,○,1,w,178,,0,0,Deuce,1,0
32,89,201807ウィンブルドン,ニック・キリオス,2.0,6,圭,○,1,c,180,,15,0,Ad,1,0
33,90,201807ウィンブルドン,ニック・キリオス,2.0,6,圭,○,1,w,146,,30,0,Deuce,1,0
