,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201808トロント,ロビン・ハーセ,1.0,1,圭,○,2,c,,,0,0,Deuce,1,0
1,1,201808トロント,ロビン・ハーセ,1.0,1,圭,○,1,w,,,15,0,Ad,1,0
2,2,201808トロント,ロビン・ハーセ,1.0,1,圭,○,1,b,167,,30,0,Deuce,1,0
3,3,201808トロント,ロビン・ハーセ,1.0,1,圭,○,1,w,175,,40,0,Ad,1,0
4,8,201808トロント,ロビン・ハーセ,1.0,2,馳,○,2,n,,Dn,0,0,Deuce,1,0
5,9,201808トロント,ロビン・ハーセ,1.0,2,馳,×,2,w,151,,15,0,Ad,0,1
6,10,201808トロント,ロビン・ハーセ,1.0,2,馳,○,1,c,169,,15,15,Deuce,1,0
7,11,201808トロント,ロビン・ハーセ,1.0,2,馳,○,1,w,199,,30,15,Ad,1,0
8,12,201808トロント,ロビン・ハーセ,1.0,2,馳,×,1,w,189,,40,15,Deuce,0,1
9,13,201808トロント,ロビン・ハーセ,1.0,2,馳,○,2,w,,,40,30,Ad,1,0
10,24,201808トロント,ロビン・ハーセ,1.0,3,圭,○,2,c,154,,0,0,Deuce,1,0
11,25,201808トロント,ロビン・ハーセ,1.0,3,圭,○,1,c,179,,15,0,Ad,1,0
12,26,201808トロント,ロビン・ハーセ,1.0,3,圭,○,2,c,146,,30,0,Deuce,1,0
13,27,201808トロント,ロビン・ハーセ,1.0,3,圭,○,1,c,174,,40,0,Ad,1,0
14,42,201808トロント,ロビン・ハーセ,1.0,4,馳,×,1,w,196,Aw,0,0,Deuce,0,1
15,43,201808トロント,ロビン・ハーセ,1.0,4,馳,×,1,w,198,,0,15,Ad,0,1
16,44,201808トロント,ロビン・ハーセ,1.0,4,馳,○,1,c,203,,0,30,Deuce,1,0
17,45,201808トロント,ロビン・ハーセ,1.0,4,馳,○,1,c,198,,15,30,Ad,1,0
