,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,サム・クエリー,寒,1.0,171,1,201810上海,○,0,0,Deuce,1,0
1,1,,c,1,サム・クエリー,寒,1.0,212,1,201810上海,×,15,0,Ad,0,1
2,2,,w,1,サム・クエリー,寒,1.0,175,1,201810上海,○,15,15,Deuce,1,0
3,3,,w,1,サム・クエリー,寒,1.0,214,1,201810上海,×,30,15,Ad,0,1
4,4,,w,1,サム・クエリー,寒,1.0,172,1,201810上海,×,30,30,Deuce,0,1
5,5,Nt,c,2,サム・クエリー,寒,1.0,160,1,201810上海,×,30,40,Ad,0,1
6,6,,w,1,サム・クエリー,寒,1.0,171,1,201810上海,○,,,Deuce,1,0
7,7,,c,1,サム・クエリー,寒,1.0,212,1,201810上海,×,40,Ad,Ad,0,1
8,12,,w,1,サム・クエリー,圭,1.0,164,2,201810上海,×,0,0,Deuce,0,1
9,13,,w,2,サム・クエリー,圭,1.0,143,2,201810上海,○,0,15,Ad,1,0
10,14,Ac,c,1,サム・クエリー,圭,1.0,186,2,201810上海,○,15,15,Deuce,1,0
11,15,,w,1,サム・クエリー,圭,1.0,174,2,201810上海,×,30,15,Ad,0,1
12,16,,c,2,サム・クエリー,圭,1.0,149,2,201810上海,○,30,30,Deuce,1,0
13,17,,w,2,サム・クエリー,圭,1.0,143,2,201810上海,○,40,30,Ad,1,0
14,30,,b,2,サム・クエリー,寒,1.0,163,3,201810上海,○,0,0,Deuce,1,0
15,31,,w,1,サム・クエリー,寒,1.0,208,3,201810上海,×,15,0,Ad,0,1
16,32,,c,1,サム・クエリー,寒,1.0,216,3,201810上海,×,15,15,Deuce,0,1
17,33,,w,2,サム・クエリー,寒,1.0,153,3,201810上海,○,15,30,Ad,1,0
18,34,,c,1,サム・クエリー,寒,1.0,212,3,201810上海,○,30,30,Deuce,1,0
19,35,,b,2,サム・クエリー,寒,1.0,150,3,201810上海,×,40,30,Ad,0,1
20,36,,w,2,サム・クエリー,寒,1.0,164,3,201810上海,×,40,40,Deuce,0,1
21,37,,w,2,サム・クエリー,寒,1.0,167,3,201810上海,×,40,Ad,Ad,0,1
22,58,,c,2,サム・クエリー,圭,1.0,145,4,201810上海,○,0,0,Deuce,1,0
23,59,,w,2,サム・クエリー,圭,1.0,140,4,201810上海,○,15,0,Ad,1,0
24,60,,b,2,サム・クエリー,圭,1.0,152,4,201810上海,○,30,0,Deuce,1,0
25,61,,b,2,サム・クエリー,圭,1.0,,4,201810上海,○,40,0,Ad,1,0
26,86,,w,1,サム・クエリー,寒,1.0,177,5,201810上海,×,0,0,Deuce,0,1
27,87,,w,1,サム・クエリー,寒,1.0,209,5,201810上海,×,0,15,Ad,0,1
28,88,,c,1,サム・クエリー,寒,1.0,208,5,201810上海,×,0,30,Deuce,0,1
29,89,,w,1,サム・クエリー,寒,1.0,214,5,201810上海,×,0,40,Ad,0,1
30,118,,w,1,サム・クエリー,圭,1.0,154,6,201810上海,○,0,0,Deuce,1,0
31,119,,c,1,サム・クエリー,圭,1.0,182,6,201810上海,×,15,0,Ad,0,1
32,120,,c,1,サム・クエリー,圭,1.0,179,6,201810上海,×,15,15,Deuce,0,1
33,121,,w,2,サム・クエリー,圭,1.0,142,6,201810上海,○,15,30,Ad,1,0
34,122,Do,o,2,サム・クエリー,圭,1.0,,6,201810上海,×,30,30,Deuce,0,1
35,123,,c,1,サム・クエリー,圭,1.0,177,6,201810上海,○,30,40,Ad,1,0
36,124,,c,2,サム・クエリー,圭,1.0,135,6,201810上海,○,40,40,Deuce,1,0
37,125,,w,1,サム・クエリー,圭,1.0,181,6,201810上海,○,Ad,40,Ad,1,0
38,162,,c,1,サム・クエリー,寒,1.0,218,7,201810上海,×,0,0,Deuce,0,1
39,163,,c,1,サム・クエリー,寒,1.0,207,7,201810上海,×,0,15,Ad,0,1
40,164,,w,2,サム・クエリー,寒,1.0,162,7,201810上海,×,0,30,Deuce,0,1
41,165,Nt,c,1,サム・クエリー,寒,1.0,207,7,201810上海,×,0,40,Ad,0,1
42,206,,c,2,サム・クエリー,圭,1.0,146,8,201810上海,○,0,0,Deuce,1,0
43,207,,w,2,サム・クエリー,圭,1.0,131,8,201810上海,×,15,0,Ad,0,1
44,208,Aw,w,1,サム・クエリー,圭,1.0,162,8,201810上海,○,15,15,Deuce,1,0
45,209,,w,2,サム・クエリー,圭,1.0,133,8,201810上海,○,30,15,Ad,1,0
46,210,,w,1,サム・クエリー,圭,1.0,164,8,201810上海,×,40,15,Deuce,0,1
47,211,,w,2,サム・クエリー,圭,1.0,146,8,201810上海,○,40,30,Ad,1,0
48,258,Ac,c,1,サム・クエリー,寒,1.0,213,9,201810上海,×,0,0,Deuce,0,1
49,259,Aw,w,1,サム・クエリー,寒,1.0,194,9,201810上海,×,0,15,Ad,0,1
50,260,Ac,c,1,サム・クエリー,寒,1.0,214,9,201810上海,×,0,30,Deuce,0,1
51,261,,b,2,サム・クエリー,寒,1.0,167,9,201810上海,○,0,40,Ad,1,0
52,312,Aw,w,1,サム・クエリー,寒,1.0,175,9,201810上海,×,15,40,Deuce,0,1
53,313,,w,2,サム・クエリー,圭,1.0,141,10,201810上海,○,0,0,Deuce,1,0
54,314,,c,2,サム・クエリー,圭,1.0,147,10,201810上海,×,15,0,Ad,0,1
55,315,,c,1,サム・クエリー,圭,1.0,178,10,201810上海,○,15,15,Deuce,1,0
56,316,,w,1,サム・クエリー,圭,1.0,180,10,201810上海,○,30,15,Ad,1,0
57,317,,c,2,サム・クエリー,圭,1.0,148,10,201810上海,×,40,15,Deuce,0,1
58,318,,w,2,サム・クエリー,圭,1.0,136,10,201810上海,○,40,30,Ad,1,0
59,376,,c,1,サム・クエリー,寒,1.0,204,11,201810上海,×,0,0,Deuce,0,1
60,377,,c,2,サム・クエリー,寒,1.0,161,11,201810上海,×,0,15,Ad,0,1
61,378,,w,2,サム・クエリー,寒,1.0,162,11,201810上海,×,0,30,Deuce,0,1
62,379,Ac,c,1,サム・クエリー,寒,1.0,209,11,201810上海,×,0,40,Ad,0,1
63,439,,c,2,サム・クエリー,寒,1.0,161,11,201810上海,×,15,15,Deuce,0,1
64,440,,w,2,サム・クエリー,寒,1.0,162,11,201810上海,×,15,30,Ad,0,1
65,441,Ac,c,1,サム・クエリー,寒,1.0,209,11,201810上海,×,15,40,Deuce,0,1
66,442,,c,1,サム・クエリー,圭,1.0,168,12,201810上海,×,0,0,Deuce,0,1
67,443,,b,1,サム・クエリー,圭,1.0,179,12,201810上海,○,0,15,Ad,1,0
68,444,,c,1,サム・クエリー,圭,1.0,185,12,201810上海,○,15,15,Deuce,1,0
69,445,,w,1,サム・クエリー,圭,1.0,159,12,201810上海,○,30,15,Ad,1,0
70,446,,c,2,サム・クエリー,圭,1.0,143,12,201810上海,○,40,15,Deuce,1,0
71,0,,w,1,サム・クエリー,圭,2.0,161,1,201810上海,×,0,0,Deuce,0,1
72,1,,c,2,サム・クエリー,圭,2.0,153,1,201810上海,○,0,15,Ad,1,0
73,2,Aw,w,1,サム・クエリー,圭,2.0,182,1,201810上海,○,15,15,Deuce,1,0
74,3,Nt,w,2,サム・クエリー,圭,2.0,157,1,201810上海,○,30,15,Ad,1,0
75,4,,t,0,サム・クエリー,圭,2.0,,1,201810上海,○,40,15,Deuce,1,0
76,5,,w,1,サム・クエリー,圭,2.0,161,1,201810上海,×,,,Ad,0,1
77,10,,b,1,サム・クエリー,寒,2.0,210,2,201810上海,×,0,0,Deuce,0,1
78,11,,w,2,サム・クエリー,寒,2.0,158,2,201810上海,○,0,15,Ad,1,0
79,12,Ac,c,1,サム・クエリー,寒,2.0,215,2,201810上海,×,15,15,Deuce,0,1
80,13,Ac,c,1,サム・クエリー,寒,2.0,204,2,201810上海,×,15,30,Ad,0,1
81,14,Nt,c,2,サム・クエリー,寒,2.0,154,2,201810上海,×,15,40,Deuce,0,1
82,25,,c,1,サム・クエリー,圭,2.0,188,3,201810上海,×,0,0,Deuce,0,1
83,26,,w,2,サム・クエリー,圭,2.0,130,3,201810上海,×,0,15,Ad,0,1
84,27,,c,1,サム・クエリー,圭,2.0,186,3,201810上海,○,0,30,Deuce,1,0
85,28,,c,2,サム・クエリー,圭,2.0,148,3,201810上海,○,15,30,Ad,1,0
86,29,,w,1,サム・クエリー,圭,2.0,156,3,201810上海,○,30,30,Deuce,1,0
87,30,,w,2,サム・クエリー,圭,2.0,141,3,201810上海,×,40,30,Ad,0,1
88,31,,c,1,サム・クエリー,圭,2.0,189,3,201810上海,○,40,40,Deuce,1,0
89,32,,w,1,サム・クエリー,圭,2.0,184,3,201810上海,○,Ad,40,Ad,1,0
90,51,,c,1,サム・クエリー,寒,2.0,207,4,201810上海,○,0,0,Deuce,1,0
91,52,,w,2,サム・クエリー,寒,2.0,160,4,201810上海,○,15,0,Ad,1,0
92,53,,w,2,サム・クエリー,寒,2.0,164,4,201810上海,×,30,0,Deuce,0,1
93,54,Aw,w,1,サム・クエリー,寒,2.0,213,4,201810上海,×,30,15,Ad,0,1
94,55,,w,1,サム・クエリー,寒,2.0,171,4,201810上海,×,30,30,Deuce,0,1
95,56,,c,1,サム・クエリー,寒,2.0,208,4,201810上海,○,30,40,Ad,1,0
96,57,,w,1,サム・クエリー,寒,2.0,167,4,201810上海,×,40,40,Deuce,0,1
97,58,,c,1,サム・クエリー,寒,2.0,203,4,201810上海,○,40,Ad,Ad,1,0
98,93,Ac,c,1,サム・クエリー,圭,2.0,181,5,201810上海,○,0,0,Deuce,1,0
99,94,,w,2,サム・クエリー,圭,2.0,146,5,201810上海,○,15,0,Ad,1,0
100,95,,b,1,サム・クエリー,圭,2.0,176,5,201810上海,○,30,0,Deuce,1,0
101,96,,b,2,サム・クエリー,圭,2.0,141,5,201810上海,○,40,0,Ad,1,0
102,131,Ac,c,1,サム・クエリー,寒,2.0,212,6,201810上海,×,0,0,Deuce,0,1
103,132,,c,1,サム・クエリー,寒,2.0,200,6,201810上海,×,0,15,Ad,0,1
104,133,Aw,w,1,サム・クエリー,寒,2.0,169,6,201810上海,×,0,30,Deuce,0,1
105,134,Nt,w,1,サム・クエリー,寒,2.0,210,6,201810上海,×,0,40,Ad,0,1
106,173,,c,2,サム・クエリー,圭,2.0,140,7,201810上海,×,0,0,Deuce,0,1
107,174,,w,1,サム・クエリー,圭,2.0,184,7,201810上海,○,0,15,Ad,1,0
108,175,,c,2,サム・クエリー,圭,2.0,140,7,201810上海,×,15,15,Deuce,0,1
109,176,,w,2,サム・クエリー,圭,2.0,132,7,201810上海,○,15,30,Ad,1,0
110,177,,c,2,サム・クエリー,圭,2.0,145,7,201810上海,○,30,30,Deuce,1,0
111,178,Aw,w,1,サム・クエリー,圭,2.0,188,7,201810上海,○,40,30,Ad,1,0
112,223,,b,2,サム・クエリー,寒,2.0,163,8,201810上海,○,0,0,Deuce,1,0
113,224,Aw,w,1,サム・クエリー,寒,2.0,203,8,201810上海,×,15,0,Ad,0,1
114,225,,w,2,サム・クエリー,寒,2.0,159,8,201810上海,×,15,15,Deuce,0,1
115,226,,w,1,サム・クエリー,寒,2.0,211,8,201810上海,×,15,30,Ad,0,1
116,227,,w,2,サム・クエリー,寒,2.0,167,8,201810上海,○,15,40,Deuce,1,0
117,228,,w,2,サム・クエリー,寒,2.0,146,8,201810上海,×,30,40,Ad,0,1
118,279,,b,2,サム・クエリー,圭,2.0,139,9,201810上海,○,0,0,Deuce,1,0
119,280,,c,1,サム・クエリー,圭,2.0,189,9,201810上海,○,15,0,Ad,1,0
120,281,,w,2,サム・クエリー,圭,2.0,151,9,201810上海,×,30,0,Deuce,0,1
121,282,,b,1,サム・クエリー,圭,2.0,181,9,201810上海,×,30,15,Ad,0,1
122,283,,c,2,サム・クエリー,圭,2.0,143,9,201810上海,○,30,30,Deuce,1,0
123,284,,w,1,サム・クエリー,圭,2.0,182,9,201810上海,○,40,30,Ad,1,0
124,341,,w,1,サム・クエリー,寒,2.0,179,10,201810上海,○,0,0,Deuce,1,0
125,342,Ac,c,1,サム・クエリー,寒,2.0,197,10,201810上海,×,15,0,Ad,0,1
126,343,,w,1,サム・クエリー,寒,2.0,167,10,201810上海,○,15,15,Deuce,1,0
127,344,,w,2,サム・クエリー,寒,2.0,140,10,201810上海,○,30,15,Ad,1,0
128,345,,w,1,サム・クエリー,寒,2.0,166,10,201810上海,×,40,15,Deuce,0,1
129,346,,w,2,サム・クエリー,寒,2.0,141,10,201810上海,○,40,30,Ad,1,0
130,0,,b,2,ロジャー・フェデラー,圭,1.0,150,1,201810上海,×,0,0,Deuce,0,1
131,1,,w,2,ロジャー・フェデラー,圭,1.0,140,1,201810上海,×,0,15,Ad,0,1
132,2,,c,1,ロジャー・フェデラー,圭,1.0,185,1,201810上海,○,0,30,Deuce,1,0
133,3,Dn,n,2,ロジャー・フェデラー,圭,1.0,,1,201810上海,×,15,30,Ad,0,1
134,4,,b,1,ロジャー・フェデラー,圭,1.0,180,1,201810上海,○,15,40,Deuce,1,0
135,5,,c,2,ロジャー・フェデラー,圭,1.0,160,1,201810上海,○,30,40,Ad,1,0
136,6,,w,1,ロジャー・フェデラー,圭,1.0,175,1,201810上海,×,40,40,Deuce,0,1
137,7,,w,2,ロジャー・フェデラー,圭,1.0,149,1,201810上海,○,40,Ad,Ad,1,0
138,11,,w,2,ロジャー・フェデラー,圭,1.0,151,1,201810上海,×,Ad,40,Ad,0,1
139,18,,b,2,ロジャー・フェデラー,圭,1.0,150,1,201810上海,×,,,Deuce,0,1
140,36,Ds,s,2,ロジャー・フェデラー,炉,1.0,,2,201810上海,○,0,0,Deuce,1,0
141,37,Ac,c,1,ロジャー・フェデラー,炉,1.0,193,2,201810上海,×,15,0,Ad,0,1
142,38,,b,2,ロジャー・フェデラー,炉,1.0,161,2,201810上海,○,15,15,Deuce,1,0
143,39,,c,1,ロジャー・フェデラー,炉,1.0,195,2,201810上海,×,30,15,Ad,0,1
144,40,,w,1,ロジャー・フェデラー,炉,1.0,166,2,201810上海,×,30,30,Deuce,0,1
145,41,,b,2,ロジャー・フェデラー,炉,1.0,158,2,201810上海,○,30,40,Ad,1,0
146,42,,c,1,ロジャー・フェデラー,炉,1.0,201,2,201810上海,×,40,40,Deuce,0,1
147,43,Nt,w,1,ロジャー・フェデラー,炉,1.0,195,2,201810上海,×,40,Ad,Ad,0,1
148,70,,c,2,ロジャー・フェデラー,圭,1.0,153,3,201810上海,○,0,0,Deuce,1,0
149,71,,c,1,ロジャー・フェデラー,圭,1.0,180,3,201810上海,×,15,0,Ad,0,1
150,72,,w,1,ロジャー・フェデラー,圭,1.0,155,3,201810上海,○,15,15,Deuce,1,0
151,73,,w,1,ロジャー・フェデラー,圭,1.0,186,3,201810上海,○,30,15,Ad,1,0
152,74,,c,1,ロジャー・フェデラー,圭,1.0,186,3,201810上海,○,40,15,Deuce,1,0
153,106,Ac,c,1,ロジャー・フェデラー,炉,1.0,196,4,201810上海,×,0,0,Deuce,0,1
154,107,,w,2,ロジャー・フェデラー,炉,1.0,114,4,201810上海,×,0,15,Ad,0,1
155,108,,w,1,ロジャー・フェデラー,炉,1.0,194,4,201810上海,×,0,30,Deuce,0,1
156,109,,w,1,ロジャー・フェデラー,炉,1.0,190,4,201810上海,○,0,40,Ad,1,0
157,110,Nt,c,1,ロジャー・フェデラー,炉,1.0,195,4,201810上海,×,15,40,Deuce,0,1
158,147,,b,1,ロジャー・フェデラー,圭,1.0,179,5,201810上海,○,0,0,Deuce,1,0
159,148,,w,2,ロジャー・フェデラー,圭,1.0,146,5,201810上海,○,15,0,Ad,1,0
160,149,,b,1,ロジャー・フェデラー,圭,1.0,177,5,201810上海,×,30,0,Deuce,0,1
161,150,,c,1,ロジャー・フェデラー,圭,1.0,188,5,201810上海,○,30,15,Ad,1,0
162,151,,w,2,ロジャー・フェデラー,圭,1.0,158,5,201810上海,×,40,15,Deuce,0,1
163,152,,w,1,ロジャー・フェデラー,圭,1.0,190,5,201810上海,×,40,30,Ad,0,1
164,153,,c,2,ロジャー・フェデラー,圭,1.0,140,5,201810上海,×,40,40,Deuce,0,1
165,154,,w,2,ロジャー・フェデラー,圭,1.0,150,5,201810上海,×,40,Ad,Ad,0,1
166,199,,c,1,ロジャー・フェデラー,炉,1.0,193,6,201810上海,○,0,0,Deuce,1,0
167,200,,c,1,ロジャー・フェデラー,炉,1.0,188,6,201810上海,○,15,0,Ad,1,0
168,201,,c,2,ロジャー・フェデラー,炉,1.0,174,6,201810上海,○,30,0,Deuce,1,0
169,202,Nt,w,2,ロジャー・フェデラー,炉,1.0,674,6,201810上海,○,40,0,Ad,1,0
170,251,,b,2,ロジャー・フェデラー,圭,1.0,149,7,201810上海,×,0,0,Deuce,0,1
171,252,,w,2,ロジャー・フェデラー,圭,1.0,136,7,201810上海,○,0,15,Ad,1,0
172,253,,w,1,ロジャー・フェデラー,圭,1.0,165,7,201810上海,×,15,15,Deuce,0,1
173,254,,w,1,ロジャー・フェデラー,圭,1.0,177,7,201810上海,○,15,30,Ad,1,0
