,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201810上海,ロジャー・フェデラー,1.0,1,圭,×,2,b,150,,0,0,Deuce,0,1
1,1,201810上海,ロジャー・フェデラー,1.0,1,圭,×,2,w,140,,0,15,Ad,0,1
2,2,201810上海,ロジャー・フェデラー,1.0,1,圭,○,1,c,185,,0,30,Deuce,1,0
3,3,201810上海,ロジャー・フェデラー,1.0,1,圭,×,2,n,,Dn,15,30,Ad,0,1
4,4,201810上海,ロジャー・フェデラー,1.0,1,圭,○,1,b,180,,15,40,Deuce,1,0
5,5,201810上海,ロジャー・フェデラー,1.0,1,圭,○,2,c,160,,30,40,Ad,1,0
6,6,201810上海,ロジャー・フェデラー,1.0,1,圭,×,1,w,175,,40,40,Deuce,0,1
7,7,201810上海,ロジャー・フェデラー,1.0,1,圭,○,2,w,149,,40,Ad,Ad,1,0
8,11,201810上海,ロジャー・フェデラー,1.0,1,圭,×,2,w,151,,Ad,40,Ad,0,1
9,36,201810上海,ロジャー・フェデラー,1.0,2,炉,○,2,s,,Ds,0,0,Deuce,1,0
10,37,201810上海,ロジャー・フェデラー,1.0,2,炉,×,1,c,193,Ac,15,0,Ad,0,1
11,38,201810上海,ロジャー・フェデラー,1.0,2,炉,○,2,b,161,,15,15,Deuce,1,0
12,39,201810上海,ロジャー・フェデラー,1.0,2,炉,×,1,c,195,,30,15,Ad,0,1
13,40,201810上海,ロジャー・フェデラー,1.0,2,炉,×,1,w,166,,30,30,Deuce,0,1
14,41,201810上海,ロジャー・フェデラー,1.0,2,炉,○,2,b,158,,30,40,Ad,1,0
15,42,201810上海,ロジャー・フェデラー,1.0,2,炉,×,1,c,201,,40,40,Deuce,0,1
16,43,201810上海,ロジャー・フェデラー,1.0,2,炉,×,1,w,195,,40,Ad,Ad,0,1
17,70,201810上海,ロジャー・フェデラー,1.0,3,圭,○,2,c,153,,0,0,Deuce,1,0
18,71,201810上海,ロジャー・フェデラー,1.0,3,圭,×,1,c,180,,15,0,Ad,0,1
19,72,201810上海,ロジャー・フェデラー,1.0,3,圭,○,1,w,155,,15,15,Deuce,1,0
20,73,201810上海,ロジャー・フェデラー,1.0,3,圭,○,1,w,186,,30,15,Ad,1,0
21,74,201810上海,ロジャー・フェデラー,1.0,3,圭,○,1,c,186,,40,15,Deuce,1,0
22,106,201810上海,ロジャー・フェデラー,1.0,4,炉,×,1,c,196,Ac,0,0,Deuce,0,1
23,107,201810上海,ロジャー・フェデラー,1.0,4,炉,×,2,w,114,,0,15,Ad,0,1
24,108,201810上海,ロジャー・フェデラー,1.0,4,炉,×,1,w,194,,0,30,Deuce,0,1
25,109,201810上海,ロジャー・フェデラー,1.0,4,炉,○,1,w,190,,0,40,Ad,1,0
26,110,201810上海,ロジャー・フェデラー,1.0,4,炉,×,1,c,195,,15,40,Deuce,0,1
27,147,201810上海,ロジャー・フェデラー,1.0,5,圭,○,1,b,179,,0,0,Deuce,1,0
28,148,201810上海,ロジャー・フェデラー,1.0,5,圭,○,2,w,146,,15,0,Ad,1,0
29,149,201810上海,ロジャー・フェデラー,1.0,5,圭,×,1,b,177,,30,0,Deuce,0,1
30,150,201810上海,ロジャー・フェデラー,1.0,5,圭,○,1,c,188,,30,15,Ad,1,0
31,151,201810上海,ロジャー・フェデラー,1.0,5,圭,×,2,w,158,,40,15,Deuce,0,1
32,152,201810上海,ロジャー・フェデラー,1.0,5,圭,×,1,w,190,,40,30,Ad,0,1
33,153,201810上海,ロジャー・フェデラー,1.0,5,圭,×,2,c,140,,40,40,Deuce,0,1
34,154,201810上海,ロジャー・フェデラー,1.0,5,圭,×,2,w,150,,40,Ad,Ad,0,1
35,199,201810上海,ロジャー・フェデラー,1.0,6,炉,○,1,c,193,,0,0,Deuce,1,0
36,200,201810上海,ロジャー・フェデラー,1.0,6,炉,○,1,c,188,,15,0,Ad,1,0
37,201,201810上海,ロジャー・フェデラー,1.0,6,炉,○,2,c,174,,30,0,Deuce,1,0
38,202,201810上海,ロジャー・フェデラー,1.0,6,炉,○,2,w,,,40,0,Ad,1,0
39,251,201810上海,ロジャー・フェデラー,1.0,7,圭,×,2,b,149,,0,0,Deuce,0,1
40,252,201810上海,ロジャー・フェデラー,1.0,7,圭,○,2,w,136,,0,15,Ad,1,0
41,253,201810上海,ロジャー・フェデラー,1.0,7,圭,×,1,w,165,,15,15,Deuce,0,1
42,254,201810上海,ロジャー・フェデラー,1.0,7,圭,○,1,w,177,,15,30,Ad,1,0
43,255,201810上海,ロジャー・フェデラー,1.0,7,圭,○,1,w,172,,30,30,Deuce,1,0
44,256,201810上海,ロジャー・フェデラー,1.0,7,圭,○,1,w,160,,40,30,Ad,1,0
45,311,201810上海,ロジャー・フェデラー,1.0,8,炉,×,1,c,199,,0,0,Deuce,0,1
46,312,201810上海,ロジャー・フェデラー,1.0,8,炉,×,1,w,196,Aw,0,15,Ad,0,1
47,313,201810上海,ロジャー・フェデラー,1.0,8,炉,×,1,c,201,Ac,0,30,Deuce,0,1
48,314,201810上海,ロジャー・フェデラー,1.0,8,炉,○,1,c,201,,0,40,Ad,1,0
49,315,201810上海,ロジャー・フェデラー,1.0,8,炉,○,1,c,200,,15,40,Deuce,1,0
50,316,201810上海,ロジャー・フェデラー,1.0,8,炉,○,1,w,195,,30,40,Ad,1,0
51,317,201810上海,ロジャー・フェデラー,1.0,8,炉,×,2,c,169,,40,40,Deuce,0,1
52,318,201810上海,ロジャー・フェデラー,1.0,8,炉,×,1,c,192,,40,Ad,Ad,0,1
53,381,201810上海,ロジャー・フェデラー,1.0,9,圭,○,1,w,166,,0,0,Deuce,1,0
54,382,201810上海,ロジャー・フェデラー,1.0,9,圭,○,2,w,143,,15,0,Ad,1,0
55,383,201810上海,ロジャー・フェデラー,1.0,9,圭,×,1,c,182,,30,0,Deuce,0,1
56,384,201810上海,ロジャー・フェデラー,1.0,9,圭,○,1,w,168,,30,15,Ad,1,0
57,385,201810上海,ロジャー・フェデラー,1.0,9,圭,×,1,c,185,,40,15,Deuce,0,1
58,386,201810上海,ロジャー・フェデラー,1.0,9,圭,×,1,c,174,,40,30,Ad,0,1
59,387,201810上海,ロジャー・フェデラー,1.0,9,圭,○,2,c,150,,40,40,Deuce,1,0
60,388,201810上海,ロジャー・フェデラー,1.0,9,圭,○,1,w,194,,Ad,40,Ad,1,0
61,459,201810上海,ロジャー・フェデラー,1.0,10,炉,×,1,w,185,,0,0,Deuce,0,1
62,460,201810上海,ロジャー・フェデラー,1.0,10,炉,×,1,c,194,,0,15,Ad,0,1
63,461,201810上海,ロジャー・フェデラー,1.0,10,炉,×,2,b,154,,0,30,Deuce,0,1
64,462,201810上海,ロジャー・フェデラー,1.0,10,炉,×,1,w,191,Aw,0,40,Ad,0,1
65,0,201810上海,ロジャー・フェデラー,2.0,1,圭,○,1,c,185,,0,0,Deuce,1,0
66,1,201810上海,ロジャー・フェデラー,2.0,1,圭,×,1,w,185,,15,0,Ad,0,1
67,2,201810上海,ロジャー・フェデラー,2.0,1,圭,×,1,w,154,,15,15,Deuce,0,1
68,3,201810上海,ロジャー・フェデラー,2.0,1,圭,×,2,w,143,,15,30,Ad,0,1
69,4,201810上海,ロジャー・フェデラー,2.0,1,圭,×,2,s,,Ds,15,40,Deuce,0,1
70,10,201810上海,ロジャー・フェデラー,2.0,2,炉,×,1,w,184,,0,0,Deuce,0,1
71,11,201810上海,ロジャー・フェデラー,2.0,2,炉,○,1,w,188,,0,15,Ad,1,0
72,12,201810上海,ロジャー・フェデラー,2.0,2,炉,×,1,c,199,,15,15,Deuce,0,1
73,13,201810上海,ロジャー・フェデラー,2.0,2,炉,×,2,c,175,,15,30,Ad,0,1
74,14,201810上海,ロジャー・フェデラー,2.0,2,炉,○,2,w,169,,15,40,Deuce,1,0
75,15,201810上海,ロジャー・フェデラー,2.0,2,炉,○,1,w,196,,30,40,Ad,1,0
76,16,201810上海,ロジャー・フェデラー,2.0,2,炉,○,2,w,173,,40,40,Deuce,1,0
77,17,201810上海,ロジャー・フェデラー,2.0,2,炉,×,2,b,147,,Ad,40,Ad,0,1
78,19,201810上海,ロジャー・フェデラー,2.0,2,炉,×,1,w,194,Aw,40,Ad,Ad,0,1
79,35,201810上海,ロジャー・フェデラー,2.0,3,圭,○,2,b,155,,0,0,Deuce,1,0
80,36,201810上海,ロジャー・フェデラー,2.0,3,圭,○,2,w,157,,15,0,Ad,1,0
81,37,201810上海,ロジャー・フェデラー,2.0,3,圭,×,1,c,193,,30,0,Deuce,0,1
82,38,201810上海,ロジャー・フェデラー,2.0,3,圭,×,2,c,163,,30,15,Ad,0,1
83,39,201810上海,ロジャー・フェデラー,2.0,3,圭,○,1,c,183,,30,30,Deuce,1,0
84,40,201810上海,ロジャー・フェデラー,2.0,3,圭,○,1,b,171,,40,30,Ad,1,0
85,62,201810上海,ロジャー・フェデラー,2.0,4,炉,○,1,w,179,,0,0,Deuce,1,0
86,63,201810上海,ロジャー・フェデラー,2.0,4,炉,×,1,c,194,,15,0,Ad,0,1
87,64,201810上海,ロジャー・フェデラー,2.0,4,炉,×,1,w,159,,15,15,Deuce,0,1
88,65,201810上海,ロジャー・フェデラー,2.0,4,炉,○,1,c,185,,15,30,Ad,1,0
89,66,201810上海,ロジャー・フェデラー,2.0,4,炉,○,2,w,172,,30,30,Deuce,1,0
90,67,201810上海,ロジャー・フェデラー,2.0,4,炉,×,1,c,195,,40,30,Ad,0,1
91,68,201810上海,ロジャー・フェデラー,2.0,4,炉,×,1,c,194,,40,40,Deuce,0,1
