,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201810ウィーン,ミハイル・ククシュキン,1.0,1,圭,○,1,b,177,,0,0,Deuce,1,0
1,1,201810ウィーン,ミハイル・ククシュキン,1.0,1,圭,○,1,w,179,Aw,15,0,Ad,1,0
2,2,201810ウィーン,ミハイル・ククシュキン,1.0,1,圭,○,1,w,150,,30,0,Deuce,1,0
3,3,201810ウィーン,ミハイル・ククシュキン,1.0,1,圭,×,1,b,173,,40,0,Ad,0,1
4,4,201810ウィーン,ミハイル・ククシュキン,1.0,1,圭,○,,,173,,40,15,Deuce,1,0
5,10,201810ウィーン,ミハイル・ククシュキン,1.0,2,九,×,2,b,160,,0,0,Deuce,0,1
6,11,201810ウィーン,ミハイル・ククシュキン,1.0,2,九,×,1,c,181,Ac,0,15,Ad,0,1
7,12,201810ウィーン,ミハイル・ククシュキン,1.0,2,九,×,1,w,174,Aw,0,30,Deuce,0,1
8,13,201810ウィーン,ミハイル・ククシュキン,1.0,2,九,○,1,c,181,,0,40,Ad,1,0
9,14,201810ウィーン,ミハイル・ククシュキン,1.0,2,九,×,1,c,198,,15,40,Deuce,0,1
10,25,201810ウィーン,ミハイル・ククシュキン,1.0,3,圭,○,1,w,158,,0,0,Deuce,1,0
11,26,201810ウィーン,ミハイル・ククシュキン,1.0,3,圭,○,1,c,172,,15,0,Ad,1,0
12,27,201810ウィーン,ミハイル・ククシュキン,1.0,3,圭,×,1,w,149,,30,0,Deuce,0,1
13,28,201810ウィーン,ミハイル・ククシュキン,1.0,3,圭,○,1,w,185,,30,15,Ad,1,0
14,29,201810ウィーン,ミハイル・ククシュキン,1.0,3,圭,○,1,c,187,,40,15,Deuce,1,0
15,45,201810ウィーン,ミハイル・ククシュキン,1.0,4,九,×,1,w,170,,0,0,Deuce,0,1
16,46,201810ウィーン,ミハイル・ククシュキン,1.0,4,九,○,1,c,179,,0,15,Ad,1,0
17,47,201810ウィーン,ミハイル・ククシュキン,1.0,4,九,×,1,c,,,15,15,Deuce,0,1
18,48,201810ウィーン,ミハイル・ククシュキン,1.0,4,九,×,2,b,149,,15,30,Ad,0,1
19,49,201810ウィーン,ミハイル・ククシュキン,1.0,4,九,○,1,w,175,,15,40,Deuce,1,0
