,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,カレン・ハチャノフ,葉,1,174,1,201810ウィーン,○,0,0,Deuce,1,0
1,1,,w,1,カレン・ハチャノフ,葉,1,201,1,201810ウィーン,×,15,0,Ad,0,1
2,2,,c,1,カレン・ハチャノフ,葉,1,,1,201810ウィーン,×,15,15,Deuce,0,1
3,3,,w,1,カレン・ハチャノフ,葉,1,194,1,201810ウィーン,×,15,30,Ad,0,1
4,4,,w,1,カレン・ハチャノフ,葉,1,174,1,201810ウィーン,×,15,40,Deuce,0,1
5,5,,w,1,カレン・ハチャノフ,葉,1,174,1,201810ウィーン,○,,,Ad,1,0
6,10,,c,1,カレン・ハチャノフ,圭,1,,2,201810ウィーン,×,0,0,Deuce,0,1
7,11,,w,1,カレン・ハチャノフ,圭,1,163,2,201810ウィーン,×,0,15,Ad,0,1
8,12,,c,2,カレン・ハチャノフ,圭,1,143,2,201810ウィーン,○,0,30,Deuce,1,0
9,13,,w,1,カレン・ハチャノフ,圭,1,185,2,201810ウィーン,○,15,30,Ad,1,0
10,14,,b,1,カレン・ハチャノフ,圭,1,164,2,201810ウィーン,○,30,30,Deuce,1,0
11,15,,c,1,カレン・ハチャノフ,圭,1,187,2,201810ウィーン,○,40,30,Ad,1,0
12,27,,w,1,カレン・ハチャノフ,葉,1,169,3,201810ウィーン,×,0,0,Deuce,0,1
13,28,,c,2,カレン・ハチャノフ,葉,1,173,3,201810ウィーン,×,0,15,Ad,0,1
14,29,Ac,c,1,カレン・ハチャノフ,葉,1,198,3,201810ウィーン,×,0,30,Deuce,0,1
15,30,,b,2,カレン・ハチャノフ,葉,1,148,3,201810ウィーン,○,0,40,Ad,1,0
16,31,Nt,w,1,カレン・ハチャノフ,葉,1,168,3,201810ウィーン,×,15,40,Deuce,0,1
17,48,,c,2,カレン・ハチャノフ,圭,1,140,4,201810ウィーン,×,0,0,Deuce,0,1
18,49,,b,1,カレン・ハチャノフ,圭,1,184,4,201810ウィーン,○,0,15,Ad,1,0
19,50,,c,1,カレン・ハチャノフ,圭,1,198,4,201810ウィーン,×,15,15,Deuce,0,1
20,51,Aw,w,1,カレン・ハチャノフ,圭,1,193,4,201810ウィーン,○,15,30,Ad,1,0
21,52,,w,2,カレン・ハチャノフ,圭,1,155,4,201810ウィーン,×,30,30,Deuce,0,1
22,53,,c,1,カレン・ハチャノフ,圭,1,188,4,201810ウィーン,○,30,40,Ad,1,0
23,54,,w,1,カレン・ハチャノフ,圭,1,161,4,201810ウィーン,○,40,40,Deuce,1,0
24,55,,b,1,カレン・ハチャノフ,圭,1,178,4,201810ウィーン,○,Ad,40,Ad,1,0
25,80,,w,1,カレン・ハチャノフ,葉,1,169,5,201810ウィーン,×,0,0,Deuce,0,1
26,81,,c,1,カレン・ハチャノフ,葉,1,191,5,201810ウィーン,×,0,15,Ad,0,1
27,82,Do,o,2,カレン・ハチャノフ,葉,1,,5,201810ウィーン,○,0,30,Deuce,1,0
28,83,,c,1,カレン・ハチャノフ,葉,1,192,5,201810ウィーン,○,15,30,Ad,1,0
29,84,,c,2,カレン・ハチャノフ,葉,1,152,5,201810ウィーン,○,30,30,Deuce,1,0
30,85,,w,2,カレン・ハチャノフ,葉,1,145,5,201810ウィーン,○,40,30,Ad,1,0
31,116,,c,2,カレン・ハチャノフ,圭,1,153,6,201810ウィーン,○,0,0,Deuce,1,0
32,117,,w,2,カレン・ハチャノフ,圭,1,157,6,201810ウィーン,○,15,0,Ad,1,0
33,118,,w,1,カレン・ハチャノフ,圭,1,165,6,201810ウィーン,○,30,0,Deuce,1,0
34,119,,b,1,カレン・ハチャノフ,圭,1,167,6,201810ウィーン,○,40,0,Ad,1,0
35,154,Do,o,2,カレン・ハチャノフ,葉,1,,7,201810ウィーン,○,0,0,Deuce,1,0
36,155,,w,1,カレン・ハチャノフ,葉,1,200,7,201810ウィーン,×,15,0,Ad,0,1
37,156,,c,2,カレン・ハチャノフ,葉,1,150,7,201810ウィーン,○,15,15,Deuce,1,0
38,157,,c,1,カレン・ハチャノフ,葉,1,202,7,201810ウィーン,○,30,15,Ad,1,0
39,158,,b,2,カレン・ハチャノフ,葉,1,164,7,201810ウィーン,×,40,15,Deuce,0,1
40,159,,c,1,カレン・ハチャノフ,葉,1,196,7,201810ウィーン,○,40,30,Ad,1,0
41,200,,b,2,カレン・ハチャノフ,圭,1,143,8,201810ウィーン,×,0,0,Deuce,0,1
42,201,,c,1,カレン・ハチャノフ,圭,1,173,8,201810ウィーン,○,0,15,Ad,1,0
43,202,,c,2,カレン・ハチャノフ,圭,1,142,8,201810ウィーン,○,15,15,Deuce,1,0
44,203,,w,1,カレン・ハチャノフ,圭,1,175,8,201810ウィーン,○,30,15,Ad,1,0
45,204,,w,2,カレン・ハチャノフ,圭,1,156,8,201810ウィーン,○,40,15,Deuce,1,0
46,0,,w,1,カレン・ハチャノフ,葉,2,172,1,201810ウィーン,×,0,0,Deuce,0,1
47,1,,w,2,カレン・ハチャノフ,葉,2,,1,201810ウィーン,×,0,15,Ad,0,1
48,2,,w,1,カレン・ハチャノフ,葉,2,174,1,201810ウィーン,○,0,30,Deuce,1,0
49,3,,w,1,カレン・ハチャノフ,葉,2,191,1,201810ウィーン,×,15,30,Ad,0,1
50,4,Ac,c,1,カレン・ハチャノフ,葉,2,200,1,201810ウィーン,×,15,40,Deuce,0,1
51,5,,w,1,カレン・ハチャノフ,葉,2,172,1,201810ウィーン,×,,,Ad,0,1
52,10,,w,1,カレン・ハチャノフ,圭,2,152,2,201810ウィーン,○,0,0,Deuce,1,0
53,11,,w,2,カレン・ハチャノフ,圭,2,145,2,201810ウィーン,○,15,0,Ad,1,0
