,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,1,炉,×,1,w,181,,0,0,Deuce,0,1
1,1,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,1,炉,×,2,w,141,,0,15,Ad,0,1
2,2,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,1,炉,×,1,w,178,,0,30,Deuce,0,1
3,3,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,1,炉,○,1,w,181,,0,40,Ad,1,0
4,4,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,1,炉,×,2,w,164,,15,40,Deuce,0,1
5,10,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,2,圭,○,2,c,141,,0,0,Deuce,1,0
6,11,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,2,圭,○,1,w,186,,15,0,Ad,1,0
7,12,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,2,圭,○,1,c,197,,30,0,Deuce,1,0
8,13,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,2,圭,○,1,c,185,Ac,40,0,Ad,1,0
9,23,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,3,炉,○,2,w,170,,0,0,Deuce,1,0
10,24,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,3,炉,×,1,w,138,,15,0,Ad,0,1
11,25,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,3,炉,×,2,w,162,,15,15,Deuce,0,1
12,26,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,3,炉,×,1,w,197,,15,30,Ad,0,1
13,40,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,3,炉,×,2,c,168,,15,40,Deuce,0,1
14,41,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,×,1,b,17,,0,0,Deuce,0,1
15,42,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,×,2,o,,Do,0,15,Ad,0,1
16,43,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,○,1,c,199,,0,30,Deuce,1,0
17,44,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,○,2,w,140,,15,30,Ad,1,0
18,45,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,○,2,c,133,,30,30,Deuce,1,0
19,46,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,×,2,o,,Do,40,30,Ad,0,1
20,47,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,○,1,c,194,,40,40,Deuce,1,0
21,48,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,4,圭,○,2,w,136,,Ad,40,Ad,1,0
22,71,201811Nitto ATP Finals,ロジャー・フェデラー,1.0,5,炉,○,2,n,,Dn,0,0,Deuce,1,0
