,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,b,1,ドミニク・ティーム,茶,1.0,103,1,201811Nitto ATP Finals,○,0,0,Deuce,1,0
1,1,,b,1,ドミニク・ティーム,茶,1.0,107,1,201811Nitto ATP Finals,×,15,0,Ad,0,1
2,2,,b,2,ドミニク・ティーム,茶,1.0,103,1,201811Nitto ATP Finals,×,15,15,Deuce,0,1
3,3,,b,1,ドミニク・ティーム,茶,1.0,107,1,201811Nitto ATP Finals,○,15,30,Ad,1,0
4,4,,b,1,ドミニク・ティーム,茶,1.0,109,1,201811Nitto ATP Finals,×,30,30,Deuce,0,1
5,5,Nt,b,1,ドミニク・ティーム,茶,1.0,105,1,201811Nitto ATP Finals,×,30,40,Ad,0,1
6,6,,b,1,ドミニク・ティーム,茶,1.0,103,1,201811Nitto ATP Finals,○,,,Deuce,1,0
7,7,,b,1,ドミニク・ティーム,茶,1.0,107,1,201811Nitto ATP Finals,×,40,Ad,Ad,0,1
8,12,,c,2,ドミニク・ティーム,圭,1.0,,2,201811Nitto ATP Finals,○,0,0,Deuce,1,0
9,13,,w,1,ドミニク・ティーム,圭,1.0,115,2,201811Nitto ATP Finals,○,15,0,Ad,1,0
10,14,Do,o,2,ドミニク・ティーム,圭,1.0,,2,201811Nitto ATP Finals,×,30,0,Deuce,0,1
11,15,Dn,n,2,ドミニク・ティーム,圭,1.0,,2,201811Nitto ATP Finals,×,30,15,Ad,0,1
12,16,,c,2,ドミニク・ティーム,圭,1.0,,2,201811Nitto ATP Finals,×,30,30,Deuce,0,1
13,17,,w,2,ドミニク・ティーム,圭,1.0,,2,201811Nitto ATP Finals,○,30,40,Ad,1,0
14,18,,w,2,ドミニク・ティーム,圭,1.0,,2,201811Nitto ATP Finals,×,40,40,Deuce,0,1
15,19,Nt,w,2,ドミニク・ティーム,圭,1.0,376,2,201811Nitto ATP Finals,×,40,Ad,Ad,0,1
16,34,,c,1,ドミニク・ティーム,茶,1.0,109,3,201811Nitto ATP Finals,×,0,0,Deuce,0,1
17,35,,w,1,ドミニク・ティーム,茶,1.0,108,3,201811Nitto ATP Finals,×,0,15,Ad,0,1
18,36,,c,1,ドミニク・ティーム,茶,1.0,107,3,201811Nitto ATP Finals,○,0,30,Deuce,1,0
19,37,,b,1,ドミニク・ティーム,茶,1.0,108,3,201811Nitto ATP Finals,×,15,30,Ad,0,1
20,38,,c,1,ドミニク・ティーム,茶,1.0,131,3,201811Nitto ATP Finals,○,15,40,Deuce,1,0
21,39,,b,1,ドミニク・ティーム,茶,1.0,110,3,201811Nitto ATP Finals,○,30,40,Ad,1,0
22,40,,b,1,ドミニク・ティーム,茶,1.0,112,3,201811Nitto ATP Finals,×,40,40,Deuce,0,1
23,41,Nt,b,1,ドミニク・ティーム,茶,1.0,109,3,201811Nitto ATP Finals,×,40,Ad,Ad,0,1
24,64,,c,2,ドミニク・ティーム,圭,1.0,,4,201811Nitto ATP Finals,○,0,0,Deuce,1,0
25,65,,w,1,ドミニク・ティーム,圭,1.0,113,4,201811Nitto ATP Finals,×,15,0,Ad,0,1
26,66,,b,1,ドミニク・ティーム,圭,1.0,111,4,201811Nitto ATP Finals,×,15,15,Deuce,0,1
27,67,,w,1,ドミニク・ティーム,圭,1.0,115,4,201811Nitto ATP Finals,○,15,30,Ad,1,0
28,68,,w,1,ドミニク・ティーム,圭,1.0,104,4,201811Nitto ATP Finals,○,30,30,Deuce,1,0
29,69,,w,1,ドミニク・ティーム,圭,1.0,114,4,201811Nitto ATP Finals,○,40,30,Ad,1,0
30,98,,b,1,ドミニク・ティーム,茶,1.0,107,5,201811Nitto ATP Finals,○,0,0,Deuce,1,0
31,99,,w,1,ドミニク・ティーム,茶,1.0,106,5,201811Nitto ATP Finals,×,15,0,Ad,0,1
32,100,,b,1,ドミニク・ティーム,茶,1.0,107,5,201811Nitto ATP Finals,○,15,15,Deuce,1,0
33,101,,b,2,ドミニク・ティーム,茶,1.0,107,5,201811Nitto ATP Finals,○,30,15,Ad,1,0
34,102,,w,1,ドミニク・ティーム,茶,1.0,111,5,201811Nitto ATP Finals,×,40,15,Deuce,0,1
35,103,,b,2,ドミニク・ティーム,茶,1.0,,5,201811Nitto ATP Finals,×,40,30,Ad,0,1
36,104,,w,1,ドミニク・ティーム,茶,1.0,113,5,201811Nitto ATP Finals,×,40,40,Deuce,0,1
37,105,,b,1,ドミニク・ティーム,茶,1.0,111,5,201811Nitto ATP Finals,○,40,Ad,Ad,1,0
38,107,Aw,w,1,ドミニク・ティーム,茶,1.0,131,5,201811Nitto ATP Finals,×,Ad,40,Ad,0,1
39,154,Dn,n,2,ドミニク・ティーム,圭,1.0,,6,201811Nitto ATP Finals,×,0,0,Deuce,0,1
40,155,,c,1,ドミニク・ティーム,圭,1.0,115,6,201811Nitto ATP Finals,○,0,15,Ad,1,0
41,156,,b,2,ドミニク・ティーム,圭,1.0,,6,201811Nitto ATP Finals,×,15,15,Deuce,0,1
42,157,,w,1,ドミニク・ティーム,圭,1.0,108,6,201811Nitto ATP Finals,○,15,30,Ad,1,0
43,158,,b,2,ドミニク・ティーム,圭,1.0,,6,201811Nitto ATP Finals,×,30,30,Deuce,0,1
44,159,,w,1,ドミニク・ティーム,圭,1.0,118,6,201811Nitto ATP Finals,○,30,40,Ad,1,0
45,160,,c,1,ドミニク・ティーム,圭,1.0,113,6,201811Nitto ATP Finals,×,40,40,Deuce,0,1
46,161,,w,2,ドミニク・ティーム,圭,1.0,,6,201811Nitto ATP Finals,○,40,Ad,Ad,1,0
47,167,,w,2,ドミニク・ティーム,圭,1.0,,6,201811Nitto ATP Finals,×,Ad,40,Ad,0,1
48,228,,b,1,ドミニク・ティーム,茶,1.0,106,7,201811Nitto ATP Finals,○,0,0,Deuce,1,0
49,229,,c,1,ドミニク・ティーム,茶,1.0,112,7,201811Nitto ATP Finals,×,15,0,Ad,0,1
50,230,,c,1,ドミニク・ティーム,茶,1.0,111,7,201811Nitto ATP Finals,○,15,15,Deuce,1,0
51,231,,w,1,ドミニク・ティーム,茶,1.0,106,7,201811Nitto ATP Finals,×,30,15,Ad,0,1
52,232,,b,1,ドミニク・ティーム,茶,1.0,113,7,201811Nitto ATP Finals,×,30,30,Deuce,0,1
53,233,,b,2,ドミニク・ティーム,茶,1.0,100,7,201811Nitto ATP Finals,○,30,40,Ad,1,0
54,234,,w,1,ドミニク・ティーム,茶,1.0,110,7,201811Nitto ATP Finals,×,40,40,Deuce,0,1
55,235,,w,1,ドミニク・ティーム,茶,1.0,109,7,201811Nitto ATP Finals,×,40,Ad,Ad,0,1
56,0,,b,2,ドミニク・ティーム,圭,2.0,,1,201811Nitto ATP Finals,○,0,0,Deuce,1,0
57,1,,w,2,ドミニク・ティーム,圭,2.0,,1,201811Nitto ATP Finals,×,15,0,Ad,0,1
58,2,,c,1,ドミニク・ティーム,圭,2.0,105,1,201811Nitto ATP Finals,○,15,15,Deuce,1,0
59,3,,c,1,ドミニク・ティーム,圭,2.0,102,1,201811Nitto ATP Finals,○,30,15,Ad,1,0
60,4,,c,1,ドミニク・ティーム,圭,2.0,103,1,201811Nitto ATP Finals,○,40,15,Deuce,1,0
61,5,,b,2,ドミニク・ティーム,圭,2.0,,1,201811Nitto ATP Finals,○,,,Ad,1,0
62,10,Do,o,2,ドミニク・ティーム,茶,2.0,,2,201811Nitto ATP Finals,○,0,0,Deuce,1,0
63,11,,w,2,ドミニク・ティーム,茶,2.0,102,2,201811Nitto ATP Finals,×,15,0,Ad,0,1
64,12,,w,2,ドミニク・ティーム,茶,2.0,100,2,201811Nitto ATP Finals,○,15,15,Deuce,1,0
65,13,,w,2,ドミニク・ティーム,茶,2.0,,2,201811Nitto ATP Finals,×,30,15,Ad,0,1
66,14,,c,2,ドミニク・ティーム,茶,2.0,,2,201811Nitto ATP Finals,×,30,30,Deuce,0,1
67,15,Nt,b,2,ドミニク・ティーム,茶,2.0,534,2,201811Nitto ATP Finals,×,30,40,Ad,0,1
68,27,,c,2,ドミニク・ティーム,圭,2.0,,3,201811Nitto ATP Finals,○,0,0,Deuce,1,0
69,28,,w,1,ドミニク・ティーム,圭,2.0,,3,201811Nitto ATP Finals,○,15,0,Ad,1,0
70,29,,b,2,ドミニク・ティーム,圭,2.0,,3,201811Nitto ATP Finals,○,30,0,Deuce,1,0
71,30,,w,2,ドミニク・ティーム,圭,2.0,,3,201811Nitto ATP Finals,○,40,0,Ad,1,0
72,46,,c,1,ドミニク・ティーム,茶,2.0,109,4,201811Nitto ATP Finals,×,0,0,Deuce,0,1
73,47,,b,1,ドミニク・ティーム,茶,2.0,109,4,201811Nitto ATP Finals,×,0,15,Ad,0,1
74,48,,b,2,ドミニク・ティーム,茶,2.0,102,4,201811Nitto ATP Finals,○,0,30,Deuce,1,0
75,49,,w,1,ドミニク・ティーム,茶,2.0,106,4,201811Nitto ATP Finals,×,15,30,Ad,0,1
76,50,,b,2,ドミニク・ティーム,茶,2.0,101,4,201811Nitto ATP Finals,○,15,40,Deuce,1,0
77,51,Nt,w,2,ドミニク・ティーム,茶,2.0,100,4,201811Nitto ATP Finals,×,30,40,Ad,0,1
78,73,,c,2,ドミニク・ティーム,圭,2.0,,5,201811Nitto ATP Finals,×,0,0,Deuce,0,1
79,74,,w,2,ドミニク・ティーム,圭,2.0,,5,201811Nitto ATP Finals,×,0,15,Ad,0,1
80,75,,c,1,ドミニク・ティーム,圭,2.0,115,5,201811Nitto ATP Finals,○,0,30,Deuce,1,0
81,76,,w,1,ドミニク・ティーム,圭,2.0,106,5,201811Nitto ATP Finals,○,15,30,Ad,1,0
82,77,,c,1,ドミニク・ティーム,圭,2.0,120,5,201811Nitto ATP Finals,○,30,30,Deuce,1,0
83,78,,c,1,ドミニク・ティーム,圭,2.0,107,5,201811Nitto ATP Finals,×,40,30,Ad,0,1
84,79,,c,1,ドミニク・ティーム,圭,2.0,103,5,201811Nitto ATP Finals,×,40,40,Deuce,0,1
85,80,,w,1,ドミニク・ティーム,圭,2.0,112,5,201811Nitto ATP Finals,○,40,Ad,Ad,1,0
86,82,,w,1,ドミニク・ティーム,圭,2.0,,5,201811Nitto ATP Finals,○,Ad,40,Ad,1,0
87,114,,w,1,ドミニク・ティーム,茶,2.0,105,6,201811Nitto ATP Finals,○,0,0,Deuce,1,0
88,115,,c,1,ドミニク・ティーム,茶,2.0,113,6,201811Nitto ATP Finals,×,15,0,Ad,0,1
89,116,Ac,c,1,ドミニク・ティーム,茶,2.0,,6,201811Nitto ATP Finals,×,15,15,Deuce,0,1
90,117,,w,1,ドミニク・ティーム,茶,2.0,109,6,201811Nitto ATP Finals,×,15,30,Ad,0,1
91,118,,w,1,ドミニク・ティーム,茶,2.0,,6,201811Nitto ATP Finals,○,15,40,Deuce,1,0
92,119,Nt,c,1,ドミニク・ティーム,茶,2.0,118,6,201811Nitto ATP Finals,×,30,40,Ad,0,1
93,157,,c,1,ドミニク・ティーム,圭,2.0,,7,201811Nitto ATP Finals,×,0,0,Deuce,0,1
94,158,,w,1,ドミニク・ティーム,圭,2.0,,7,201811Nitto ATP Finals,○,0,15,Ad,1,0
95,159,,b,1,ドミニク・ティーム,圭,2.0,,7,201811Nitto ATP Finals,×,15,15,Deuce,0,1
96,160,,w,1,ドミニク・ティーム,圭,2.0,,7,201811Nitto ATP Finals,○,15,30,Ad,1,0
97,161,,w,1,ドミニク・ティーム,圭,2.0,105,7,201811Nitto ATP Finals,○,30,30,Deuce,1,0
98,162,Do,o,2,ドミニク・ティーム,圭,2.0,,7,201811Nitto ATP Finals,×,40,30,Ad,0,1
99,163,,c,1,ドミニク・ティーム,圭,2.0,119,7,201811Nitto ATP Finals,×,40,40,Deuce,0,1
100,164,,c,1,ドミニク・ティーム,圭,2.0,120,7,201811Nitto ATP Finals,×,40,Ad,Ad,0,1
101,210,,b,1,ドミニク・ティーム,茶,2.0,105,8,201811Nitto ATP Finals,×,0,0,Deuce,0,1
102,211,,b,1,ドミニク・ティーム,茶,2.0,117,8,201811Nitto ATP Finals,×,0,15,Ad,0,1
103,212,,w,1,ドミニク・ティーム,茶,2.0,115,8,201811Nitto ATP Finals,○,0,30,Deuce,1,0
104,213,,c,1,ドミニク・ティーム,茶,2.0,116,8,201811Nitto ATP Finals,○,15,30,Ad,1,0
105,214,,b,2,ドミニク・ティーム,茶,2.0,,8,201811Nitto ATP Finals,×,30,30,Deuce,0,1
106,215,,c,1,ドミニク・ティーム,茶,2.0,132,8,201811Nitto ATP Finals,○,30,40,Ad,1,0
107,216,,b,2,ドミニク・ティーム,茶,2.0,101,8,201811Nitto ATP Finals,×,40,40,Deuce,0,1
