,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,a,アンドレイ・ルブレフ,圭,1.0,,1,201808シンシナティ,○,0,0,Deuce,1,0
1,1,,b,1,アンドレイ・ルブレフ,圭,1.0,108,1,201808シンシナティ,○,15,0,Ad,1,0
2,2,,c,2,アンドレイ・ルブレフ,圭,1.0,,1,201808シンシナティ,○,30,0,Deuce,1,0
3,3,,w,1,アンドレイ・ルブレフ,圭,1.0,103,1,201808シンシナティ,×,40,0,Ad,0,1
4,4,Aw,w,1,アンドレイ・ルブレフ,圭,1.0,101,1,201808シンシナティ,○,40,15,Deuce,1,0
5,5,,w,a,アンドレイ・ルブレフ,圭,1.0,,1,201808シンシナティ,○,,,Ad,1,0
6,10,Dn,n,2,アンドレイ・ルブレフ,流,1.0,,2,201808シンシナティ,○,0,0,Deuce,1,0
7,11,Ac,c,1,アンドレイ・ルブレフ,流,1.0,117,2,201808シンシナティ,×,15,0,Ad,0,1
8,12,,w,1,アンドレイ・ルブレフ,流,1.0,,2,201808シンシナティ,○,15,15,Deuce,1,0
9,13,,w,2,アンドレイ・ルブレフ,流,1.0,,2,201808シンシナティ,×,30,15,Ad,0,1
10,14,,c,2,アンドレイ・ルブレフ,流,1.0,,2,201808シンシナティ,○,30,30,Deuce,1,0
11,15,,c,1,アンドレイ・ルブレフ,流,1.0,118,2,201808シンシナティ,○,40,30,Ad,1,0
12,27,,c,2,アンドレイ・ルブレフ,圭,1.0,,3,201808シンシナティ,○,0,0,Deuce,1,0
13,28,Ds,s,2,アンドレイ・ルブレフ,圭,1.0,,3,201808シンシナティ,×,15,0,Ad,0,1
14,29,,w,1,アンドレイ・ルブレフ,圭,1.0,100,3,201808シンシナティ,○,15,15,Deuce,1,0
15,30,,w,2,アンドレイ・ルブレフ,圭,1.0,,3,201808シンシナティ,○,30,15,Ad,1,0
16,31,,b,2,アンドレイ・ルブレフ,圭,1.0,,3,201808シンシナティ,○,40,15,Deuce,1,0
17,48,,c,2,アンドレイ・ルブレフ,流,1.0,,4,201808シンシナティ,○,0,0,Deuce,1,0
18,49,,w,2,アンドレイ・ルブレフ,流,1.0,,4,201808シンシナティ,○,15,0,Ad,1,0
19,50,,w,2,アンドレイ・ルブレフ,流,1.0,,4,201808シンシナティ,×,30,0,Deuce,0,1
20,51,,w,1,アンドレイ・ルブレフ,流,1.0,121,4,201808シンシナティ,×,30,15,Ad,0,1
21,52,,c,1,アンドレイ・ルブレフ,流,1.0,124,4,201808シンシナティ,×,30,30,Deuce,0,1
22,53,,w,1,アンドレイ・ルブレフ,流,1.0,122,4,201808シンシナティ,×,30,40,Ad,0,1
23,76,,w,1,アンドレイ・ルブレフ,圭,1.0,,5,201808シンシナティ,○,0,0,Deuce,1,0
24,77,,b,2,アンドレイ・ルブレフ,圭,1.0,,5,201808シンシナティ,○,15,0,Ad,1,0
25,78,,c,1,アンドレイ・ルブレフ,圭,1.0,115,5,201808シンシナティ,○,30,0,Deuce,1,0
26,79,,w,2,アンドレイ・ルブレフ,圭,1.0,,5,201808シンシナティ,○,40,0,Ad,1,0
27,106,,c,1,アンドレイ・ルブレフ,流,1.0,125,6,201808シンシナティ,○,0,0,Deuce,1,0
28,107,,c,2,アンドレイ・ルブレフ,流,1.0,,6,201808シンシナティ,○,15,0,Ad,1,0
29,108,,w,1,アンドレイ・ルブレフ,流,1.0,113,6,201808シンシナティ,×,30,0,Deuce,0,1
30,109,,c,1,アンドレイ・ルブレフ,流,1.0,118,6,201808シンシナティ,○,30,15,Ad,1,0
31,110,,w,1,アンドレイ・ルブレフ,流,1.0,126,6,201808シンシナティ,×,40,15,Deuce,0,1
32,111,,c,1,アンドレイ・ルブレフ,流,1.0,117,6,201808シンシナティ,×,40,30,Ad,0,1
33,112,,w,1,アンドレイ・ルブレフ,流,1.0,108,6,201808シンシナティ,×,40,40,Deuce,0,1
34,146,,w,2,アンドレイ・ルブレフ,圭,1.0,,7,201808シンシナティ,×,0,0,Deuce,0,1
35,147,,w,1,アンドレイ・ルブレフ,圭,1.0,106,7,201808シンシナティ,×,0,15,Ad,0,1
36,148,,c,1,アンドレイ・ルブレフ,圭,1.0,117,7,201808シンシナティ,○,0,30,Deuce,1,0
37,149,,c,1,アンドレイ・ルブレフ,圭,1.0,106,7,201808シンシナティ,○,15,30,Ad,1,0
38,150,Do,o,2,アンドレイ・ルブレフ,圭,1.0,,7,201808シンシナティ,×,30,30,Deuce,0,1
39,151,,w,1,アンドレイ・ルブレフ,圭,1.0,115,7,201808シンシナティ,○,30,40,Ad,1,0
40,152,,c,2,アンドレイ・ルブレフ,圭,1.0,,7,201808シンシナティ,×,40,40,Deuce,0,1
41,153,,w,1,アンドレイ・ルブレフ,圭,1.0,108,7,201808シンシナティ,○,40,Ad,Ad,1,0
42,155,Dn,n,2,アンドレイ・ルブレフ,圭,1.0,,7,201808シンシナティ,×,Ad,40,Ad,0,1
43,215,,w,1,アンドレイ・ルブレフ,流,1.0,,8,201808シンシナティ,×,0,0,Deuce,0,1
44,216,,w,2,アンドレイ・ルブレフ,流,1.0,,8,201808シンシナティ,○,0,15,Ad,1,0
45,217,,b,2,アンドレイ・ルブレフ,流,1.0,,8,201808シンシナティ,○,15,15,Deuce,1,0
46,218,,w,1,アンドレイ・ルブレフ,流,1.0,119,8,201808シンシナティ,×,30,15,Ad,0,1
47,219,,w,1,アンドレイ・ルブレフ,流,1.0,106,8,201808シンシナティ,×,30,30,Deuce,0,1
48,220,Ac,c,1,アンドレイ・ルブレフ,流,1.0,106,8,201808シンシナティ,×,30,40,Ad,0,1
49,278,,b,1,アンドレイ・ルブレフ,圭,1.0,104,9,201808シンシナティ,○,0,0,Deuce,1,0
50,279,,w,1,アンドレイ・ルブレフ,圭,1.0,108,9,201808シンシナティ,○,15,0,Ad,1,0
51,280,,w,1,アンドレイ・ルブレフ,圭,1.0,109,9,201808シンシナティ,×,30,0,Deuce,0,1
52,281,,w,2,アンドレイ・ルブレフ,圭,1.0,,9,201808シンシナティ,×,30,15,Ad,0,1
53,282,,c,2,アンドレイ・ルブレフ,圭,1.0,,9,201808シンシナティ,○,30,30,Deuce,1,0
54,283,,b,2,アンドレイ・ルブレフ,圭,1.0,,9,201808シンシナティ,×,40,30,Ad,0,1
55,284,,w,2,アンドレイ・ルブレフ,圭,1.0,,9,201808シンシナティ,○,40,40,Deuce,1,0
56,285,,w,1,アンドレイ・ルブレフ,圭,1.0,,9,201808シンシナティ,×,Ad,40,Ad,0,1
57,287,,w,2,アンドレイ・ルブレフ,圭,1.0,,9,201808シンシナティ,×,40,Ad,Ad,0,1
58,355,,c,1,アンドレイ・ルブレフ,流,1.0,125,10,201808シンシナティ,×,0,0,Deuce,0,1
59,356,Aw,w,1,アンドレイ・ルブレフ,流,1.0,119,10,201808シンシナティ,×,0,15,Ad,0,1
60,357,,c,2,アンドレイ・ルブレフ,流,1.0,111,10,201808シンシナティ,×,0,30,Deuce,0,1
61,358,,c,2,アンドレイ・ルブレフ,流,1.0,,10,201808シンシナティ,○,0,40,Ad,1,0
62,359,Im,c,2,アンドレイ・ルブレフ,流,1.0,201,10,201808シンシナティ,×,15,40,Deuce,0,1
63,432,,w,1,アンドレイ・ルブレフ,圭,1.0,,11,201808シンシナティ,○,0,0,Deuce,1,0
64,433,,w,2,アンドレイ・ルブレフ,圭,1.0,,11,201808シンシナティ,○,15,0,Ad,1,0
65,434,,w,1,アンドレイ・ルブレフ,圭,1.0,,11,201808シンシナティ,×,30,0,Deuce,0,1
66,435,,w,2,アンドレイ・ルブレフ,圭,1.0,,11,201808シンシナティ,○,30,15,Ad,1,0
67,436,Aw,w,1,アンドレイ・ルブレフ,圭,1.0,,11,201808シンシナティ,○,40,15,Deuce,1,0
68,514,Dn,n,2,アンドレイ・ルブレフ,流,1.0,,12,201808シンシナティ,○,0,0,Deuce,1,0
69,515,,w,2,アンドレイ・ルブレフ,流,1.0,,12,201808シンシナティ,○,15,0,Ad,1,0
70,516,,c,2,アンドレイ・ルブレフ,流,1.0,,12,201808シンシナティ,○,30,0,Deuce,1,0
71,517,,b,2,アンドレイ・ルブレフ,流,1.0,,12,201808シンシナティ,○,40,0,Ad,1,0
72,0,,c,2,アンドレイ・ルブレフ,圭,2.0,,1,201808シンシナティ,×,0,0,Deuce,0,1
73,1,,w,1,アンドレイ・ルブレフ,圭,2.0,111,1,201808シンシナティ,○,0,15,Ad,1,0
74,2,,b,1,アンドレイ・ルブレフ,圭,2.0,107,1,201808シンシナティ,○,15,15,Deuce,1,0
75,3,,b,1,アンドレイ・ルブレフ,圭,2.0,108,1,201808シンシナティ,×,30,15,Ad,0,1
76,4,,w,1,アンドレイ・ルブレフ,圭,2.0,,1,201808シンシナティ,○,30,30,Deuce,1,0
77,5,,w,2,アンドレイ・ルブレフ,圭,2.0,,1,201808シンシナティ,○,40,30,Ad,1,0
78,6,,c,2,アンドレイ・ルブレフ,圭,2.0,,1,201808シンシナティ,×,,,Deuce,0,1
79,7,,w,1,アンドレイ・ルブレフ,圭,2.0,111,1,201808シンシナティ,○,Ad,40,Ad,1,0
80,12,,c,2,アンドレイ・ルブレフ,流,2.0,,2,201808シンシナティ,×,0,0,Deuce,0,1
81,13,Ac,c,1,アンドレイ・ルブレフ,流,2.0,119,2,201808シンシナティ,×,0,15,Ad,0,1
82,14,,c,2,アンドレイ・ルブレフ,流,2.0,,2,201808シンシナティ,○,0,30,Deuce,1,0
83,15,,w,2,アンドレイ・ルブレフ,流,2.0,,2,201808シンシナティ,×,15,30,Ad,0,1
84,16,,w,1,アンドレイ・ルブレフ,流,2.0,109,2,201808シンシナティ,○,15,40,Deuce,1,0
85,17,Im,b,1,アンドレイ・ルブレフ,流,2.0,116,2,201808シンシナティ,×,30,40,Ad,0,1
86,30,,c,1,アンドレイ・ルブレフ,圭,2.0,115,3,201808シンシナティ,×,0,0,Deuce,0,1
87,31,,c,1,アンドレイ・ルブレフ,圭,2.0,106,3,201808シンシナティ,○,0,15,Ad,1,0
88,32,,w,1,アンドレイ・ルブレフ,圭,2.0,,3,201808シンシナティ,×,15,15,Deuce,0,1
89,33,Dn,n,2,アンドレイ・ルブレフ,圭,2.0,,3,201808シンシナティ,×,15,30,Ad,0,1
90,34,,c,1,アンドレイ・ルブレフ,圭,2.0,113,3,201808シンシナティ,○,15,40,Deuce,1,0
91,35,,w,2,アンドレイ・ルブレフ,圭,2.0,,3,201808シンシナティ,×,30,40,Ad,0,1
92,54,,w,1,アンドレイ・ルブレフ,流,2.0,111,4,201808シンシナティ,○,0,0,Deuce,1,0
93,55,,w,1,アンドレイ・ルブレフ,流,2.0,122,4,201808シンシナティ,○,15,0,Ad,1,0
94,56,,b,2,アンドレイ・ルブレフ,流,2.0,,4,201808シンシナティ,×,30,0,Deuce,0,1
95,57,,c,1,アンドレイ・ルブレフ,流,2.0,115,4,201808シンシナティ,○,30,15,Ad,1,0
96,58,Dn,n,2,アンドレイ・ルブレフ,流,2.0,,4,201808シンシナティ,○,40,15,Deuce,1,0
97,82,,b,1,アンドレイ・ルブレフ,圭,2.0,102,5,201808シンシナティ,×,0,0,Deuce,0,1
98,83,,w,1,アンドレイ・ルブレフ,圭,2.0,111,5,201808シンシナティ,○,0,15,Ad,1,0
99,84,,b,1,アンドレイ・ルブレフ,圭,2.0,119,5,201808シンシナティ,○,15,15,Deuce,1,0
100,85,,w,1,アンドレイ・ルブレフ,圭,2.0,104,5,201808シンシナティ,○,30,15,Ad,1,0
101,86,,c,2,アンドレイ・ルブレフ,圭,2.0,,5,201808シンシナティ,×,40,15,Deuce,0,1
102,87,,w,2,アンドレイ・ルブレフ,圭,2.0,,5,201808シンシナティ,×,40,30,Ad,0,1
103,88,,c,2,アンドレイ・ルブレフ,圭,2.0,,5,201808シンシナティ,○,40,40,Deuce,1,0
104,89,Im,w,1,アンドレイ・ルブレフ,圭,2.0,114,5,201808シンシナティ,○,Ad,40,Ad,1,0
105,121,,c,1,アンドレイ・ルブレフ,流,2.0,125,6,201808シンシナティ,×,0,0,Deuce,0,1
106,122,,w,2,アンドレイ・ルブレフ,流,2.0,,6,201808シンシナティ,×,0,15,Ad,0,1
107,123,,c,2,アンドレイ・ルブレフ,流,2.0,,6,201808シンシナティ,×,0,30,Deuce,0,1
108,124,Im,w,1,アンドレイ・ルブレフ,流,2.0,118,6,201808シンシナティ,×,0,40,Ad,0,1
109,160,,c,1,アンドレイ・ルブレフ,圭,2.0,108,7,201808シンシナティ,○,0,0,Deuce,1,0
110,161,,w,2,アンドレイ・ルブレフ,圭,2.0,,7,201808シンシナティ,×,15,0,Ad,0,1
111,162,,b,2,アンドレイ・ルブレフ,圭,2.0,,7,201808シンシナティ,○,15,15,Deuce,1,0
112,163,,c,1,アンドレイ・ルブレフ,圭,2.0,101,7,201808シンシナティ,○,30,15,Ad,1,0
113,164,,c,2,アンドレイ・ルブレフ,圭,2.0,,7,201808シンシナティ,○,40,15,Deuce,1,0
114,205,Dn,n,2,アンドレイ・ルブレフ,流,2.0,,8,201808シンシナティ,○,0,0,Deuce,1,0
115,206,,w,1,アンドレイ・ルブレフ,流,2.0,119,8,201808シンシナティ,○,15,0,Ad,1,0
116,207,,c,2,アンドレイ・ルブレフ,流,2.0,,8,201808シンシナティ,○,30,0,Deuce,1,0
117,208,,w,2,アンドレイ・ルブレフ,流,2.0,112,8,201808シンシナティ,○,40,0,Ad,1,0
118,253,,b,1,アンドレイ・ルブレフ,圭,2.0,113,9,201808シンシナティ,○,0,0,Deuce,1,0
119,254,,w,1,アンドレイ・ルブレフ,圭,2.0,,9,201808シンシナティ,○,15,0,Ad,1,0
120,255,,c,1,アンドレイ・ルブレフ,圭,2.0,117,9,201808シンシナティ,○,30,0,Deuce,1,0
121,256,,w,1,アンドレイ・ルブレフ,圭,2.0,111,9,201808シンシナティ,○,40,0,Ad,1,0
