,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,b,2,コプファー,粉,1.0,,1,201801ダラスCH,○,0,0,Deuce,1,0
1,1,,c,1,コプファー,粉,1.0,,1,201801ダラスCH,×,15,0,Ad,0,1
2,2,,c,1,コプファー,粉,1.0,,1,201801ダラスCH,×,15,15,Deuce,0,1
3,3,,w,2,コプファー,粉,1.0,,1,201801ダラスCH,×,15,30,Ad,0,1
4,4,,w,2,コプファー,粉,1.0,201,1,201801ダラスCH,×,15,40,Deuce,0,1
5,5,,b,2,コプファー,粉,1.0,,1,201801ダラスCH,○,,,Ad,1,0
6,10,,c,1,コプファー,圭,1.0,,2,201801ダラスCH,○,0,0,Deuce,1,0
7,11,,w,2,コプファー,圭,1.0,,2,201801ダラスCH,○,15,0,Ad,1,0
8,12,Do,o,2,コプファー,圭,1.0,,2,201801ダラスCH,×,30,0,Deuce,0,1
9,13,,c,1,コプファー,圭,1.0,,2,201801ダラスCH,×,30,15,Ad,0,1
10,14,,w,1,コプファー,圭,1.0,,2,201801ダラスCH,○,30,30,Deuce,1,0
11,15,,w,1,コプファー,圭,1.0,,2,201801ダラスCH,○,40,30,Ad,1,0
12,27,,b,2,コプファー,粉,1.0,,3,201801ダラスCH,○,0,0,Deuce,1,0
13,28,,w,1,コプファー,粉,1.0,,3,201801ダラスCH,×,15,0,Ad,0,1
14,29,,w,1,コプファー,粉,1.0,,3,201801ダラスCH,○,15,15,Deuce,1,0
15,30,,w,2,コプファー,粉,1.0,,3,201801ダラスCH,○,30,15,Ad,1,0
16,31,Aw,w,1,コプファー,粉,1.0,,3,201801ダラスCH,×,40,15,Deuce,0,1
17,32,,w,1,コプファー,粉,1.0,201,3,201801ダラスCH,○,40,30,Ad,1,0
18,50,,c,2,コプファー,圭,1.0,,4,201801ダラスCH,×,0,0,Deuce,0,1
19,51,,w,2,コプファー,圭,1.0,,4,201801ダラスCH,×,0,15,Ad,0,1
20,52,,c,1,コプファー,圭,1.0,,4,201801ダラスCH,○,0,30,Deuce,1,0
21,53,,c,2,コプファー,圭,1.0,,4,201801ダラスCH,×,15,30,Ad,0,1
22,54,,c,1,コプファー,圭,1.0,,4,201801ダラスCH,○,15,40,Deuce,1,0
23,55,,c,2,コプファー,圭,1.0,,4,201801ダラスCH,○,30,40,Ad,1,0
24,56,,c,2,コプファー,圭,1.0,,4,201801ダラスCH,○,40,40,Deuce,1,0
25,57,Dn,n,2,コプファー,圭,1.0,,4,201801ダラスCH,×,Ad,40,Ad,0,1
26,61,,b,2,コプファー,圭,1.0,,4,201801ダラスCH,○,40,Ad,Ad,1,0
27,99,,?,1,コプファー,粉,1.0,,5,201801ダラスCH,×,0,0,Deuce,0,1
28,100,,w,2,コプファー,粉,1.0,,5,201801ダラスCH,○,0,15,Ad,1,0
29,101,,w,2,コプファー,粉,1.0,,5,201801ダラスCH,○,15,15,Deuce,1,0
30,102,,c,1,コプファー,粉,1.0,,5,201801ダラスCH,×,30,15,Ad,0,1
31,103,,w,1,コプファー,粉,1.0,,5,201801ダラスCH,×,30,30,Deuce,0,1
32,104,,w,1,コプファー,粉,1.0,201,5,201801ダラスCH,×,30,40,Ad,0,1
33,144,,w,2,コプファー,圭,1.0,,6,201801ダラスCH,○,0,0,Deuce,1,0
34,145,,c,1,コプファー,圭,1.0,,6,201801ダラスCH,○,15,0,Ad,1,0
35,146,Dn,n,2,コプファー,圭,1.0,,6,201801ダラスCH,×,30,0,Deuce,0,1
36,147,Ac,c,1,コプファー,圭,1.0,,6,201801ダラスCH,○,30,15,Ad,1,0
37,148,,b,2,コプファー,圭,1.0,,6,201801ダラスCH,×,40,15,Deuce,0,1
38,149,Do,o,2,コプファー,圭,1.0,,6,201801ダラスCH,×,40,30,Ad,0,1
39,150,,c,1,コプファー,圭,1.0,,6,201801ダラスCH,○,40,40,Deuce,1,0
40,151,,c,1,コプファー,圭,1.0,,6,201801ダラスCH,×,Ad,40,Ad,0,1
41,203,,,1,コプファー,粉,1.0,,7,201801ダラスCH,×,0,0,Deuce,0,1
42,204,Ac,c,1,コプファー,粉,1.0,,7,201801ダラスCH,×,0,15,Ad,0,1
43,205,,w,1,コプファー,粉,1.0,,7,201801ダラスCH,○,0,30,Deuce,1,0
44,206,,c,1,コプファー,粉,1.0,,7,201801ダラスCH,○,15,30,Ad,1,0
45,207,,w,1,コプファー,粉,1.0,,7,201801ダラスCH,○,30,30,Deuce,1,0
46,208,,w,2,コプファー,粉,1.0,,7,201801ダラスCH,×,40,30,Ad,0,1
47,209,,c,1,コプファー,粉,1.0,,7,201801ダラスCH,○,40,40,Deuce,1,0
