,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,2,マキシム・ジャンビエ,圭,1.0,,1,201805全仏,○,0,0,Deuce,1,0
1,1,,w,2,マキシム・ジャンビエ,圭,1.0,,1,201805全仏,○,15,0,Ad,1,0
2,2,,w,1,マキシム・ジャンビエ,圭,1.0,,1,201805全仏,×,30,0,Deuce,0,1
3,3,,w,1,マキシム・ジャンビエ,圭,1.0,,1,201805全仏,○,30,15,Ad,1,0
4,4,,c,1,マキシム・ジャンビエ,圭,1.0,,1,201805全仏,○,40,15,Deuce,1,0
5,5,,c,2,マキシム・ジャンビエ,圭,1.0,,1,201805全仏,○,,,Ad,1,0
6,10,,w,1,マキシム・ジャンビエ,蛇,1.0,,2,201805全仏,×,0,0,Deuce,0,1
7,11,,w,1,マキシム・ジャンビエ,蛇,1.0,,2,201805全仏,×,0,15,Ad,0,1
8,12,,c,1,マキシム・ジャンビエ,蛇,1.0,,2,201805全仏,×,0,30,Deuce,0,1
9,13,,c,2,マキシム・ジャンビエ,蛇,1.0,,2,201805全仏,×,0,40,Ad,0,1
10,23,,b,1,マキシム・ジャンビエ,圭,1.0,,3,201805全仏,○,0,0,Deuce,1,0
11,24,,b,2,マキシム・ジャンビエ,圭,1.0,,3,201805全仏,○,15,0,Ad,1,0
12,25,,w,1,マキシム・ジャンビエ,圭,1.0,,3,201805全仏,○,30,0,Deuce,1,0
13,26,,c,1,マキシム・ジャンビエ,圭,1.0,,3,201805全仏,×,40,0,Ad,0,1
14,27,,w,1,マキシム・ジャンビエ,圭,1.0,201,3,201805全仏,○,40,15,Deuce,1,0
15,42,,b,2,マキシム・ジャンビエ,蛇,1.0,,4,201805全仏,×,0,0,Deuce,0,1
16,43,,w,2,マキシム・ジャンビエ,蛇,1.0,,4,201805全仏,○,0,15,Ad,1,0
17,44,,c,1,マキシム・ジャンビエ,蛇,1.0,,4,201805全仏,○,15,15,Deuce,1,0
18,45,,c,1,マキシム・ジャンビエ,蛇,1.0,,4,201805全仏,×,30,15,Ad,0,1
19,46,,w,2,マキシム・ジャンビエ,蛇,1.0,,4,201805全仏,×,30,30,Deuce,0,1
20,47,,w,1,マキシム・ジャンビエ,蛇,1.0,201,4,201805全仏,×,30,40,Ad,0,1
21,68,,c,2,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,×,0,0,Deuce,0,1
22,69,,w,2,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,×,0,15,Ad,0,1
23,70,,w,1,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,×,0,30,Deuce,0,1
24,71,,b,2,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,○,0,40,Ad,1,0
25,72,,c,2,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,○,15,40,Deuce,1,0
26,73,,c,1,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,○,30,40,Ad,1,0
27,74,,c,2,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,×,40,40,Deuce,0,1
28,75,,b,2,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,○,40,Ad,Ad,1,0
29,79,,b,1,マキシム・ジャンビエ,圭,1.0,,5,201805全仏,○,Ad,40,Ad,1,0
30,112,,c,1,マキシム・ジャンビエ,蛇,1.0,,6,201805全仏,○,0,0,Deuce,1,0
31,113,,c,1,マキシム・ジャンビエ,蛇,1.0,,6,201805全仏,×,15,0,Ad,0,1
32,114,,w,1,マキシム・ジャンビエ,蛇,1.0,,6,201805全仏,×,15,15,Deuce,0,1
33,115,,c,2,マキシム・ジャンビエ,蛇,1.0,,6,201805全仏,○,15,30,Ad,1,0
34,116,,c,1,マキシム・ジャンビエ,蛇,1.0,,6,201805全仏,×,30,30,Deuce,0,1
35,117,,c,1,マキシム・ジャンビエ,蛇,1.0,201,6,201805全仏,×,30,40,Ad,0,1
36,156,,c,1,マキシム・ジャンビエ,圭,1.0,,7,201805全仏,○,0,0,Deuce,1,0
37,157,,w,1,マキシム・ジャンビエ,圭,1.0,,7,201805全仏,×,15,0,Ad,0,1
38,158,,b,1,マキシム・ジャンビエ,圭,1.0,,7,201805全仏,○,15,15,Deuce,1,0
39,159,,c,2,マキシム・ジャンビエ,圭,1.0,,7,201805全仏,○,30,15,Ad,1,0
40,160,,b,2,マキシム・ジャンビエ,圭,1.0,,7,201805全仏,○,40,15,Deuce,1,0
41,204,,c,1,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,○,0,0,Deuce,1,0
42,205,,w,1,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,○,15,0,Ad,1,0
43,206,,c,1,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,○,30,0,Deuce,1,0
44,207,,c,1,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,×,40,0,Ad,0,1
45,208,,c,1,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,×,40,15,Deuce,0,1
46,209,,w,2,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,×,40,30,Ad,0,1
47,210,,w,1,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,×,40,40,Deuce,0,1
48,211,,w,1,マキシム・ジャンビエ,蛇,1.0,,8,201805全仏,×,40,Ad,Ad,0,1
49,263,,w,1,マキシム・ジャンビエ,圭,1.0,,9,201805全仏,○,0,0,Deuce,1,0
50,264,,w,2,マキシム・ジャンビエ,圭,1.0,,9,201805全仏,○,15,0,Ad,1,0
51,265,,c,2,マキシム・ジャンビエ,圭,1.0,,9,201805全仏,○,30,0,Deuce,1,0
52,266,,b,2,マキシム・ジャンビエ,圭,1.0,,9,201805全仏,×,40,0,Ad,0,1
53,267,,c,2,マキシム・ジャンビエ,圭,1.0,,9,201805全仏,○,40,15,Deuce,1,0
54,324,,w,1,マキシム・ジャンビエ,蛇,1.0,,10,201805全仏,○,0,0,Deuce,1,0
55,325,,w,2,マキシム・ジャンビエ,蛇,1.0,,10,201805全仏,×,15,0,Ad,0,1
56,326,,w,2,マキシム・ジャンビエ,蛇,1.0,,10,201805全仏,×,15,15,Deuce,0,1
57,327,,w,2,マキシム・ジャンビエ,蛇,1.0,,10,201805全仏,○,15,30,Ad,1,0
58,328,,b,2,マキシム・ジャンビエ,蛇,1.0,,10,201805全仏,×,30,30,Deuce,0,1
59,329,,c,1,マキシム・ジャンビエ,蛇,1.0,201,10,201805全仏,×,30,40,Ad,0,1
60,392,,c,1,マキシム・ジャンビエ,圭,1.0,,11,201805全仏,○,0,0,Deuce,1,0
61,393,,w,1,マキシム・ジャンビエ,圭,1.0,,11,201805全仏,○,15,0,Ad,1,0
62,394,,w,2,マキシム・ジャンビエ,圭,1.0,,11,201805全仏,×,30,0,Deuce,0,1
63,395,,w,2,マキシム・ジャンビエ,圭,1.0,,11,201805全仏,×,30,15,Ad,0,1
64,396,,b,2,マキシム・ジャンビエ,圭,1.0,,11,201805全仏,○,30,30,Deuce,1,0
65,397,,c,1,マキシム・ジャンビエ,圭,1.0,,11,201805全仏,○,40,30,Ad,1,0
66,466,,w,1,マキシム・ジャンビエ,蛇,1.0,,12,201805全仏,×,0,0,Deuce,0,1
67,467,,c,1,マキシム・ジャンビエ,蛇,1.0,,12,201805全仏,×,0,15,Ad,0,1
68,468,,b,2,マキシム・ジャンビエ,蛇,1.0,,12,201805全仏,○,0,30,Deuce,1,0
69,469,,w,2,マキシム・ジャンビエ,蛇,1.0,,12,201805全仏,×,15,30,Ad,0,1
70,470,,c,1,マキシム・ジャンビエ,蛇,1.0,,12,201805全仏,×,15,40,Deuce,0,1
71,0,,w,2,マキシム・ジャンビエ,圭,1.0,,13,201805全仏,○,0,0,Deuce,1,0
72,1,,c,2,マキシム・ジャンビエ,蛇,1.0,,13,201805全仏,○,1,0,Ad,1,0
73,2,,w,1,マキシム・ジャンビエ,蛇,1.0,,13,201805全仏,○,2,0,Deuce,1,0
74,3,,c,1,マキシム・ジャンビエ,圭,1.0,,13,201805全仏,○,3,0,Ad,1,0
75,4,,b,2,マキシム・ジャンビエ,圭,1.0,,13,201805全仏,○,4,0,Deuce,1,0
