,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,×,0,0,Deuce,0,1
1,1,,c,2,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,×,0,15,Ad,0,1
2,2,Dn,n,2,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,○,0,30,Deuce,1,0
3,3,,c,1,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,○,15,30,Ad,1,0
4,4,,w,1,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,○,30,30,Deuce,1,0
5,5,,c,2,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,×,40,30,Ad,0,1
6,6,,w,1,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,×,40,40,Deuce,0,1
7,7,Do,o,2,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,○,40,Ad,Ad,1,0
8,9,,w,2,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,×,Ad,40,Ad,0,1
9,12,,w,1,ノバク・ジョコビッチ,汝,1.0,,1,201805マドリード,×,,,Deuce,0,1
10,24,,c,2,ノバク・ジョコビッチ,圭,1.0,150,2,201805マドリード,○,0,0,Deuce,1,0
11,25,,w,1,ノバク・ジョコビッチ,圭,1.0,,2,201805マドリード,○,15,0,Ad,1,0
12,26,,b,2,ノバク・ジョコビッチ,圭,1.0,,2,201805マドリード,×,30,0,Deuce,0,1
13,27,,c,2,ノバク・ジョコビッチ,圭,1.0,,2,201805マドリード,×,30,15,Ad,0,1
14,28,,w,2,ノバク・ジョコビッチ,圭,1.0,,2,201805マドリード,○,30,30,Deuce,1,0
15,29,,c,2,ノバク・ジョコビッチ,圭,1.0,,2,201805マドリード,×,40,30,Ad,0,1
16,30,,w,1,ノバク・ジョコビッチ,圭,1.0,,2,201805マドリード,○,40,40,Deuce,1,0
17,31,,c,1,ノバク・ジョコビッチ,圭,1.0,,2,201805マドリード,○,Ad,40,Ad,1,0
18,52,,c,1,ノバク・ジョコビッチ,汝,1.0,,3,201805マドリード,×,0,0,Deuce,0,1
19,53,,c,1,ノバク・ジョコビッチ,汝,1.0,,3,201805マドリード,×,0,15,Ad,0,1
20,54,,c,1,ノバク・ジョコビッチ,汝,1.0,,3,201805マドリード,○,0,30,Deuce,1,0
21,55,,w,2,ノバク・ジョコビッチ,汝,1.0,,3,201805マドリード,×,15,30,Ad,0,1
22,56,,c,1,ノバク・ジョコビッチ,汝,1.0,201,3,201805マドリード,×,15,40,Deuce,0,1
23,82,,b,1,ノバク・ジョコビッチ,圭,1.0,,4,201805マドリード,○,0,0,Deuce,1,0
