,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,1,ジョン・ミルマン,視,1.0,114,1,201803マイアミ,○,0,0,Deuce,1,0
1,1,,b,1,ジョン・ミルマン,視,1.0,111,1,201803マイアミ,×,15,0,Ad,0,1
2,2,,w,1,ジョン・ミルマン,視,1.0,105,1,201803マイアミ,×,15,15,Deuce,0,1
3,3,,c,1,ジョン・ミルマン,視,1.0,113,1,201803マイアミ,×,15,30,Ad,0,1
4,4,,b,1,ジョン・ミルマン,視,1.0,118,1,201803マイアミ,○,15,40,Deuce,1,0
5,5,,w,2,ジョン・ミルマン,視,1.0,,1,201803マイアミ,×,30,40,Ad,0,1
6,6,,w,1,ジョン・ミルマン,圭,1.0,,2,201803マイアミ,×,0,0,Deuce,0,1
7,7,,b,1,ジョン・ミルマン,圭,1.0,113,2,201803マイアミ,○,0,15,Ad,1,0
8,8,,b,2,ジョン・ミルマン,圭,1.0,,2,201803マイアミ,○,15,15,Deuce,1,0
9,9,,c,2,ジョン・ミルマン,圭,1.0,,2,201803マイアミ,○,30,15,Ad,1,0
10,10,,c,2,ジョン・ミルマン,圭,1.0,,2,201803マイアミ,×,40,15,Deuce,0,1
11,11,,w,2,ジョン・ミルマン,圭,1.0,201,2,201803マイアミ,○,40,30,Ad,1,0
12,24,Dn,n,2,ジョン・ミルマン,観,1.0,,3,201803マイアミ,○,0,0,Deuce,1,0
13,25,,c,1,ジョン・ミルマン,観,1.0,,3,201803マイアミ,×,15,0,Ad,0,1
14,26,,w,1,ジョン・ミルマン,観,1.0,110,3,201803マイアミ,×,15,15,Deuce,0,1
15,27,,w,2,ジョン・ミルマン,観,1.0,,3,201803マイアミ,×,15,30,Ad,0,1
16,28,,c,1,ジョン・ミルマン,観,1.0,124,3,201803マイアミ,×,15,40,Deuce,0,1
17,46,,c,2,ジョン・ミルマン,圭,1.0,,4,201803マイアミ,×,0,0,Deuce,0,1
18,47,,c,1,ジョン・ミルマン,圭,1.0,109,4,201803マイアミ,○,0,15,Ad,1,0
19,48,,b,2,ジョン・ミルマン,圭,1.0,,4,201803マイアミ,○,15,15,Deuce,1,0
20,49,Dn,n,2,ジョン・ミルマン,圭,1.0,,4,201803マイアミ,×,30,15,Ad,0,1
21,50,,b,1,ジョン・ミルマン,圭,1.0,116,4,201803マイアミ,×,30,30,Deuce,0,1
22,51,,w,1,ジョン・ミルマン,圭,1.0,106,4,201803マイアミ,○,30,40,Ad,1,0
23,52,,w,1,ジョン・ミルマン,圭,1.0,106,4,201803マイアミ,○,40,40,Deuce,1,0
24,53,,c,1,ジョン・ミルマン,圭,1.0,117,4,201803マイアミ,×,Ad,40,Ad,0,1
25,55,,b,1,ジョン・ミルマン,圭,1.0,113,4,201803マイアミ,○,40,Ad,Ad,1,0
26,95,,w,1,ジョン・ミルマン,観,1.0,108,5,201803マイアミ,×,0,0,Deuce,0,1
27,96,,w,1,ジョン・ミルマン,観,1.0,,5,201803マイアミ,×,0,15,Ad,0,1
28,97,Aw,w,1,ジョン・ミルマン,観,1.0,106,5,201803マイアミ,×,0,30,Deuce,0,1
29,98,,c,1,ジョン・ミルマン,観,1.0,115,5,201803マイアミ,×,0,40,Ad,0,1
30,136,,c,2,ジョン・ミルマン,圭,1.0,,6,201803マイアミ,×,0,0,Deuce,0,1
31,137,,c,2,ジョン・ミルマン,圭,1.0,,6,201803マイアミ,×,0,15,Ad,0,1
32,138,,c,1,ジョン・ミルマン,圭,1.0,113,6,201803マイアミ,○,0,30,Deuce,1,0
33,139,,w,1,ジョン・ミルマン,圭,1.0,,6,201803マイアミ,×,15,30,Ad,0,1
34,140,,w,1,ジョン・ミルマン,圭,1.0,201,6,201803マイアミ,×,15,40,Deuce,0,1
35,183,,1,3,ジョン・ミルマン,観,1.0,201,7,201803マイアミ,×,0,0,Deuce,0,1
36,184,Qy,w,1,ジョン・ミルマン,観,1.0,,7,201803マイアミ,×,0,15,Ad,0,1
37,185,Qy,,,ジョン・ミルマン,観,1.0,,7,201803マイアミ,×,0,30,Deuce,0,1
38,186,Qy,,,ジョン・ミルマン,観,1.0,,7,201803マイアミ,○,0,40,Ad,1,0
39,187,Qy,,,ジョン・ミルマン,観,1.0,,7,201803マイアミ,○,15,40,Deuce,1,0
40,188,Qy,,,ジョン・ミルマン,観,1.0,,7,201803マイアミ,×,30,40,Ad,0,1
41,237,,c,2,ジョン・ミルマン,圭,1.0,101,8,201803マイアミ,×,0,0,Deuce,0,1
42,238,,w,2,ジョン・ミルマン,圭,1.0,,8,201803マイアミ,×,0,15,Ad,0,1
43,239,,b,2,ジョン・ミルマン,圭,1.0,,8,201803マイアミ,○,0,30,Deuce,1,0
44,240,,w,2,ジョン・ミルマン,圭,1.0,,8,201803マイアミ,×,15,30,Ad,0,1
45,241,,w,1,ジョン・ミルマン,圭,1.0,,8,201803マイアミ,○,15,40,Deuce,1,0
46,242,,w,1,ジョン・ミルマン,圭,1.0,,8,201803マイアミ,○,30,40,Ad,1,0
47,243,,w,2,ジョン・ミルマン,圭,1.0,,8,201803マイアミ,○,40,40,Deuce,1,0
48,244,,w,2,ジョン・ミルマン,圭,1.0,,8,201803マイアミ,○,Ad,40,Ad,1,0
49,301,,w,2,ジョン・ミルマン,観,1.0,,9,201803マイアミ,×,0,0,Deuce,0,1
50,302,,w,1,ジョン・ミルマン,観,1.0,,9,201803マイアミ,○,0,15,Ad,1,0
51,303,Aw,w,1,ジョン・ミルマン,観,1.0,107,9,201803マイアミ,×,15,15,Deuce,0,1
52,304,,c,1,ジョン・ミルマン,観,1.0,114,9,201803マイアミ,○,15,30,Ad,1,0
53,305,,w,1,ジョン・ミルマン,観,1.0,110,9,201803マイアミ,×,30,30,Deuce,0,1
54,306,,w,2,ジョン・ミルマン,観,1.0,,9,201803マイアミ,○,30,40,Ad,1,0
55,307,,b,2,ジョン・ミルマン,観,1.0,,9,201803マイアミ,○,40,40,Deuce,1,0
56,308,,w,1,ジョン・ミルマン,観,1.0,116,9,201803マイアミ,×,Ad,40,Ad,0,1
57,377,,b,1,ジョン・ミルマン,圭,1.0,106,10,201803マイアミ,○,0,0,Deuce,1,0
58,378,,w,2,ジョン・ミルマン,圭,1.0,,10,201803マイアミ,○,15,0,Ad,1,0
59,379,,c,1,ジョン・ミルマン,圭,1.0,117,10,201803マイアミ,×,30,0,Deuce,0,1
60,380,,w,2,ジョン・ミルマン,圭,1.0,,10,201803マイアミ,○,30,15,Ad,1,0
61,381,,b,1,ジョン・ミルマン,圭,1.0,109,10,201803マイアミ,○,40,15,Deuce,1,0
62,453,,9,8,ジョン・ミルマン,観,1.0,201,11,201803マイアミ,○,0,0,Deuce,1,0
63,454,Qy,w,1,ジョン・ミルマン,観,1.0,,11,201803マイアミ,×,15,0,Ad,0,1
64,455,Qy,,,ジョン・ミルマン,観,1.0,,11,201803マイアミ,○,15,15,Deuce,1,0
65,456,Qy,,,ジョン・ミルマン,観,1.0,,11,201803マイアミ,×,30,15,Ad,0,1
66,457,Qy,,,ジョン・ミルマン,観,1.0,,11,201803マイアミ,×,30,30,Deuce,0,1
67,458,Qy,,,ジョン・ミルマン,観,1.0,,11,201803マイアミ,×,30,40,Ad,0,1
68,536,Ac,c,1,ジョン・ミルマン,圭,1.0,119,12,201803マイアミ,○,0,0,Deuce,1,0
69,537,,c,1,ジョン・ミルマン,圭,1.0,110,12,201803マイアミ,○,15,0,Ad,1,0
70,538,Dn,n,2,ジョン・ミルマン,圭,1.0,,12,201803マイアミ,×,30,0,Deuce,0,1
71,539,,b,1,ジョン・ミルマン,圭,1.0,112,12,201803マイアミ,×,30,15,Ad,0,1
72,540,,c,2,ジョン・ミルマン,圭,1.0,,12,201803マイアミ,×,30,30,Deuce,0,1
73,541,,c,1,ジョン・ミルマン,圭,1.0,116,12,201803マイアミ,○,30,40,Ad,1,0
74,542,,w,2,ジョン・ミルマン,圭,1.0,,12,201803マイアミ,○,40,40,Deuce,1,0
75,543,Dn,n,2,ジョン・ミルマン,圭,1.0,,12,201803マイアミ,×,Ad,40,Ad,0,1
76,545,,c,2,ジョン・ミルマン,圭,1.0,,12,201803マイアミ,○,40,Ad,Ad,1,0
77,0,,w,1,ジョン・ミルマン,観,1.0,111,13,201803マイアミ,○,0,0,Deuce,1,0
78,1,,w,1,ジョン・ミルマン,圭,1.0,114,13,201803マイアミ,○,1,0,Ad,1,0
79,2,,b,2,ジョン・ミルマン,圭,1.0,,13,201803マイアミ,○,2,0,Deuce,1,0
80,3,,w,2,ジョン・ミルマン,観,1.0,,13,201803マイアミ,×,3,0,Ad,0,1
81,4,,b,2,ジョン・ミルマン,観,1.0,,13,201803マイアミ,○,3,1,Deuce,1,0
82,5,,w,1,ジョン・ミルマン,圭,1.0,113,13,201803マイアミ,×,4,1,Ad,0,1
83,6,,c,2,ジョン・ミルマン,圭,1.0,,13,201803マイアミ,○,4,2,Deuce,1,0
84,7,,w,1,ジョン・ミルマン,観,1.0,119,13,201803マイアミ,○,5,2,Ad,1,0
85,8,,b,2,ジョン・ミルマン,観,1.0,,13,201803マイアミ,×,6,2,Deuce,0,1
86,9,,w,2,ジョン・ミルマン,圭,1.0,,13,201803マイアミ,○,6,3,Ad,1,0
87,0,Dn,n,2,ジョン・ミルマン,圭,2.0,,1,201803マイアミ,×,0,0,Deuce,0,1
88,1,,c,1,ジョン・ミルマン,圭,2.0,113,1,201803マイアミ,×,0,15,Ad,0,1
89,2,,w,1,ジョン・ミルマン,圭,2.0,109,1,201803マイアミ,×,0,30,Deuce,0,1
90,3,,c,1,ジョン・ミルマン,圭,2.0,107,1,201803マイアミ,○,0,40,Ad,1,0
91,4,,w,1,ジョン・ミルマン,圭,2.0,113,1,201803マイアミ,○,15,40,Deuce,1,0
92,5,,w,2,ジョン・ミルマン,圭,2.0,,1,201803マイアミ,×,30,40,Ad,0,1
93,6,,c,1,ジョン・ミルマン,観,2.0,117,2,201803マイアミ,○,0,0,Deuce,1,0
94,7,,w,1,ジョン・ミルマン,観,2.0,,2,201803マイアミ,×,15,0,Ad,0,1
95,8,,w,2,ジョン・ミルマン,観,2.0,,2,201803マイアミ,○,15,15,Deuce,1,0
96,9,Aw,w,1,ジョン・ミルマン,観,2.0,120,2,201803マイアミ,×,30,15,Ad,0,1
97,10,,w,1,ジョン・ミルマン,観,2.0,109,2,201803マイアミ,○,30,30,Deuce,1,0
98,11,,w,1,ジョン・ミルマン,観,2.0,115,2,201803マイアミ,×,40,30,Ad,0,1
99,12,,b,2,ジョン・ミルマン,観,2.0,,2,201803マイアミ,○,40,40,Deuce,1,0
100,13,,w,2,ジョン・ミルマン,観,2.0,,2,201803マイアミ,×,Ad,40,Ad,0,1
101,15,,w,2,ジョン・ミルマン,観,2.0,,2,201803マイアミ,○,40,Ad,Ad,1,0
102,20,,w,1,ジョン・ミルマン,圭,2.0,105,3,201803マイアミ,×,0,0,Deuce,0,1
103,21,,w,1,ジョン・ミルマン,圭,2.0,112,3,201803マイアミ,○,0,15,Ad,1,0
104,22,Dn,n,2,ジョン・ミルマン,圭,2.0,,3,201803マイアミ,×,15,15,Deuce,0,1
105,23,,w,1,ジョン・ミルマン,圭,2.0,114,3,201803マイアミ,○,15,30,Ad,1,0
106,24,,w,1,ジョン・ミルマン,圭,2.0,107,3,201803マイアミ,○,30,30,Deuce,1,0
107,25,,w,1,ジョン・ミルマン,圭,2.0,104,3,201803マイアミ,×,40,30,Ad,0,1
108,26,,b,1,ジョン・ミルマン,圭,2.0,115,3,201803マイアミ,○,40,40,Deuce,1,0
109,27,,c,1,ジョン・ミルマン,圭,2.0,,3,201803マイアミ,○,Ad,40,Ad,1,0
110,28,,b,2,ジョン・ミルマン,観,2.0,,4,201803マイアミ,×,0,0,Deuce,0,1
111,29,,w,2,ジョン・ミルマン,観,2.0,,4,201803マイアミ,○,0,15,Ad,1,0
112,30,,w,2,ジョン・ミルマン,観,2.0,,4,201803マイアミ,×,15,15,Deuce,0,1
113,31,,w,1,ジョン・ミルマン,観,2.0,,4,201803マイアミ,○,15,30,Ad,1,0
114,32,,c,1,ジョン・ミルマン,観,2.0,123,4,201803マイアミ,×,30,30,Deuce,0,1
115,33,,w,1,ジョン・ミルマン,観,2.0,117,4,201803マイアミ,○,30,40,Ad,1,0
116,34,,w,2,ジョン・ミルマン,観,2.0,100,4,201803マイアミ,○,40,40,Deuce,1,0
117,35,,w,1,ジョン・ミルマン,観,2.0,119,4,201803マイアミ,○,Ad,40,Ad,1,0
118,36,,c,2,ジョン・ミルマン,圭,2.0,,5,201803マイアミ,○,0,0,Deuce,1,0
119,37,,w,2,ジョン・ミルマン,圭,2.0,,5,201803マイアミ,○,15,0,Ad,1,0
120,38,,w,1,ジョン・ミルマン,圭,2.0,109,5,201803マイアミ,×,30,0,Deuce,0,1
121,39,,c,1,ジョン・ミルマン,圭,2.0,107,5,201803マイアミ,○,30,15,Ad,1,0
122,40,,c,2,ジョン・ミルマン,圭,2.0,,5,201803マイアミ,×,40,15,Deuce,0,1
123,41,,w,1,ジョン・ミルマン,圭,2.0,114,5,201803マイアミ,×,40,30,Ad,0,1
124,42,,w,2,ジョン・ミルマン,圭,2.0,,5,201803マイアミ,○,40,40,Deuce,1,0
125,43,,c,1,ジョン・ミルマン,圭,2.0,105,5,201803マイアミ,×,Ad,40,Ad,0,1
126,45,,w,1,ジョン・ミルマン,圭,2.0,112,5,201803マイアミ,×,40,Ad,Ad,0,1
127,46,,b,1,ジョン・ミルマン,観,2.0,113,6,201803マイアミ,×,0,0,Deuce,0,1
128,47,,c,1,ジョン・ミルマン,観,2.0,115,6,201803マイアミ,×,0,15,Ad,0,1
129,48,,b,2,ジョン・ミルマン,観,2.0,,6,201803マイアミ,×,0,30,Deuce,0,1
130,49,,c,1,ジョン・ミルマン,観,2.0,111,6,201803マイアミ,×,0,40,Ad,0,1
131,100,,c,1,ジョン・ミルマン,圭,2.0,114,7,201803マイアミ,×,0,0,Deuce,0,1
132,101,,w,1,ジョン・ミルマン,圭,2.0,107,7,201803マイアミ,×,0,15,Ad,0,1
133,102,,w,1,ジョン・ミルマン,圭,2.0,,7,201803マイアミ,○,0,30,Deuce,1,0
134,103,,c,2,ジョン・ミルマン,圭,2.0,,7,201803マイアミ,○,15,30,Ad,1,0
135,104,,w,1,ジョン・ミルマン,圭,2.0,,7,201803マイアミ,○,30,30,Deuce,1,0
136,105,,c,1,ジョン・ミルマン,圭,2.0,111,7,201803マイアミ,○,40,30,Ad,1,0
137,162,,w,1,ジョン・ミルマン,観,2.0,104,8,201803マイアミ,×,0,0,Deuce,0,1
138,163,,w,1,ジョン・ミルマン,観,2.0,,8,201803マイアミ,×,0,15,Ad,0,1
139,164,,c,2,ジョン・ミルマン,観,2.0,,8,201803マイアミ,×,0,30,Deuce,0,1
140,165,,w,2,ジョン・ミルマン,観,2.0,,8,201803マイアミ,○,0,40,Ad,1,0
141,166,,w,1,ジョン・ミルマン,観,2.0,105,8,201803マイアミ,×,15,40,Deuce,0,1
142,228,,w,1,ジョン・ミルマン,圭,2.0,105,9,201803マイアミ,○,0,0,Deuce,1,0
143,229,,w,2,ジョン・ミルマン,圭,2.0,,9,201803マイアミ,○,15,0,Ad,1,0
144,230,,b,1,ジョン・ミルマン,圭,2.0,107,9,201803マイアミ,○,30,0,Deuce,1,0
145,231,Aw,w,1,ジョン・ミルマン,圭,2.0,,9,201803マイアミ,○,40,0,Ad,1,0
146,297,,w,2,ジョン・ミルマン,観,2.0,,10,201803マイアミ,×,0,0,Deuce,0,1
147,298,,w,1,ジョン・ミルマン,観,2.0,109,10,201803マイアミ,○,0,15,Ad,1,0
148,299,,b,1,ジョン・ミルマン,観,2.0,114,10,201803マイアミ,○,15,15,Deuce,1,0
149,300,,c,1,ジョン・ミルマン,観,2.0,118,10,201803マイアミ,×,30,15,Ad,0,1
150,301,,b,2,ジョン・ミルマン,観,2.0,,10,201803マイアミ,×,30,30,Deuce,0,1
151,302,,w,2,ジョン・ミルマン,観,2.0,,10,201803マイアミ,×,30,40,Ad,0,1
152,0,,w,2,ジョン・ミルマン,圭,3.0,,1,201803マイアミ,○,0,0,Deuce,1,0
153,1,,b,1,ジョン・ミルマン,圭,3.0,105,1,201803マイアミ,○,15,0,Ad,1,0
154,2,,c,1,ジョン・ミルマン,圭,3.0,118,1,201803マイアミ,○,30,0,Deuce,1,0
155,3,,c,1,ジョン・ミルマン,圭,3.0,111,1,201803マイアミ,○,40,0,Ad,1,0
156,4,,w,2,ジョン・ミルマン,圭,3.0,,1,201803マイアミ,○,,,Deuce,1,0
157,8,,c,1,ジョン・ミルマン,観,3.0,119,2,201803マイアミ,×,0,0,Deuce,0,1
158,9,,w,1,ジョン・ミルマン,観,3.0,118,2,201803マイアミ,○,0,15,Ad,1,0
159,10,,b,2,ジョン・ミルマン,観,3.0,,2,201803マイアミ,○,15,15,Deuce,1,0
160,11,,w,2,ジョン・ミルマン,観,3.0,902,2,201803マイアミ,×,30,15,Ad,0,1
161,12,Do,o,2,ジョン・ミルマン,観,3.0,,2,201803マイアミ,○,30,30,Deuce,1,0
162,13,,w,2,ジョン・ミルマン,観,3.0,,2,201803マイアミ,×,40,30,Ad,0,1
163,14,,c,1,ジョン・ミルマン,観,3.0,119,2,201803マイアミ,×,40,40,Deuce,0,1
164,15,,w,1,ジョン・ミルマン,観,3.0,117,2,201803マイアミ,×,40,Ad,Ad,0,1
165,28,,,2,ジョン・ミルマン,圭,3.0,,3,201803マイアミ,○,0,0,Deuce,1,0
166,29,,c,1,ジョン・ミルマン,圭,3.0,100,3,201803マイアミ,×,15,0,Ad,0,1
167,30,,c,1,ジョン・ミルマン,圭,3.0,111,3,201803マイアミ,○,15,15,Deuce,1,0
168,31,,c,1,ジョン・ミルマン,圭,3.0,110,3,201803マイアミ,○,30,15,Ad,1,0
169,32,,c,2,ジョン・ミルマン,圭,3.0,,3,201803マイアミ,○,40,15,Deuce,1,0
170,0,,w,1,ファンマルチン・デルポトロ,圭,1.0,103,1,201803マイアミ,○,0,0,Deuce,1,0
171,1,,c,1,ファンマルチン・デルポトロ,圭,1.0,116,1,201803マイアミ,○,15,0,Ad,1,0
172,2,,b,1,ファンマルチン・デルポトロ,圭,1.0,111,1,201803マイアミ,○,30,0,Deuce,1,0
173,3,,w,1,ファンマルチン・デルポトロ,圭,1.0,108,1,201803マイアミ,○,40,0,Ad,1,0
174,4,,w,1,ファンマルチン・デルポトロ,圭,1.0,103,1,201803マイアミ,○,,,Deuce,1,0
175,8,,w,1,ファンマルチン・デルポトロ,出,1.0,109,2,201803マイアミ,×,0,0,Deuce,0,1
176,9,,w,1,ファンマルチン・デルポトロ,出,1.0,121,2,201803マイアミ,○,0,15,Ad,1,0
177,10,,c,1,ファンマルチン・デルポトロ,出,1.0,110,2,201803マイアミ,×,15,15,Deuce,0,1
178,11,,c,1,ファンマルチン・デルポトロ,出,1.0,113,2,201803マイアミ,○,15,30,Ad,1,0
179,12,,c,1,ファンマルチン・デルポトロ,出,1.0,112,2,201803マイアミ,○,30,30,Deuce,1,0
180,13,,c,1,ファンマルチン・デルポトロ,出,1.0,122,2,201803マイアミ,×,40,30,Ad,0,1
181,14,,c,1,ファンマルチン・デルポトロ,出,1.0,115,2,201803マイアミ,×,40,40,Deuce,0,1
182,15,Qy,w,1,ファンマルチン・デルポトロ,出,1.0,,2,201803マイアミ,×,40,Ad,Ad,0,1
183,28,,c,2,ファンマルチン・デルポトロ,圭,1.0,,2,201803マイアミ,○,,,Deuce,1,0
184,45,,c,2,ファンマルチン・デルポトロ,圭,1.0,,3,201803マイアミ,○,0,0,Deuce,1,0
185,46,,w,2,ファンマルチン・デルポトロ,圭,1.0,,3,201803マイアミ,×,15,0,Ad,0,1
186,47,,b,1,ファンマルチン・デルポトロ,圭,1.0,109,3,201803マイアミ,○,15,15,Deuce,1,0
187,48,,w,1,ファンマルチン・デルポトロ,圭,1.0,115,3,201803マイアミ,○,30,15,Ad,1,0
