,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,1,2,ルディヒ,鈴,1.0,211,1,201804モンテカルロ,×,0,0,Deuce,0,1
1,1,,,,ルディヒ,鈴,1.0,211,1,201804モンテカルロ,×,0,15,Ad,0,1
2,2,,,,ルディヒ,鈴,1.0,211,1,201804モンテカルロ,○,0,30,Deuce,1,0
3,3,,,,ルディヒ,鈴,1.0,211,1,201804モンテカルロ,×,15,30,Ad,0,1
4,4,,,,ルディヒ,鈴,1.0,211,1,201804モンテカルロ,×,15,40,Deuce,0,1
5,5,,2,2,ルディヒ,圭,1.0,222,2,201804モンテカルロ,×,0,0,Deuce,0,1
6,6,,,,ルディヒ,圭,1.0,222,2,201804モンテカルロ,○,0,15,Ad,1,0
7,7,,,,ルディヒ,圭,1.0,222,2,201804モンテカルロ,×,15,15,Deuce,0,1
8,8,,,,ルディヒ,圭,1.0,222,2,201804モンテカルロ,×,15,30,Ad,0,1
9,9,,,,ルディヒ,圭,1.0,222,2,201804モンテカルロ,○,15,40,Deuce,1,0
10,10,,,,ルディヒ,圭,1.0,222,2,201804モンテカルロ,○,30,40,Ad,1,0
11,11,,,,ルディヒ,圭,1.0,222,2,201804モンテカルロ,×,40,40,Deuce,0,1
12,12,,,,ルディヒ,圭,1.0,222,2,201804モンテカルロ,×,40,Ad,Ad,0,1
13,13,,2,2,ルディヒ,鈴,1.0,221,3,201804モンテカルロ,×,0,0,Deuce,0,1
14,14,,,,ルディヒ,鈴,1.0,221,3,201804モンテカルロ,×,0,15,Ad,0,1
15,15,,,,ルディヒ,鈴,1.0,221,3,201804モンテカルロ,×,0,30,Deuce,0,1
16,16,,,,ルディヒ,鈴,1.0,221,3,201804モンテカルロ,×,0,40,Ad,0,1
17,17,,d,1,ルディヒ,圭,1.0,111,4,201804モンテカルロ,○,0,0,Deuce,1,0
18,18,,,,ルディヒ,圭,1.0,111,4,201804モンテカルロ,×,15,0,Ad,0,1
19,19,,,,ルディヒ,圭,1.0,111,4,201804モンテカルロ,○,15,15,Deuce,1,0
20,20,,,,ルディヒ,圭,1.0,111,4,201804モンテカルロ,○,30,15,Ad,1,0
21,21,,,,ルディヒ,圭,1.0,111,4,201804モンテカルロ,×,40,15,Deuce,0,1
22,22,,,,ルディヒ,圭,1.0,111,4,201804モンテカルロ,○,40,30,Ad,1,0
23,23,,1,2,ルディヒ,鈴,1.0,212,5,201804モンテカルロ,×,0,0,Deuce,0,1
24,24,,,,ルディヒ,鈴,1.0,212,5,201804モンテカルロ,×,0,15,Ad,0,1
25,25,,,,ルディヒ,鈴,1.0,212,5,201804モンテカルロ,×,0,30,Deuce,0,1
26,26,,,,ルディヒ,鈴,1.0,212,5,201804モンテカルロ,○,0,40,Ad,1,0
27,27,,,,ルディヒ,鈴,1.0,212,5,201804モンテカルロ,×,15,40,Deuce,0,1
28,28,,1,2,ルディヒ,圭,1.0,212,6,201804モンテカルロ,○,0,0,Deuce,1,0
29,29,,,,ルディヒ,圭,1.0,212,6,201804モンテカルロ,○,15,0,Ad,1,0
30,30,,,,ルディヒ,圭,1.0,212,6,201804モンテカルロ,○,30,0,Deuce,1,0
31,31,,,,ルディヒ,圭,1.0,212,6,201804モンテカルロ,○,40,0,Ad,1,0
32,32,,2,1,ルディヒ,鈴,1.0,121,7,201804モンテカルロ,○,0,0,Deuce,1,0
33,33,,,,ルディヒ,鈴,1.0,121,7,201804モンテカルロ,×,15,0,Ad,0,1
34,34,,,,ルディヒ,鈴,1.0,121,7,201804モンテカルロ,○,15,15,Deuce,1,0
35,35,,,,ルディヒ,鈴,1.0,121,7,201804モンテカルロ,×,30,15,Ad,0,1
36,36,,,,ルディヒ,鈴,1.0,121,7,201804モンテカルロ,○,30,30,Deuce,1,0
37,37,,,,ルディヒ,鈴,1.0,121,7,201804モンテカルロ,×,40,30,Ad,0,1
