,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,1,ラドゥ・アルボット,有,1.0,,1,201802ニューヨーク,×,0,0,Deuce,0,1
1,1,,w,1,ラドゥ・アルボット,有,1.0,,1,201802ニューヨーク,○,0,15,Ad,1,0
2,2,,w,1,ラドゥ・アルボット,有,1.0,,1,201802ニューヨーク,×,15,15,Deuce,0,1
3,3,,w,1,ラドゥ・アルボット,有,1.0,,1,201802ニューヨーク,×,15,30,Ad,0,1
4,4,,b,2,ラドゥ・アルボット,有,1.0,,1,201802ニューヨーク,×,15,40,Deuce,0,1
5,5,,c,1,ラドゥ・アルボット,有,1.0,,1,201802ニューヨーク,×,,,Ad,0,1
6,10,,c,2,ラドゥ・アルボット,圭,1.0,,2,201802ニューヨーク,○,0,0,Deuce,1,0
7,11,,w,1,ラドゥ・アルボット,圭,1.0,107,2,201802ニューヨーク,○,15,0,Ad,1,0
8,12,,b,1,ラドゥ・アルボット,圭,1.0,105,2,201802ニューヨーク,○,30,0,Deuce,1,0
9,13,,w,1,ラドゥ・アルボット,圭,1.0,111,2,201802ニューヨーク,×,40,0,Ad,0,1
10,14,,w,1,ラドゥ・アルボット,圭,1.0,,2,201802ニューヨーク,○,40,15,Deuce,1,0
11,25,,1,2,ラドゥ・アルボット,有,1.0,212,3,201802ニューヨーク,×,0,0,Deuce,0,1
12,26,Qy,w,1,ラドゥ・アルボット,有,1.0,,3,201802ニューヨーク,×,0,15,Ad,0,1
13,27,Qy,,,ラドゥ・アルボット,有,1.0,,3,201802ニューヨーク,×,0,30,Deuce,0,1
14,28,Qy,,,ラドゥ・アルボット,有,1.0,,3,201802ニューヨーク,×,0,40,Ad,0,1
15,43,,c,1,ラドゥ・アルボット,圭,1.0,107,4,201802ニューヨーク,○,0,0,Deuce,1,0
16,44,,w,1,ラドゥ・アルボット,圭,1.0,101,4,201802ニューヨーク,○,15,0,Ad,1,0
17,45,,w,1,ラドゥ・アルボット,圭,1.0,,4,201802ニューヨーク,○,30,0,Deuce,1,0
18,46,,c,1,ラドゥ・アルボット,圭,1.0,115,4,201802ニューヨーク,○,40,0,Ad,1,0
19,65,,c,1,ラドゥ・アルボット,有,1.0,111,5,201802ニューヨーク,○,0,0,Deuce,1,0
20,66,,c,1,ラドゥ・アルボット,有,1.0,103,5,201802ニューヨーク,○,15,0,Ad,1,0
21,67,,w,1,ラドゥ・アルボット,有,1.0,,5,201802ニューヨーク,○,30,0,Deuce,1,0
22,68,,w,2,ラドゥ・アルボット,有,1.0,,5,201802ニューヨーク,×,40,0,Ad,0,1
23,69,,w,2,ラドゥ・アルボット,有,1.0,,5,201802ニューヨーク,○,40,15,Deuce,1,0
24,93,,c,2,ラドゥ・アルボット,圭,1.0,,6,201802ニューヨーク,×,0,0,Deuce,0,1
25,94,,w,1,ラドゥ・アルボット,圭,1.0,105,6,201802ニューヨーク,○,0,15,Ad,1,0
26,95,,w,1,ラドゥ・アルボット,圭,1.0,,6,201802ニューヨーク,○,15,15,Deuce,1,0
27,96,,c,1,ラドゥ・アルボット,圭,1.0,107,6,201802ニューヨーク,×,30,15,Ad,0,1
28,97,,c,2,ラドゥ・アルボット,圭,1.0,,6,201802ニューヨーク,×,30,30,Deuce,0,1
29,98,,w,2,ラドゥ・アルボット,圭,1.0,233,6,201802ニューヨーク,×,30,40,Ad,0,1
30,128,,b,1,ラドゥ・アルボット,有,1.0,,7,201802ニューヨーク,○,0,0,Deuce,1,0
31,129,,b,1,ラドゥ・アルボット,有,1.0,,7,201802ニューヨーク,×,15,0,Ad,0,1
32,130,,c,1,ラドゥ・アルボット,有,1.0,,7,201802ニューヨーク,○,15,15,Deuce,1,0
33,131,,b,2,ラドゥ・アルボット,有,1.0,,7,201802ニューヨーク,×,30,15,Ad,0,1
34,132,Aw,w,1,ラドゥ・アルボット,有,1.0,,7,201802ニューヨーク,×,30,30,Deuce,0,1
35,133,,w,1,ラドゥ・アルボット,有,1.0,,7,201802ニューヨーク,○,30,40,Ad,1,0
36,134,,b,1,ラドゥ・アルボット,有,1.0,110,7,201802ニューヨーク,×,40,40,Deuce,0,1
37,135,,w,1,ラドゥ・アルボット,有,1.0,100,7,201802ニューヨーク,○,40,Ad,Ad,1,0
38,179,,c,2,ラドゥ・アルボット,圭,1.0,,8,201802ニューヨーク,○,0,0,Deuce,1,0
39,180,,b,1,ラドゥ・アルボット,圭,1.0,,8,201802ニューヨーク,×,15,0,Ad,0,1
40,181,,c,1,ラドゥ・アルボット,圭,1.0,114,8,201802ニューヨーク,○,15,15,Deuce,1,0
41,182,,w,1,ラドゥ・アルボット,圭,1.0,115,8,201802ニューヨーク,×,30,15,Ad,0,1
42,183,,w,2,ラドゥ・アルボット,圭,1.0,,8,201802ニューヨーク,○,30,30,Deuce,1,0
43,184,,w,2,ラドゥ・アルボット,圭,1.0,,8,201802ニューヨーク,×,40,30,Ad,0,1
44,185,Dn,n,2,ラドゥ・アルボット,圭,1.0,,8,201802ニューヨーク,×,40,40,Deuce,0,1
45,186,,c,2,ラドゥ・アルボット,圭,1.0,,8,201802ニューヨーク,○,40,Ad,Ad,1,0
46,247,,c,1,ラドゥ・アルボット,有,1.0,115,9,201802ニューヨーク,×,0,0,Deuce,0,1
47,248,,b,2,ラドゥ・アルボット,有,1.0,,9,201802ニューヨーク,×,0,15,Ad,0,1
48,249,,b,1,ラドゥ・アルボット,有,1.0,,9,201802ニューヨーク,○,0,30,Deuce,1,0
49,250,,c,1,ラドゥ・アルボット,有,1.0,104,9,201802ニューヨーク,×,15,30,Ad,0,1
50,251,,w,1,ラドゥ・アルボット,有,1.0,247,9,201802ニューヨーク,×,15,40,Deuce,0,1
51,311,,w,2,ラドゥ・アルボット,圭,1.0,,10,201802ニューヨーク,○,0,0,Deuce,1,0
52,312,,w,2,ラドゥ・アルボット,圭,1.0,,10,201802ニューヨーク,×,15,0,Ad,0,1
53,313,,w,1,ラドゥ・アルボット,圭,1.0,,10,201802ニューヨーク,×,15,15,Deuce,0,1
54,314,,w,2,ラドゥ・アルボット,圭,1.0,,10,201802ニューヨーク,×,15,30,Ad,0,1
55,315,,w,1,ラドゥ・アルボット,圭,1.0,100,10,201802ニューヨーク,○,15,40,Deuce,1,0
56,316,,b,2,ラドゥ・アルボット,圭,1.0,,10,201802ニューヨーク,×,30,40,Ad,0,1
57,0,,w,1,ラドゥ・アルボット,有,2.0,,1,201802ニューヨーク,×,0,0,Deuce,0,1
58,1,,w,1,ラドゥ・アルボット,有,2.0,,1,201802ニューヨーク,×,0,15,Ad,0,1
59,2,,c,1,ラドゥ・アルボット,有,2.0,115,1,201802ニューヨーク,×,0,30,Deuce,0,1
60,3,,w,2,ラドゥ・アルボット,有,2.0,,1,201802ニューヨーク,○,0,40,Ad,1,0
61,4,,w,1,ラドゥ・アルボット,有,2.0,,1,201802ニューヨーク,○,15,40,Deuce,1,0
62,5,,w,1,ラドゥ・アルボット,有,2.0,112,1,201802ニューヨーク,×,30,40,Ad,0,1
63,6,,w,1,ラドゥ・アルボット,有,2.0,,1,201802ニューヨーク,×,,,Deuce,0,1
64,12,,c,2,ラドゥ・アルボット,圭,2.0,,2,201802ニューヨーク,×,0,0,Deuce,0,1
65,13,,c,1,ラドゥ・アルボット,圭,2.0,114,2,201802ニューヨーク,○,0,15,Ad,1,0
66,14,,b,2,ラドゥ・アルボット,圭,2.0,,2,201802ニューヨーク,○,15,15,Deuce,1,0
67,15,,w,1,ラドゥ・アルボット,圭,2.0,115,2,201802ニューヨーク,○,30,15,Ad,1,0
68,16,,w,1,ラドゥ・アルボット,圭,2.0,108,2,201802ニューヨーク,×,40,15,Deuce,0,1
69,17,,w,2,ラドゥ・アルボット,圭,2.0,,2,201802ニューヨーク,×,40,30,Ad,0,1
70,18,,c,1,ラドゥ・アルボット,圭,2.0,109,2,201802ニューヨーク,×,40,40,Deuce,0,1
71,19,,w,1,ラドゥ・アルボット,圭,2.0,101,2,201802ニューヨーク,○,40,Ad,Ad,1,0
