,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,,,杉田祐一,杉,1,,1,201810楽天オープン,×,0,0,Deuce,0,1
1,1,,c,1,杉田祐一,杉,1,,1,201810楽天オープン,○,0,15,Ad,1,0
2,2,,,,杉田祐一,杉,1,,1,201810楽天オープン,×,15,15,Deuce,0,1
3,3,,c,1,杉田祐一,杉,1,,1,201810楽天オープン,○,15,30,Ad,1,0
4,4,,c,1,杉田祐一,圭,1,,2,201810楽天オープン,×,0,0,Deuce,0,1
5,5,,w,1,杉田祐一,圭,1,,2,201810楽天オープン,×,0,15,Ad,0,1
6,6,,c,1,杉田祐一,圭,1,,2,201810楽天オープン,○,0,30,Deuce,1,0
7,7,,w,2,杉田祐一,圭,1,,2,201810楽天オープン,○,15,30,Ad,1,0
8,8,,c,2,杉田祐一,圭,1,,2,201810楽天オープン,×,30,30,Deuce,0,1
9,9,,b,1,杉田祐一,圭,1,,2,201810楽天オープン,○,30,40,Ad,1,0
10,10,,w,1,杉田祐一,圭,1,,2,201810楽天オープン,○,40,40,Deuce,1,0
11,11,,w,2,杉田祐一,圭,1,,2,201810楽天オープン,×,Ad,40,Ad,0,1
12,30,,w,1,杉田祐一,杉,1,,3,201810楽天オープン,×,0,0,Deuce,0,1
13,31,,w,2,杉田祐一,杉,1,,3,201810楽天オープン,×,0,15,Ad,0,1
14,32,Aw,w,1,杉田祐一,杉,1,,3,201810楽天オープン,×,0,30,Deuce,0,1
15,33,,w,1,杉田祐一,杉,1,,3,201810楽天オープン,×,0,40,Ad,0,1
16,52,,w,1,杉田祐一,圭,1,,4,201810楽天オープン,○,0,0,Deuce,1,0
17,53,,c,1,杉田祐一,圭,1,,4,201810楽天オープン,×,15,0,Ad,0,1
18,54,,c,1,杉田祐一,圭,1,,4,201810楽天オープン,○,15,15,Deuce,1,0
19,55,,b,1,杉田祐一,圭,1,,4,201810楽天オープン,×,30,15,Ad,0,1
20,56,,c,2,杉田祐一,圭,1,,4,201810楽天オープン,○,30,30,Deuce,1,0
21,57,,w,1,杉田祐一,圭,1,,4,201810楽天オープン,×,40,30,Ad,0,1
22,58,,c,1,杉田祐一,圭,1,,4,201810楽天オープン,×,40,40,Deuce,0,1
23,59,,w,2,杉田祐一,圭,1,,4,201810楽天オープン,○,40,Ad,Ad,1,0
24,61,,w,2,杉田祐一,圭,1,,4,201810楽天オープン,×,Ad,40,Ad,0,1
25,98,,c,2,杉田祐一,杉,1,,5,201810楽天オープン,○,0,0,Deuce,1,0
26,99,,w,2,杉田祐一,杉,1,,5,201810楽天オープン,○,15,0,Ad,1,0
27,100,,c,1,杉田祐一,杉,1,,5,201810楽天オープン,×,30,0,Deuce,0,1
28,101,Aw,w,1,杉田祐一,杉,1,,5,201810楽天オープン,×,30,15,Ad,0,1
29,102,,c,2,杉田祐一,杉,1,,5,201810楽天オープン,○,30,30,Deuce,1,0
30,103,,w,2,杉田祐一,杉,1,,5,201810楽天オープン,○,40,30,Ad,1,0
31,142,,w,1,杉田祐一,圭,1,,6,201810楽天オープン,×,0,0,Deuce,0,1
32,143,,c,1,杉田祐一,圭,1,,6,201810楽天オープン,○,0,15,Ad,1,0
33,144,,w,1,杉田祐一,圭,1,,6,201810楽天オープン,○,15,15,Deuce,1,0
34,145,,w,2,杉田祐一,圭,1,,6,201810楽天オープン,○,30,15,Ad,1,0
35,146,,b,1,杉田祐一,圭,1,,6,201810楽天オープン,×,40,15,Deuce,0,1
36,147,Ac,c,1,杉田祐一,圭,1,,6,201810楽天オープン,○,40,30,Ad,1,0
37,192,,b,1,杉田祐一,杉,1,,7,201810楽天オープン,○,0,0,Deuce,1,0
38,193,,w,1,杉田祐一,杉,1,,7,201810楽天オープン,○,15,0,Ad,1,0
39,194,,b,2,杉田祐一,杉,1,,7,201810楽天オープン,×,30,0,Deuce,0,1
40,195,,b,1,杉田祐一,杉,1,,7,201810楽天オープン,×,30,15,Ad,0,1
41,196,,w,1,杉田祐一,杉,1,,7,201810楽天オープン,×,30,30,Deuce,0,1
42,197,Nt,c,1,杉田祐一,杉,1,,7,201810楽天オープン,×,30,40,Ad,0,1
43,248,,c,2,杉田祐一,圭,1,,8,201810楽天オープン,○,0,0,Deuce,1,0
44,249,,c,1,杉田祐一,圭,1,,8,201810楽天オープン,○,15,0,Ad,1,0
45,250,,w,1,杉田祐一,圭,1,,8,201810楽天オープン,○,30,0,Deuce,1,0
46,251,,w,2,杉田祐一,圭,1,,8,201810楽天オープン,×,40,0,Ad,0,1
47,252,,w,2,杉田祐一,圭,1,,8,201810楽天オープン,○,40,15,Deuce,1,0
48,308,,w,2,杉田祐一,杉,1,,9,201810楽天オープン,×,0,0,Deuce,0,1
49,309,,w,1,杉田祐一,杉,1,,9,201810楽天オープン,×,0,15,Ad,0,1
50,310,,w,2,杉田祐一,杉,1,,9,201810楽天オープン,×,0,30,Deuce,0,1
51,311,,w,2,杉田祐一,杉,1,,9,201810楽天オープン,○,0,40,Ad,1,0
52,312,Nt,c,1,杉田祐一,杉,1,,9,201810楽天オープン,×,15,40,Deuce,0,1
53,373,,c,2,杉田祐一,圭,1,,10,201810楽天オープン,○,0,0,Deuce,1,0
54,374,,w,1,杉田祐一,圭,1,,10,201810楽天オープン,○,15,0,Ad,1,0
55,375,,w,2,杉田祐一,圭,1,,10,201810楽天オープン,×,30,0,Deuce,0,1
56,376,Aw,w,1,杉田祐一,圭,1,,10,201810楽天オープン,○,30,15,Ad,1,0
57,377,Ac,c,1,杉田祐一,圭,1,,10,201810楽天オープン,○,40,15,Deuce,1,0
58,0,Aw,w,1,杉田祐一,杉,2,,1,201810楽天オープン,×,0,0,Deuce,0,1
59,1,,c,2,杉田祐一,杉,2,,1,201810楽天オープン,○,0,15,Ad,1,0
60,2,,w,1,杉田祐一,杉,2,,1,201810楽天オープン,×,15,15,Deuce,0,1
61,3,,c,1,杉田祐一,杉,2,,1,201810楽天オープン,○,15,30,Ad,1,0
62,4,,w,1,杉田祐一,杉,2,,1,201810楽天オープン,×,30,30,Deuce,0,1
63,5,,w,2,杉田祐一,杉,2,,1,201810楽天オープン,○,30,40,Ad,1,0
64,6,,c,1,杉田祐一,杉,2,,1,201810楽天オープン,○,40,40,Deuce,1,0
65,7,Nt,w,1,杉田祐一,杉,2,,1,201810楽天オープン,○,Ad,40,Ad,1,0
66,8,Aw,w,1,杉田祐一,杉,2,,1,201810楽天オープン,×,,,Deuce,0,1
67,16,,c,1,杉田祐一,圭,2,,2,201810楽天オープン,○,0,0,Deuce,1,0
68,17,,w,1,杉田祐一,圭,2,,2,201810楽天オープン,○,15,0,Ad,1,0
69,18,,w,1,杉田祐一,圭,2,,2,201810楽天オープン,×,30,0,Deuce,0,1
70,19,Ac,c,1,杉田祐一,圭,2,,2,201810楽天オープン,○,30,15,Ad,1,0
71,20,,b,1,杉田祐一,圭,2,,2,201810楽天オープン,×,40,15,Deuce,0,1
72,21,,c,1,杉田祐一,圭,2,,2,201810楽天オープン,×,40,30,Ad,0,1
73,22,,c,2,杉田祐一,圭,2,,2,201810楽天オープン,×,40,40,Deuce,0,1
74,23,,c,1,杉田祐一,圭,2,,2,201810楽天オープン,○,40,Ad,Ad,1,0
75,27,Ds,s,2,杉田祐一,圭,2,,2,201810楽天オープン,×,Ad,40,Ad,0,1
76,52,,c,1,杉田祐一,杉,2,,3,201810楽天オープン,×,0,0,Deuce,0,1
77,53,,w,2,杉田祐一,杉,2,,3,201810楽天オープン,○,0,15,Ad,1,0
78,54,,c,1,杉田祐一,杉,2,,3,201810楽天オープン,×,15,15,Deuce,0,1
79,55,,w,1,杉田祐一,杉,2,,3,201810楽天オープン,○,15,30,Ad,1,0
80,56,,w,2,杉田祐一,杉,2,,3,201810楽天オープン,×,30,30,Deuce,0,1
81,57,,w,1,杉田祐一,杉,2,,3,201810楽天オープン,○,30,40,Ad,1,0
82,58,,w,1,杉田祐一,杉,2,,3,201810楽天オープン,○,40,40,Deuce,1,0
83,59,,c,2,杉田祐一,杉,2,,3,201810楽天オープン,○,Ad,40,Ad,1,0
84,90,Dn,n,2,杉田祐一,圭,2,,4,201810楽天オープン,×,0,0,Deuce,0,1
85,91,,w,1,杉田祐一,圭,2,,4,201810楽天オープン,×,0,15,Ad,0,1
86,92,,c,2,杉田祐一,圭,2,,4,201810楽天オープン,×,0,30,Deuce,0,1
87,93,,c,1,杉田祐一,圭,2,,4,201810楽天オープン,○,0,40,Ad,1,0
88,94,,w,1,杉田祐一,圭,2,,4,201810楽天オープン,×,15,40,Deuce,0,1
89,0,,w,1,リシャール・ガスケ,圭,1,,1,201810楽天オープン,○,0,0,Deuce,1,0
90,1,,w,1,リシャール・ガスケ,圭,1,,1,201810楽天オープン,○,15,0,Ad,1,0
91,2,,c,2,リシャール・ガスケ,圭,1,,1,201810楽天オープン,○,30,0,Deuce,1,0
92,3,,b,1,リシャール・ガスケ,圭,1,,1,201810楽天オープン,○,40,0,Ad,1,0
93,4,,w,1,リシャール・ガスケ,圭,1,,1,201810楽天オープン,○,,,Deuce,1,0
94,8,,c,2,リシャール・ガスケ,瓦,1,,2,201810楽天オープン,○,0,0,Deuce,1,0
95,9,,w,2,リシャール・ガスケ,瓦,1,,2,201810楽天オープン,×,15,0,Ad,0,1
96,10,,w,1,リシャール・ガスケ,瓦,1,,2,201810楽天オープン,×,15,15,Deuce,0,1
97,11,,w,1,リシャール・ガスケ,瓦,1,,2,201810楽天オープン,×,15,30,Ad,0,1
98,12,Nt,c,1,リシャール・ガスケ,瓦,1,,2,201810楽天オープン,×,15,40,Deuce,0,1
99,22,,c,1,リシャール・ガスケ,圭,1,,3,201810楽天オープン,×,0,0,Deuce,0,1
100,23,,w,1,リシャール・ガスケ,圭,1,,3,201810楽天オープン,○,0,15,Ad,1,0
101,24,,w,1,リシャール・ガスケ,圭,1,,3,201810楽天オープン,○,15,15,Deuce,1,0
