,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,c,2,ロビン・ハーセ,圭,1.0,,1,201808トロント,○,0,0,Deuce,1,0
1,1,,w,1,ロビン・ハーセ,圭,1.0,,1,201808トロント,○,15,0,Ad,1,0
2,2,,b,1,ロビン・ハーセ,圭,1.0,167,1,201808トロント,○,30,0,Deuce,1,0
3,3,,w,1,ロビン・ハーセ,圭,1.0,175,1,201808トロント,○,40,0,Ad,1,0
4,4,,c,2,ロビン・ハーセ,圭,1.0,,1,201808トロント,○,,,Deuce,1,0
5,8,Dn,n,2,ロビン・ハーセ,馳,1.0,,2,201808トロント,○,0,0,Deuce,1,0
6,9,,w,2,ロビン・ハーセ,馳,1.0,151,2,201808トロント,×,15,0,Ad,0,1
7,10,,c,1,ロビン・ハーセ,馳,1.0,169,2,201808トロント,○,15,15,Deuce,1,0
8,11,,w,1,ロビン・ハーセ,馳,1.0,199,2,201808トロント,○,30,15,Ad,1,0
9,12,,w,1,ロビン・ハーセ,馳,1.0,189,2,201808トロント,×,40,15,Deuce,0,1
10,13,,w,2,ロビン・ハーセ,馳,1.0,,2,201808トロント,○,40,30,Ad,1,0
11,24,,c,2,ロビン・ハーセ,圭,1.0,154,3,201808トロント,○,0,0,Deuce,1,0
12,25,,c,1,ロビン・ハーセ,圭,1.0,179,3,201808トロント,○,15,0,Ad,1,0
13,26,,c,2,ロビン・ハーセ,圭,1.0,146,3,201808トロント,○,30,0,Deuce,1,0
14,27,,c,1,ロビン・ハーセ,圭,1.0,174,3,201808トロント,○,40,0,Ad,1,0
15,42,Aw,w,1,ロビン・ハーセ,馳,1.0,196,4,201808トロント,×,0,0,Deuce,0,1
16,43,,w,1,ロビン・ハーセ,馳,1.0,198,4,201808トロント,×,0,15,Ad,0,1
17,44,,c,1,ロビン・ハーセ,馳,1.0,203,4,201808トロント,○,0,30,Deuce,1,0
18,45,,c,1,ロビン・ハーセ,馳,1.0,198,4,201808トロント,○,15,30,Ad,1,0
19,46,,c,1,ロビン・ハーセ,馳,1.0,203,4,201808トロント,×,30,30,Deuce,0,1
20,47,,w,1,ロビン・ハーセ,馳,1.0,193,4,201808トロント,×,30,40,Ad,0,1
21,68,,,1,ロビン・ハーセ,圭,1.0,,5,201808トロント,○,0,0,Deuce,1,0
22,69,Aw,w,1,ロビン・ハーセ,圭,1.0,151,5,201808トロント,×,15,0,Ad,0,1
23,70,,b,1,ロビン・ハーセ,圭,1.0,180,5,201808トロント,×,15,15,Deuce,0,1
24,71,Do,o,2,ロビン・ハーセ,圭,1.0,,5,201808トロント,○,15,30,Ad,1,0
25,72,,w,1,ロビン・ハーセ,圭,1.0,190,5,201808トロント,×,30,30,Deuce,0,1
26,73,Ds,s,2,ロビン・ハーセ,圭,1.0,,5,201808トロント,×,30,40,Ad,0,1
27,100,,c,2,ロビン・ハーセ,馳,1.0,161,6,201808トロント,×,0,0,Deuce,0,1
28,101,,b,2,ロビン・ハーセ,馳,1.0,163,6,201808トロント,×,0,15,Ad,0,1
29,102,,c,1,ロビン・ハーセ,馳,1.0,201,6,201808トロント,×,0,30,Deuce,0,1
30,103,Ac,c,1,ロビン・ハーセ,馳,1.0,201,6,201808トロント,×,0,40,Ad,0,1
31,134,,c,1,ロビン・ハーセ,圭,1.0,,7,201808トロント,○,0,0,Deuce,1,0
32,135,,c,1,ロビン・ハーセ,圭,1.0,175,7,201808トロント,○,15,0,Ad,1,0
33,136,,w,1,ロビン・ハーセ,圭,1.0,,7,201808トロント,○,30,0,Deuce,1,0
34,137,,w,2,ロビン・ハーセ,圭,1.0,,7,201808トロント,○,40,0,Ad,1,0
35,172,,w,1,ロビン・ハーセ,馳,1.0,181,8,201808トロント,×,0,0,Deuce,0,1
36,173,,b,2,ロビン・ハーセ,馳,1.0,157,8,201808トロント,×,0,15,Ad,0,1
37,174,,w,1,ロビン・ハーセ,馳,1.0,187,8,201808トロント,○,0,30,Deuce,1,0
38,175,,w,2,ロビン・ハーセ,馳,1.0,157,8,201808トロント,×,15,30,Ad,0,1
39,176,Im,w,1,ロビン・ハーセ,馳,1.0,178,8,201808トロント,×,15,40,Deuce,0,1
40,216,,w,1,ロビン・ハーセ,圭,1.0,160,9,201808トロント,○,0,0,Deuce,1,0
41,217,Ac,c,1,ロビン・ハーセ,圭,1.0,173,9,201808トロント,○,15,0,Ad,1,0
42,218,,w,1,ロビン・ハーセ,圭,1.0,153,9,201808トロント,○,30,0,Deuce,1,0
43,219,,w,2,ロビン・ハーセ,圭,1.0,139,9,201808トロント,×,40,0,Ad,0,1
44,220,Im,w,1,ロビン・ハーセ,圭,1.0,171,9,201808トロント,○,40,15,Deuce,1,0
45,265,,b,2,ロビン・ハーセ,馳,1.0,,10,201808トロント,×,0,0,Deuce,0,1
46,266,,a,9,ロビン・ハーセ,馳,1.0,173,10,201808トロント,×,0,15,Ad,0,1
47,267,Ac,c,1,ロビン・ハーセ,馳,1.0,,10,201808トロント,×,0,30,Deuce,0,1
48,268,,w,1,ロビン・ハーセ,馳,1.0,199,10,201808トロント,○,0,40,Ad,1,0
49,269,,b,1,ロビン・ハーセ,馳,1.0,201,10,201808トロント,○,15,40,Deuce,1,0
50,270,,w,1,ロビン・ハーセ,馳,1.0,185,10,201808トロント,○,30,40,Ad,1,0
51,271,,w,1,ロビン・ハーセ,馳,1.0,183,10,201808トロント,×,40,40,Deuce,0,1
52,272,,w,2,ロビン・ハーセ,馳,1.0,163,10,201808トロント,×,40,Ad,Ad,0,1
53,325,,w,1,ロビン・ハーセ,圭,1.0,175,11,201808トロント,×,0,0,Deuce,0,1
54,326,,c,1,ロビン・ハーセ,圭,1.0,185,11,201808トロント,×,0,15,Ad,0,1
55,327,,b,1,ロビン・ハーセ,圭,1.0,178,11,201808トロント,×,0,30,Deuce,0,1
56,328,,c,1,ロビン・ハーセ,圭,1.0,174,11,201808トロント,○,0,40,Ad,1,0
57,329,,c,1,ロビン・ハーセ,圭,1.0,193,11,201808トロント,×,15,40,Deuce,0,1
58,387,,b,1,ロビン・ハーセ,馳,1.0,159,12,201808トロント,×,0,0,Deuce,0,1
59,388,,w,1,ロビン・ハーセ,馳,1.0,204,12,201808トロント,×,0,15,Ad,0,1
60,389,,b,2,ロビン・ハーセ,馳,1.0,161,12,201808トロント,○,0,30,Deuce,1,0
61,390,,c,1,ロビン・ハーセ,馳,1.0,193,12,201808トロント,×,15,30,Ad,0,1
62,0,,w,1,ロビン・ハーセ,圭,2.0,157,1,201808トロント,○,0,0,Deuce,1,0
63,1,,w,2,ロビン・ハーセ,圭,2.0,147,1,201808トロント,×,15,0,Ad,0,1
64,2,,w,1,ロビン・ハーセ,圭,2.0,155,1,201808トロント,×,15,15,Deuce,0,1
65,3,,b,1,ロビン・ハーセ,圭,2.0,184,1,201808トロント,×,15,30,Ad,0,1
66,4,,c,2,ロビン・ハーセ,圭,2.0,141,1,201808トロント,○,15,40,Deuce,1,0
67,5,Im,w,1,ロビン・ハーセ,圭,2.0,182,1,201808トロント,×,30,40,Ad,0,1
68,6,,w,1,ロビン・ハーセ,圭,2.0,157,1,201808トロント,○,,,Deuce,1,0
69,7,,w,2,ロビン・ハーセ,圭,2.0,147,1,201808トロント,×,40,Ad,Ad,0,1
70,12,,c,1,ロビン・ハーセ,馳,2.0,202,2,201808トロント,×,0,0,Deuce,0,1
71,13,Ac,c,1,ロビン・ハーセ,馳,2.0,199,2,201808トロント,×,0,15,Ad,0,1
72,14,,c,1,ロビン・ハーセ,馳,2.0,201,2,201808トロント,×,0,30,Deuce,0,1
73,15,,w,1,ロビン・ハーセ,馳,2.0,199,2,201808トロント,×,0,40,Ad,0,1
74,26,,c,1,ロビン・ハーセ,圭,2.0,183,3,201808トロント,○,0,0,Deuce,1,0
75,27,,w,2,ロビン・ハーセ,圭,2.0,156,3,201808トロント,×,15,0,Ad,0,1
76,28,Ac,c,1,ロビン・ハーセ,圭,2.0,192,3,201808トロント,○,15,15,Deuce,1,0
77,29,,w,1,ロビン・ハーセ,圭,2.0,188,3,201808トロント,○,30,15,Ad,1,0
78,30,,b,2,ロビン・ハーセ,圭,2.0,159,3,201808トロント,○,40,15,Deuce,1,0
79,46,,w,2,ロビン・ハーセ,馳,2.0,179,4,201808トロント,×,0,0,Deuce,0,1
80,47,,w,2,ロビン・ハーセ,馳,2.0,152,4,201808トロント,×,0,15,Ad,0,1
81,48,,w,2,ロビン・ハーセ,馳,2.0,176,4,201808トロント,○,0,30,Deuce,1,0
82,49,,w,2,ロビン・ハーセ,馳,2.0,163,4,201808トロント,○,15,30,Ad,1,0
83,50,Ac,c,1,ロビン・ハーセ,馳,2.0,,4,201808トロント,×,30,30,Deuce,0,1
84,51,,c,1,ロビン・ハーセ,馳,2.0,191,4,201808トロント,○,30,40,Ad,1,0
85,52,,w,1,ロビン・ハーセ,馳,2.0,180,4,201808トロント,×,40,40,Deuce,0,1
86,53,,w,1,ロビン・ハーセ,馳,2.0,200,4,201808トロント,○,40,Ad,Ad,1,0
87,89,,w,1,ロビン・ハーセ,圭,2.0,171,5,201808トロント,×,0,0,Deuce,0,1
88,90,,b,2,ロビン・ハーセ,圭,2.0,151,5,201808トロント,○,0,15,Ad,1,0
89,91,,w,1,ロビン・ハーセ,圭,2.0,161,5,201808トロント,○,15,15,Deuce,1,0
90,92,,c,1,ロビン・ハーセ,圭,2.0,185,5,201808トロント,×,30,15,Ad,0,1
91,93,,w,1,ロビン・ハーセ,圭,2.0,154,5,201808トロント,×,30,30,Deuce,0,1
92,94,,w,1,ロビン・ハーセ,圭,2.0,173,5,201808トロント,×,30,40,Ad,0,1
93,130,,c,2,ロビン・ハーセ,馳,2.0,169,6,201808トロント,○,0,0,Deuce,1,0
94,131,,w,1,ロビン・ハーセ,馳,2.0,203,6,201808トロント,×,15,0,Ad,0,1
95,132,Ac,c,1,ロビン・ハーセ,馳,2.0,203,6,201808トロント,×,15,15,Deuce,0,1
96,133,,c,1,ロビン・ハーセ,馳,2.0,204,6,201808トロント,○,15,30,Ad,1,0
97,134,,b,2,ロビン・ハーセ,馳,2.0,180,6,201808トロント,○,30,30,Deuce,1,0
98,135,,c,1,ロビン・ハーセ,馳,2.0,,6,201808トロント,×,40,30,Ad,0,1
99,136,,b,2,ロビン・ハーセ,馳,2.0,,6,201808トロント,○,40,40,Deuce,1,0
100,137,,w,1,ロビン・ハーセ,馳,2.0,200,6,201808トロント,×,Ad,40,Ad,0,1
101,139,,w,1,ロビン・ハーセ,馳,2.0,201,6,201808トロント,○,40,Ad,Ad,1,0
102,197,,b,2,ロビン・ハーセ,圭,2.0,152,7,201808トロント,×,0,0,Deuce,0,1
103,198,Ds,s,2,ロビン・ハーセ,圭,2.0,,7,201808トロント,×,0,15,Ad,0,1
104,199,,b,2,ロビン・ハーセ,圭,2.0,151,7,201808トロント,×,0,30,Deuce,0,1
105,200,,w,2,ロビン・ハーセ,圭,2.0,142,7,201808トロント,○,0,40,Ad,1,0
106,201,,b,2,ロビン・ハーセ,圭,2.0,156,7,201808トロント,×,15,40,Deuce,0,1
