,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,w,1,ディエゴ・シュワルツマン,朱,1.0,,1,201808全米オープン,×,0,0,Deuce,0,1
1,1,,c,1,ディエゴ・シュワルツマン,朱,1.0,107,1,201808全米オープン,×,0,15,Ad,0,1
2,2,,c,2,ディエゴ・シュワルツマン,朱,1.0,,1,201808全米オープン,×,0,30,Deuce,0,1
3,3,Im,c,2,ディエゴ・シュワルツマン,朱,1.0,178,1,201808全米オープン,×,0,40,Ad,0,1
4,4,,w,1,ディエゴ・シュワルツマン,朱,1.0,,1,201808全米オープン,×,,,Deuce,0,1
5,8,Aw,w,1,ディエゴ・シュワルツマン,圭,1.0,,2,201808全米オープン,○,0,0,Deuce,1,0
6,9,,w,1,ディエゴ・シュワルツマン,圭,1.0,113,2,201808全米オープン,○,15,0,Ad,1,0
7,10,,b,1,ディエゴ・シュワルツマン,圭,1.0,110,2,201808全米オープン,×,30,0,Deuce,0,1
8,11,,w,1,ディエゴ・シュワルツマン,圭,1.0,113,2,201808全米オープン,×,30,15,Ad,0,1
9,12,,w,1,ディエゴ・シュワルツマン,圭,1.0,,2,201808全米オープン,×,30,30,Deuce,0,1
10,13,,w,1,ディエゴ・シュワルツマン,圭,1.0,,2,201808全米オープン,×,30,40,Ad,0,1
11,24,Dn,n,2,ディエゴ・シュワルツマン,朱,1.0,,3,201808全米オープン,○,0,0,Deuce,1,0
12,25,,c,1,ディエゴ・シュワルツマン,朱,1.0,102,3,201808全米オープン,×,15,0,Ad,0,1
13,26,,b,1,ディエゴ・シュワルツマン,朱,1.0,100,3,201808全米オープン,×,15,15,Deuce,0,1
14,27,,c,1,ディエゴ・シュワルツマン,朱,1.0,101,3,201808全米オープン,×,15,30,Ad,0,1
15,28,,w,1,ディエゴ・シュワルツマン,朱,1.0,,3,201808全米オープン,×,15,40,Deuce,0,1
16,44,,c,2,ディエゴ・シュワルツマン,圭,1.0,,4,201808全米オープン,×,0,0,Deuce,0,1
17,45,,c,1,ディエゴ・シュワルツマン,圭,1.0,102,4,201808全米オープン,○,0,15,Ad,1,0
18,46,,v,2,ディエゴ・シュワルツマン,圭,1.0,,4,201808全米オープン,○,15,15,Deuce,1,0
19,47,,c,1,ディエゴ・シュワルツマン,圭,1.0,106,4,201808全米オープン,○,30,15,Ad,1,0
20,48,,w,1,ディエゴ・シュワルツマン,圭,1.0,,4,201808全米オープン,○,40,15,Deuce,1,0
21,69,,b,1,ディエゴ・シュワルツマン,朱,1.0,106,5,201808全米オープン,○,0,0,Deuce,1,0
22,70,,w,2,ディエゴ・シュワルツマン,朱,1.0,,5,201808全米オープン,×,15,0,Ad,0,1
23,71,,w,2,ディエゴ・シュワルツマン,朱,1.0,,5,201808全米オープン,○,15,15,Deuce,1,0
24,72,,c,1,ディエゴ・シュワルツマン,朱,1.0,109,5,201808全米オープン,×,30,15,Ad,0,1
25,73,,w,1,ディエゴ・シュワルツマン,朱,1.0,101,5,201808全米オープン,×,30,30,Deuce,0,1
26,74,,b,1,ディエゴ・シュワルツマン,朱,1.0,,5,201808全米オープン,○,30,40,Ad,1,0
27,75,,w,9,ディエゴ・シュワルツマン,朱,1.0,,5,201808全米オープン,○,40,40,Deuce,1,0
28,76,,c,1,ディエゴ・シュワルツマン,朱,1.0,,5,201808全米オープン,×,Ad,40,Ad,0,1
29,80,Im,w,1,ディエゴ・シュワルツマン,朱,1.0,209,5,201808全米オープン,×,40,Ad,Ad,0,1
30,113,,c,2,ディエゴ・シュワルツマン,圭,1.0,,6,201808全米オープン,○,0,0,Deuce,1,0
31,114,,w,1,ディエゴ・シュワルツマン,圭,1.0,107,6,201808全米オープン,○,15,0,Ad,1,0
32,115,,c,1,ディエゴ・シュワルツマン,圭,1.0,115,6,201808全米オープン,○,30,0,Deuce,1,0
33,116,,w,2,ディエゴ・シュワルツマン,圭,1.0,,6,201808全米オープン,○,40,0,Ad,1,0
34,153,,b,1,ディエゴ・シュワルツマン,朱,1.0,104,7,201808全米オープン,○,0,0,Deuce,1,0
35,154,,w,2,ディエゴ・シュワルツマン,朱,1.0,,7,201808全米オープン,○,15,0,Ad,1,0
36,155,,w,1,ディエゴ・シュワルツマン,朱,1.0,,7,201808全米オープン,×,30,0,Deuce,0,1
37,156,,w,1,ディエゴ・シュワルツマン,朱,1.0,,7,201808全米オープン,×,30,15,Ad,0,1
38,157,,w,2,ディエゴ・シュワルツマン,朱,1.0,,7,201808全米オープン,×,30,30,Deuce,0,1
39,158,,c,1,ディエゴ・シュワルツマン,朱,1.0,101,7,201808全米オープン,○,30,40,Ad,1,0
40,159,,c,2,ディエゴ・シュワルツマン,朱,1.0,,7,201808全米オープン,○,40,40,Deuce,1,0
41,160,,b,2,ディエゴ・シュワルツマン,朱,1.0,,7,201808全米オープン,○,Ad,40,Ad,1,0
42,205,,w,1,ディエゴ・シュワルツマン,圭,1.0,,8,201808全米オープン,×,0,0,Deuce,0,1
43,206,,w,1,ディエゴ・シュワルツマン,圭,1.0,110,8,201808全米オープン,×,0,15,Ad,0,1
44,207,,b,2,ディエゴ・シュワルツマン,圭,1.0,,8,201808全米オープン,○,0,30,Deuce,1,0
45,208,,c,1,ディエゴ・シュワルツマン,圭,1.0,111,8,201808全米オープン,×,15,30,Ad,0,1
46,209,,c,2,ディエゴ・シュワルツマン,圭,1.0,,8,201808全米オープン,○,15,40,Deuce,1,0
47,210,,c,1,ディエゴ・シュワルツマン,圭,1.0,112,8,201808全米オープン,○,30,40,Ad,1,0
48,211,,b,2,ディエゴ・シュワルツマン,圭,1.0,,8,201808全米オープン,○,40,40,Deuce,1,0
49,212,,w,1,ディエゴ・シュワルツマン,圭,1.0,108,8,201808全米オープン,○,Ad,40,Ad,1,0
50,265,,w,1,ディエゴ・シュワルツマン,朱,1.0,100,9,201808全米オープン,○,0,0,Deuce,1,0
51,266,,w,1,ディエゴ・シュワルツマン,朱,1.0,,9,201808全米オープン,×,15,0,Ad,0,1
52,267,,w,1,ディエゴ・シュワルツマン,朱,1.0,,9,201808全米オープン,○,15,15,Deuce,1,0
53,268,,c,2,ディエゴ・シュワルツマン,朱,1.0,,9,201808全米オープン,×,30,15,Ad,0,1
54,269,,c,2,ディエゴ・シュワルツマン,朱,1.0,,9,201808全米オープン,○,30,30,Deuce,1,0
55,270,,c,1,ディエゴ・シュワルツマン,朱,1.0,110,9,201808全米オープン,○,40,30,Ad,1,0
56,329,,c,2,ディエゴ・シュワルツマン,圭,1.0,,10,201808全米オープン,×,0,0,Deuce,0,1
57,330,,b,2,ディエゴ・シュワルツマン,圭,1.0,,10,201808全米オープン,○,0,15,Ad,1,0
58,331,,w,1,ディエゴ・シュワルツマン,圭,1.0,,10,201808全米オープン,×,15,15,Deuce,0,1
59,332,,c,1,ディエゴ・シュワルツマン,圭,1.0,110,10,201808全米オープン,○,15,30,Ad,1,0
60,333,,b,2,ディエゴ・シュワルツマン,圭,1.0,,10,201808全米オープン,×,30,30,Deuce,0,1
61,334,,w,1,ディエゴ・シュワルツマン,圭,1.0,116,10,201808全米オープン,○,30,40,Ad,1,0
62,335,,w,1,ディエゴ・シュワルツマン,圭,1.0,,10,201808全米オープン,○,40,40,Deuce,1,0
63,336,,w,1,ディエゴ・シュワルツマン,圭,1.0,116,10,201808全米オープン,○,Ad,40,Ad,1,0
64,0,,c,2,ディエゴ・シュワルツマン,朱,2.0,,1,201808全米オープン,×,0,0,Deuce,0,1
65,1,Dn,n,2,ディエゴ・シュワルツマン,朱,2.0,,1,201808全米オープン,○,0,15,Ad,1,0
66,2,,w,1,ディエゴ・シュワルツマン,朱,2.0,,1,201808全米オープン,○,15,15,Deuce,1,0
67,3,,w,1,ディエゴ・シュワルツマン,朱,2.0,109,1,201808全米オープン,×,30,15,Ad,0,1
68,4,,w,2,ディエゴ・シュワルツマン,朱,2.0,,1,201808全米オープン,×,30,30,Deuce,0,1
69,5,,c,1,ディエゴ・シュワルツマン,朱,2.0,105,1,201808全米オープン,○,30,40,Ad,1,0
70,6,,b,2,ディエゴ・シュワルツマン,朱,2.0,,1,201808全米オープン,○,40,40,Deuce,1,0
71,7,,c,1,ディエゴ・シュワルツマン,朱,2.0,107,1,201808全米オープン,×,Ad,40,Ad,0,1
72,9,Im,w,1,ディエゴ・シュワルツマン,朱,2.0,103,1,201808全米オープン,×,40,Ad,Ad,0,1
73,10,,c,2,ディエゴ・シュワルツマン,朱,2.0,,1,201808全米オープン,×,,,Deuce,0,1
74,20,,c,2,ディエゴ・シュワルツマン,圭,2.0,,2,201808全米オープン,○,0,0,Deuce,1,0
75,21,,w,2,ディエゴ・シュワルツマン,圭,2.0,,2,201808全米オープン,×,15,0,Ad,0,1
76,22,,w,1,ディエゴ・シュワルツマン,圭,2.0,,2,201808全米オープン,○,15,15,Deuce,1,0
77,23,Dn,n,2,ディエゴ・シュワルツマン,圭,2.0,,2,201808全米オープン,×,30,15,Ad,0,1
78,24,,w,1,ディエゴ・シュワルツマン,圭,2.0,,2,201808全米オープン,○,30,30,Deuce,1,0
79,25,,c,1,ディエゴ・シュワルツマン,圭,2.0,112,2,201808全米オープン,×,40,30,Ad,0,1
80,26,,c,1,ディエゴ・シュワルツマン,圭,2.0,110,2,201808全米オープン,○,40,40,Deuce,1,0
81,27,,w,1,ディエゴ・シュワルツマン,圭,2.0,112,2,201808全米オープン,×,Ad,40,Ad,0,1
82,50,,w,2,ディエゴ・シュワルツマン,朱,2.0,,3,201808全米オープン,×,0,0,Deuce,0,1
83,51,,w,2,ディエゴ・シュワルツマン,朱,2.0,,3,201808全米オープン,×,0,15,Ad,0,1
84,52,,w,2,ディエゴ・シュワルツマン,朱,2.0,,3,201808全米オープン,×,0,30,Deuce,0,1
85,53,Im,w,2,ディエゴ・シュワルツマン,朱,2.0,293,3,201808全米オープン,×,0,40,Ad,0,1
