,index,AceDbF,Cource,FirstSecond,OpponentPlayer,Server,Set,Speed,TotalGame,Tournament,WinLose,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,,b,1,バーナード・トミック,圭,1.0,114,1,201807ウィンブルドン,×,0,0,Deuce,0,1
1,1,Aw,w,1,バーナード・トミック,圭,1.0,115,1,201807ウィンブルドン,○,0,15,Ad,1,0
2,2,Ac,c,1,バーナード・トミック,圭,1.0,121,1,201807ウィンブルドン,○,15,15,Deuce,1,0
3,3,,b,2,バーナード・トミック,圭,1.0,,1,201807ウィンブルドン,○,30,15,Ad,1,0
4,4,,b,1,バーナード・トミック,圭,1.0,110,1,201807ウィンブルドン,×,40,15,Deuce,0,1
5,5,,w,2,バーナード・トミック,圭,1.0,,1,201807ウィンブルドン,×,40,30,Ad,0,1
6,6,,w,1,バーナード・トミック,圭,1.0,108,1,201807ウィンブルドン,×,40,40,Deuce,0,1
7,7,,b,1,バーナード・トミック,圭,1.0,114,1,201807ウィンブルドン,○,40,Ad,Ad,1,0
8,9,,w,1,バーナード・トミック,圭,1.0,118,1,201807ウィンブルドン,○,Ad,40,Ad,1,0
9,10,,b,1,バーナード・トミック,圭,1.0,114,1,201807ウィンブルドン,×,,,Deuce,0,1
10,20,,b,2,バーナード・トミック,富,1.0,,2,201807ウィンブルドン,×,0,0,Deuce,0,1
11,21,,b,2,バーナード・トミック,富,1.0,,2,201807ウィンブルドン,○,0,15,Ad,1,0
12,22,,w,1,バーナード・トミック,富,1.0,104,2,201807ウィンブルドン,○,15,15,Deuce,1,0
13,23,,w,1,バーナード・トミック,富,1.0,125,2,201807ウィンブルドン,×,30,15,Ad,0,1
14,24,,b,2,バーナード・トミック,富,1.0,,2,201807ウィンブルドン,○,30,30,Deuce,1,0
15,25,,w,1,バーナード・トミック,富,1.0,123,2,201807ウィンブルドン,×,40,30,Ad,0,1
16,26,,c,1,バーナード・トミック,富,1.0,125,2,201807ウィンブルドン,×,40,40,Deuce,0,1
17,27,,w,1,バーナード・トミック,富,1.0,123,2,201807ウィンブルドン,○,40,Ad,Ad,1,0
18,50,,w,1,バーナード・トミック,圭,1.0,103,3,201807ウィンブルドン,○,0,0,Deuce,1,0
19,51,,w,2,バーナード・トミック,圭,1.0,,3,201807ウィンブルドン,○,15,0,Ad,1,0
20,52,,c,2,バーナード・トミック,圭,1.0,,3,201807ウィンブルドン,○,30,0,Deuce,1,0
21,76,,w,2,バーナード・トミック,富,1.0,101,4,201807ウィンブルドン,○,0,0,Deuce,1,0
22,77,,c,1,バーナード・トミック,富,1.0,117,4,201807ウィンブルドン,×,15,0,Ad,0,1
23,78,,c,2,バーナード・トミック,富,1.0,,4,201807ウィンブルドン,×,15,15,Deuce,0,1
24,79,,w,2,バーナード・トミック,富,1.0,,4,201807ウィンブルドン,○,15,30,Ad,1,0
25,80,,w,1,バーナード・トミック,富,1.0,103,4,201807ウィンブルドン,×,30,30,Deuce,0,1
26,81,,w,2,バーナード・トミック,富,1.0,,4,201807ウィンブルドン,○,30,40,Ad,1,0
27,82,,w,1,バーナード・トミック,富,1.0,104,4,201807ウィンブルドン,×,40,40,Deuce,0,1
28,83,Aw,w,1,バーナード・トミック,富,1.0,124,4,201807ウィンブルドン,×,40,Ad,Ad,0,1
29,115,,c,1,バーナード・トミック,圭,1.0,115,5,201807ウィンブルドン,○,0,0,Deuce,1,0
30,116,Ds,s,2,バーナード・トミック,圭,1.0,,5,201807ウィンブルドン,×,15,0,Ad,0,1
31,117,,w,1,バーナード・トミック,圭,1.0,102,5,201807ウィンブルドン,×,15,15,Deuce,0,1
32,118,,w,2,バーナード・トミック,圭,1.0,,5,201807ウィンブルドン,○,15,30,Ad,1,0
33,119,,b,2,バーナード・トミック,圭,1.0,,5,201807ウィンブルドン,×,30,30,Deuce,0,1
34,120,,w,1,バーナード・トミック,圭,1.0,115,5,201807ウィンブルドン,×,30,40,Ad,0,1
35,158,,c,1,バーナード・トミック,富,1.0,126,6,201807ウィンブルドン,×,0,0,Deuce,0,1
36,159,,c,1,バーナード・トミック,富,1.0,112,6,201807ウィンブルドン,×,0,15,Ad,0,1
37,160,,w,1,バーナード・トミック,富,1.0,,6,201807ウィンブルドン,×,0,30,Deuce,0,1
38,161,Ac,c,1,バーナード・トミック,富,1.0,122,6,201807ウィンブルドン,×,0,40,Ad,0,1
39,203,,b,2,バーナード・トミック,圭,1.0,,7,201807ウィンブルドン,○,0,0,Deuce,1,0
40,204,,w,2,バーナード・トミック,圭,1.0,,7,201807ウィンブルドン,×,15,0,Ad,0,1
41,205,,b,1,バーナード・トミック,圭,1.0,114,7,201807ウィンブルドン,×,15,15,Deuce,0,1
42,206,,w,2,バーナード・トミック,圭,1.0,,7,201807ウィンブルドン,×,15,30,Ad,0,1
43,207,,b,2,バーナード・トミック,圭,1.0,,7,201807ウィンブルドン,×,15,40,Deuce,0,1
44,254,,w,2,バーナード・トミック,富,1.0,,8,201807ウィンブルドン,×,0,0,Deuce,0,1
45,255,,c,1,バーナード・トミック,富,1.0,129,8,201807ウィンブルドン,×,0,15,Ad,0,1
46,256,,w,2,バーナード・トミック,富,1.0,,8,201807ウィンブルドン,×,0,30,Deuce,0,1
47,257,,c,2,バーナード・トミック,富,1.0,114,8,201807ウィンブルドン,×,0,40,Ad,0,1
48,0,,b,1,バーナード・トミック,圭,2.0,110,1,201807ウィンブルドン,×,0,0,Deuce,0,1
49,1,,b,2,バーナード・トミック,圭,2.0,119,1,201807ウィンブルドン,○,0,15,Ad,1,0
50,2,,b,1,バーナード・トミック,圭,2.0,116,1,201807ウィンブルドン,○,15,15,Deuce,1,0
51,3,,b,1,バーナード・トミック,圭,2.0,115,1,201807ウィンブルドン,○,30,15,Ad,1,0
52,4,Ac,c,1,バーナード・トミック,圭,2.0,117,1,201807ウィンブルドン,○,40,15,Deuce,1,0
53,5,,b,1,バーナード・トミック,圭,2.0,110,1,201807ウィンブルドン,×,,,Ad,0,1
54,10,,c,1,バーナード・トミック,富,2.0,122,2,201807ウィンブルドン,○,0,0,Deuce,1,0
55,11,Ac,c,1,バーナード・トミック,富,2.0,114,2,201807ウィンブルドン,×,15,0,Ad,0,1
56,12,,b,2,バーナード・トミック,富,2.0,102,2,201807ウィンブルドン,○,15,15,Deuce,1,0
57,13,,b,2,バーナード・トミック,富,2.0,,2,201807ウィンブルドン,○,30,15,Ad,1,0
58,14,,w,2,バーナード・トミック,富,2.0,,2,201807ウィンブルドン,×,40,15,Deuce,0,1
59,15,,b,2,バーナード・トミック,富,2.0,,2,201807ウィンブルドン,×,40,30,Ad,0,1
60,16,Ab,b,1,バーナード・トミック,富,2.0,124,2,201807ウィンブルドン,×,40,40,Deuce,0,1
61,17,,w,1,バーナード・トミック,富,2.0,122,2,201807ウィンブルドン,×,40,Ad,Ad,0,1
62,31,,c,1,バーナード・トミック,圭,2.0,118,3,201807ウィンブルドン,○,0,0,Deuce,1,0
63,32,,w,1,バーナード・トミック,圭,2.0,106,3,201807ウィンブルドン,×,15,0,Ad,0,1
64,33,,c,2,バーナード・トミック,圭,2.0,,3,201807ウィンブルドン,○,15,15,Deuce,1,0
65,34,,w,2,バーナード・トミック,圭,2.0,,3,201807ウィンブルドン,○,30,15,Ad,1,0
66,35,Ac,c,1,バーナード・トミック,圭,2.0,156,3,201807ウィンブルドン,○,40,15,Deuce,1,0
67,54,,b,2,バーナード・トミック,富,2.0,100,4,201807ウィンブルドン,×,0,0,Deuce,0,1
68,55,,w,2,バーナード・トミック,富,2.0,,4,201807ウィンブルドン,○,0,15,Ad,1,0
69,56,,w,1,バーナード・トミック,富,2.0,105,4,201807ウィンブルドン,×,15,15,Deuce,0,1
70,57,,w,1,バーナード・トミック,富,2.0,126,4,201807ウィンブルドン,○,15,30,Ad,1,0
71,58,,w,1,バーナード・トミック,富,2.0,107,4,201807ウィンブルドン,×,30,30,Deuce,0,1
72,59,,b,2,バーナード・トミック,富,2.0,160,4,201807ウィンブルドン,×,30,40,Ad,0,1
73,84,,w,2,バーナード・トミック,圭,2.0,,5,201807ウィンブルドン,×,0,0,Deuce,0,1
74,85,,w,1,バーナード・トミック,圭,2.0,109,5,201807ウィンブルドン,×,0,15,Ad,0,1
75,86,,c,1,バーナード・トミック,圭,2.0,120,5,201807ウィンブルドン,○,0,30,Deuce,1,0
76,87,Aw,w,1,バーナード・トミック,圭,2.0,115,5,201807ウィンブルドン,○,15,30,Ad,1,0
77,88,,w,1,バーナード・トミック,圭,2.0,,5,201807ウィンブルドン,○,30,30,Deuce,1,0
78,89,,b,1,バーナード・トミック,圭,2.0,116,5,201807ウィンブルドン,○,40,30,Ad,1,0
79,120,,w,1,バーナード・トミック,富,2.0,106,6,201807ウィンブルドン,○,0,0,Deuce,1,0
80,121,,w,1,バーナード・トミック,富,2.0,123,6,201807ウィンブルドン,×,15,0,Ad,0,1
81,122,,b,2,バーナード・トミック,富,2.0,,6,201807ウィンブルドン,○,15,15,Deuce,1,0
82,123,,w,2,バーナード・トミック,富,2.0,,6,201807ウィンブルドン,×,30,15,Ad,0,1
83,124,,c,1,バーナード・トミック,富,2.0,125,6,201807ウィンブルドン,×,30,30,Deuce,0,1
84,125,Aw,w,1,バーナード・トミック,富,2.0,126,6,201807ウィンブルドン,×,30,40,Ad,0,1
85,162,,c,1,バーナード・トミック,圭,2.0,114,7,201807ウィンブルドン,×,0,0,Deuce,0,1
86,163,,c,2,バーナード・トミック,圭,2.0,,7,201807ウィンブルドン,○,0,15,Ad,1,0
87,164,,w,1,バーナード・トミック,圭,2.0,108,7,201807ウィンブルドン,○,15,15,Deuce,1,0
88,165,,c,1,バーナード・トミック,圭,2.0,104,7,201807ウィンブルドン,○,30,15,Ad,1,0
89,166,,w,1,バーナード・トミック,圭,2.0,,7,201807ウィンブルドン,×,40,15,Deuce,0,1
90,167,,b,2,バーナード・トミック,圭,2.0,,7,201807ウィンブルドン,×,40,30,Ad,0,1
91,168,,w,1,バーナード・トミック,圭,2.0,110,7,201807ウィンブルドン,○,40,40,Deuce,1,0
92,169,,w,2,バーナード・トミック,圭,2.0,,7,201807ウィンブルドン,×,Ad,40,Ad,0,1
93,218,,w,1,バーナード・トミック,富,2.0,110,8,201807ウィンブルドン,×,0,0,Deuce,0,1
94,219,,w,1,バーナード・トミック,富,2.0,123,8,201807ウィンブルドン,×,0,15,Ad,0,1
95,220,,b,2,バーナード・トミック,富,2.0,,8,201807ウィンブルドン,○,0,30,Deuce,1,0
96,221,,c,1,バーナード・トミック,富,2.0,114,8,201807ウィンブルドン,×,15,30,Ad,0,1
97,222,,b,2,バーナード・トミック,富,2.0,,8,201807ウィンブルドン,○,15,40,Deuce,1,0
98,223,,c,1,バーナード・トミック,富,2.0,115,8,201807ウィンブルドン,○,30,40,Ad,1,0
99,224,,w,2,バーナード・トミック,富,2.0,102,8,201807ウィンブルドン,○,40,40,Deuce,1,0
100,225,,w,1,バーナード・トミック,富,2.0,125,8,201807ウィンブルドン,○,Ad,40,Ad,1,0
101,280,,c,1,バーナード・トミック,圭,2.0,121,9,201807ウィンブルドン,○,0,0,Deuce,1,0
102,281,,w,2,バーナード・トミック,圭,2.0,,9,201807ウィンブルドン,○,15,0,Ad,1,0
103,282,,b,2,バーナード・トミック,圭,2.0,,9,201807ウィンブルドン,○,30,0,Deuce,1,0
104,283,Ac,c,1,バーナード・トミック,圭,2.0,,9,201807ウィンブルドン,○,40,0,Ad,1,0
105,0,,×,),バーナード・トミック,富,3.0,211,1,201807ウィンブルドン,○,0,0,Deuce,1,0
106,1,Qy,w,1,バーナード・トミック,富,3.0,,1,201807ウィンブルドン,×,15,0,Ad,0,1
107,2,,×,),バーナード・トミック,富,3.0,,1,201807ウィンブルドン,○,15,15,Deuce,1,0
108,3,,,,バーナード・トミック,富,3.0,,1,201807ウィンブルドン,×,30,15,Ad,0,1
109,4,,w,1,バーナード・トミック,圭,3.0,102,2,201807ウィンブルドン,○,0,0,Deuce,1,0
110,5,,w,1,バーナード・トミック,圭,3.0,109,2,201807ウィンブルドン,○,15,0,Ad,1,0
111,6,,w,1,バーナード・トミック,圭,3.0,102,2,201807ウィンブルドン,○,30,0,Deuce,1,0
112,12,,c,1,バーナード・トミック,富,3.0,123,3,201807ウィンブルドン,×,0,0,Deuce,0,1
