,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201901ブリスベン,グリゴール・ディミトロフ,1.0,1,戸,×,2,c,157,,0,0,Deuce,0,1
1,1,201901ブリスベン,グリゴール・ディミトロフ,1.0,1,戸,×,1,c,200,,0,15,Ad,0,1
2,2,201901ブリスベン,グリゴール・ディミトロフ,1.0,1,戸,×,1,w,181,,0,30,Deuce,0,1
3,3,201901ブリスベン,グリゴール・ディミトロフ,1.0,1,戸,×,1,w,188,,0,40,Ad,0,1
4,8,201901ブリスベン,グリゴール・ディミトロフ,1.0,2,圭,○,1,w,163,,0,0,Deuce,1,0
5,9,201901ブリスベン,グリゴール・ディミトロフ,1.0,2,圭,○,1,b,177,,15,0,Ad,1,0
6,10,201901ブリスベン,グリゴール・ディミトロフ,1.0,2,圭,○,2,b,150,,30,0,Deuce,1,0
7,11,201901ブリスベン,グリゴール・ディミトロフ,1.0,2,圭,○,1,w,188,,40,0,Ad,1,0
8,20,201901ブリスベン,グリゴール・ディミトロフ,1.0,3,戸,×,1,w,179,Aw,0,0,Deuce,0,1
9,21,201901ブリスベン,グリゴール・ディミトロフ,1.0,3,戸,×,1,w,194,,0,15,Ad,0,1
10,22,201901ブリスベン,グリゴール・ディミトロフ,1.0,3,戸,○,1,c,192,,0,30,Deuce,1,0
11,23,201901ブリスベン,グリゴール・ディミトロフ,1.0,3,戸,×,2,w,135,,15,30,Ad,0,1
12,24,201901ブリスベン,グリゴール・ディミトロフ,1.0,3,戸,×,1,c,219,Ac,15,40,Deuce,0,1
13,38,201901ブリスベン,グリゴール・ディミトロフ,1.0,4,圭,○,1,c,19,Ac,0,0,Deuce,1,0
14,39,201901ブリスベン,グリゴール・ディミトロフ,1.0,4,圭,×,2,o,,Do,15,0,Ad,0,1
15,40,201901ブリスベン,グリゴール・ディミトロフ,1.0,4,圭,○,1,b,176,,15,15,Deuce,1,0
16,41,201901ブリスベン,グリゴール・ディミトロフ,1.0,4,圭,×,1,w,169,,30,15,Ad,0,1
17,42,201901ブリスベン,グリゴール・ディミトロフ,1.0,4,圭,○,1,b,168,,30,30,Deuce,1,0
18,43,201901ブリスベン,グリゴール・ディミトロフ,1.0,4,圭,○,1,c,173,Ac,40,30,Ad,1,0
19,63,201901ブリスベン,グリゴール・ディミトロフ,1.0,5,戸,×,1,w,177,,0,0,Deuce,0,1
20,64,201901ブリスベン,グリゴール・ディミトロフ,1.0,5,戸,×,2,w,135,,0,15,Ad,0,1
21,65,201901ブリスベン,グリゴール・ディミトロフ,1.0,5,戸,×,1,c,207,Ac,0,30,Deuce,0,1
22,66,201901ブリスベン,グリゴール・ディミトロフ,1.0,5,戸,×,1,w,198,,0,40,Ad,0,1
23,90,201901ブリスベン,グリゴール・ディミトロフ,1.0,6,圭,○,1,w,158,,0,0,Deuce,1,0
24,91,201901ブリスベン,グリゴール・ディミトロフ,1.0,6,圭,○,1,c,169,Ac,15,0,Ad,1,0
25,92,201901ブリスベン,グリゴール・ディミトロフ,1.0,6,圭,○,2,c,140,,30,0,Deuce,1,0
26,93,201901ブリスベン,グリゴール・ディミトロフ,1.0,6,圭,○,1,b,179,,40,0,Ad,1,0
27,121,201901ブリスベン,グリゴール・ディミトロフ,1.0,7,戸,×,1,w,181,,0,0,Deuce,0,1
28,122,201901ブリスベン,グリゴール・ディミトロフ,1.0,7,戸,○,1,c,183,,0,15,Ad,1,0
29,123,201901ブリスベン,グリゴール・ディミトロフ,1.0,7,戸,×,1,w,182,,15,15,Deuce,0,1
30,124,201901ブリスベン,グリゴール・ディミトロフ,1.0,7,戸,×,1,w,194,,15,30,Ad,0,1
31,125,201901ブリスベン,グリゴール・ディミトロフ,1.0,7,戸,×,2,c,140,,15,40,Deuce,0,1
32,158,201901ブリスベン,グリゴール・ディミトロフ,1.0,8,圭,○,1,w,161,,0,0,Deuce,1,0
33,159,201901ブリスベン,グリゴール・ディミトロフ,1.0,8,圭,×,1,c,160,,15,0,Ad,0,1
34,160,201901ブリスベン,グリゴール・ディミトロフ,1.0,8,圭,○,1,w,155,,15,15,Deuce,1,0
35,161,201901ブリスベン,グリゴール・ディミトロフ,1.0,8,圭,○,2,w,139,,30,15,Ad,1,0
36,162,201901ブリスベン,グリゴール・ディミトロフ,1.0,8,圭,○,1,w,158,,40,15,Deuce,1,0
37,200,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,×,1,w,185,,0,0,Deuce,0,1
38,201,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,○,2,w,148,,0,15,Ad,1,0
39,202,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,×,2,b,144,,15,15,Deuce,0,1
40,203,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,×,2,w,121,,15,30,Ad,0,1
41,204,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,○,1,w,186,,15,40,Deuce,1,0
42,205,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,○,2,b,138,,30,40,Ad,1,0
43,206,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,×,1,w,185,Aw,40,40,Deuce,0,1
44,207,201901ブリスベン,グリゴール・ディミトロフ,1.0,9,戸,×,1,c,186,,40,Ad,Ad,0,1
45,253,201901ブリスベン,グリゴール・ディミトロフ,1.0,10,圭,×,1,c,176,,0,0,Deuce,0,1
46,254,201901ブリスベン,グリゴール・ディミトロフ,1.0,10,圭,○,2,w,145,,0,15,Ad,1,0
47,255,201901ブリスベン,グリゴール・ディミトロフ,1.0,10,圭,○,1,c,183,,15,15,Deuce,1,0
48,256,201901ブリスベン,グリゴール・ディミトロフ,1.0,10,圭,×,2,w,143,,30,15,Ad,0,1
49,257,201901ブリスベン,グリゴール・ディミトロフ,1.0,10,圭,○,1,w,171,,30,30,Deuce,1,0
50,258,201901ブリスベン,グリゴール・ディミトロフ,1.0,10,圭,○,2,w,131,,40,30,Ad,1,0
51,310,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,×,2,c,150,,0,0,Deuce,0,1
52,311,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,○,2,w,130,,0,15,Ad,1,0
53,312,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,○,2,n,,Dn,15,15,Deuce,1,0
54,313,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,○,1,c,183,,30,15,Ad,1,0
55,314,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,×,1,w,186,,40,15,Deuce,0,1
56,315,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,×,1,c,191,,40,30,Ad,0,1
57,316,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,×,1,w,173,,40,40,Deuce,0,1
58,317,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,○,1,w,192,,40,Ad,Ad,1,0
59,319,201901ブリスベン,グリゴール・ディミトロフ,1.0,11,戸,○,1,c,174,,Ad,40,Ad,1,0
60,381,201901ブリスベン,グリゴール・ディミトロフ,1.0,12,圭,○,2,c,149,,0,0,Deuce,1,0
61,382,201901ブリスベン,グリゴール・ディミトロフ,1.0,12,圭,×,1,c,174,,15,0,Ad,0,1
62,383,201901ブリスベン,グリゴール・ディミトロフ,1.0,12,圭,○,1,w,172,,15,15,Deuce,1,0
63,384,201901ブリスベン,グリゴール・ディミトロフ,1.0,12,圭,○,1,w,182,,30,15,Ad,1,0
64,385,201901ブリスベン,グリゴール・ディミトロフ,1.0,12,圭,○,1,b,183,,40,15,Deuce,1,0
