,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,1,圭,×,〇,,,,0,0,Deuce,0,1
1,1,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,1,圭,×,〇,〇,,,0,15,Ad,0,1
2,2,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,2,螺,×,〇,×,,,0,0,Deuce,0,1
3,3,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,2,螺,○,1,w,149,,0,15,Ad,1,0
4,4,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,2,螺,○,1,w,170,,15,15,Deuce,1,0
5,5,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,2,螺,×,1,c,183,,30,15,Ad,0,1
6,6,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,2,螺,×,1,c,173,,30,30,Deuce,0,1
7,13,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,3,圭,×,〇,〇,,,0,0,Deuce,0,1
8,21,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,4,螺,×,〇,×,,,0,0,Deuce,0,1
9,22,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,4,螺,×,1,c,,,0,15,Ad,0,1
10,32,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,5,圭,×,〇,×,,,0,0,Deuce,0,1
11,33,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,5,圭,×,1,c,183,,0,15,Ad,0,1
12,45,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,6,螺,○,1,w,,,0,0,Deuce,1,0
13,46,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,6,螺,○,2,c,133,,15,0,Ad,1,0
14,60,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,7,圭,×,〇,〇,,,0,0,Deuce,0,1
15,75,201903マイアミ,ドゥシャン・ラヨビッチ,1.0,8,螺,×,〇,×,,,0,0,Deuce,0,1
16,0,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,1,圭,×,〇,〇,,,0,0,Deuce,0,1
17,1,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,1,圭,×,〇,〇,,,0,15,Ad,0,1
18,2,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,2,螺,×,〇,×,,,0,0,Deuce,0,1
19,5,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,3,圭,×,〇,〇,,,0,0,Deuce,0,1
20,6,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,3,圭,×,1,b,172,,0,15,Ad,0,1
21,7,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,3,圭,×,1,w,,,0,30,Deuce,0,1
22,13,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,4,螺,×,〇,×,,,0,0,Deuce,0,1
23,20,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,5,圭,×,〇,×,,,0,0,Deuce,0,1
24,28,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,6,螺,×,〇,〇,,,0,0,Deuce,0,1
25,29,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,6,螺,×,1,b,178,,0,15,Ad,0,1
26,39,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,7,圭,×,〇,×,,,0,0,Deuce,0,1
27,40,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,7,圭,×,1,w,,,0,15,Ad,0,1
28,41,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,7,圭,×,2,c,144,,0,30,Deuce,0,1
29,54,201903マイアミ,ドゥシャン・ラヨビッチ,2.0,8,螺,×,〇,×,,,0,0,Deuce,0,1
30,0,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,1,圭,×,〇,〇,,,0,0,Deuce,0,1
31,1,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,1,圭,×,〇,〇,,,0,15,Ad,0,1
32,2,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,2,螺,×,1,b,,,0,0,Deuce,0,1
33,3,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,2,螺,×,2,c,138,,0,15,Ad,0,1
34,4,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,2,螺,×,1,c,,,0,30,Deuce,0,1
35,5,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,2,螺,×,2,w,133,,0,40,Ad,0,1
36,11,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,3,圭,×,〇,〇,,,0,0,Deuce,0,1
37,12,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,3,圭,×,1,b,167,,0,15,Ad,0,1
38,20,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,4,螺,×,〇,〇,,,0,0,Deuce,0,1
39,29,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,5,圭,×,〇,〇,,,0,0,Deuce,0,1
40,39,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,6,螺,×,〇,×,,,0,0,Deuce,0,1
41,40,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,6,螺,×,1,w,,,0,15,Ad,0,1
42,52,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,7,圭,×,〇,×,,,0,0,Deuce,0,1
43,65,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,8,螺,×,〇,×,,,0,0,Deuce,0,1
44,79,201903マイアミ,ドゥシャン・ラヨビッチ,3.0,9,圭,×,〇,〇,,,0,0,Deuce,0,1
