,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201904バルセロナ,ダニール・メドベージェフ,1.0,1,芽,○,1,w,,,0,0,Deuce,1,0
1,1,201904バルセロナ,ダニール・メドベージェフ,1.0,1,芽,○,2,c,137,,15,0,Ad,1,0
2,2,201904バルセロナ,ダニール・メドベージェフ,1.0,1,芽,○,1,w,169,,30,0,Deuce,1,0
3,3,201904バルセロナ,ダニール・メドベージェフ,1.0,1,芽,×,1,w,169,,40,0,Ad,0,1
4,4,201904バルセロナ,ダニール・メドベージェフ,1.0,1,芽,○,1,w,,,40,15,Deuce,1,0
5,10,201904バルセロナ,ダニール・メドベージェフ,1.0,2,芽,×,1,w,166,,0,0,Deuce,0,1
6,11,201904バルセロナ,ダニール・メドベージェフ,1.0,2,芽,○,1,w,,,0,15,Ad,1,0
7,12,201904バルセロナ,ダニール・メドベージェフ,1.0,2,芽,×,2,w,136,,15,15,Deuce,0,1
8,13,201904バルセロナ,ダニール・メドベージェフ,1.0,2,芽,×,1,w,,,15,30,Ad,0,1
9,14,201904バルセロナ,ダニール・メドベージェフ,1.0,2,芽,○,2,c,137,,15,40,Deuce,1,0
10,15,201904バルセロナ,ダニール・メドベージェフ,1.0,2,芽,×,1,w,,,30,40,Ad,0,1
11,27,201904バルセロナ,ダニール・メドベージェフ,1.0,3,圭,○,1,c,,,0,0,Deuce,1,0
12,28,201904バルセロナ,ダニール・メドベージェフ,1.0,3,圭,○,2,c,140,,15,0,Ad,1,0
13,29,201904バルセロナ,ダニール・メドベージェフ,1.0,3,圭,○,1,w,160,,30,0,Deuce,1,0
14,30,201904バルセロナ,ダニール・メドベージェフ,1.0,3,圭,×,1,c,185,,40,0,Ad,0,1
15,31,201904バルセロナ,ダニール・メドベージェフ,1.0,3,圭,○,1,c,179,,40,15,Deuce,1,0
16,48,201904バルセロナ,ダニール・メドベージェフ,1.0,4,芽,○,1,c,192,,0,0,Deuce,1,0
17,49,201904バルセロナ,ダニール・メドベージェフ,1.0,4,芽,×,1,w,,,15,0,Ad,0,1
18,50,201904バルセロナ,ダニール・メドベージェフ,1.0,4,芽,×,2,w,134,,15,15,Deuce,0,1
19,51,201904バルセロナ,ダニール・メドベージェフ,1.0,4,芽,×,1,c,,,15,30,Ad,0,1
20,52,201904バルセロナ,ダニール・メドベージェフ,1.0,4,芽,×,2,c,148,,15,40,Deuce,0,1
21,74,201904バルセロナ,ダニール・メドベージェフ,1.0,5,圭,×,1,c,174,,0,0,Deuce,0,1
22,75,201904バルセロナ,ダニール・メドベージェフ,1.0,5,圭,○,1,w,,,0,15,Ad,1,0
23,76,201904バルセロナ,ダニール・メドベージェフ,1.0,5,圭,×,2,w,116,,15,15,Deuce,0,1
24,77,201904バルセロナ,ダニール・メドベージェフ,1.0,5,圭,×,1,b,,,15,30,Ad,0,1
25,78,201904バルセロナ,ダニール・メドベージェフ,1.0,5,圭,×,2,c,144,,15,40,Deuce,0,1
26,105,201904バルセロナ,ダニール・メドベージェフ,1.0,6,芽,×,1,c,188,,0,0,Deuce,0,1
27,106,201904バルセロナ,ダニール・メドベージェフ,1.0,6,芽,×,1,c,180,,0,15,Ad,0,1
28,107,201904バルセロナ,ダニール・メドベージェフ,1.0,6,芽,×,1,w,166,,0,30,Deuce,0,1
29,108,201904バルセロナ,ダニール・メドベージェフ,1.0,6,芽,×,1,w,178,,0,40,Ad,0,1
30,139,201904バルセロナ,ダニール・メドベージェフ,1.0,7,圭,○,1,w,,,0,0,Deuce,1,0
31,140,201904バルセロナ,ダニール・メドベージェフ,1.0,7,圭,○,2,c,146,,15,0,Ad,1,0
32,141,201904バルセロナ,ダニール・メドベージェフ,1.0,7,圭,×,1,w,173,,30,0,Deuce,0,1
33,142,201904バルセロナ,ダニール・メドベージェフ,1.0,7,圭,○,1,c,,,30,15,Ad,1,0
34,143,201904バルセロナ,ダニール・メドベージェフ,1.0,7,圭,○,2,c,147,,40,15,Deuce,1,0
35,179,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,○,1,c,193,,0,0,Deuce,1,0
36,180,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,×,1,w,,,15,0,Ad,0,1
37,181,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,×,2,w,134,,15,15,Deuce,0,1
38,182,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,×,1,c,,,15,30,Ad,0,1
39,183,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,○,2,c,139,,15,40,Deuce,1,0
40,184,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,○,1,w,148,,30,40,Ad,1,0
41,185,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,×,1,b,194,,40,40,Deuce,0,1
42,186,201904バルセロナ,ダニール・メドベージェフ,1.0,8,芽,×,1,c,187,,40,Ad,Ad,0,1
43,230,201904バルセロナ,ダニール・メドベージェフ,1.0,9,圭,×,1,c,,,0,0,Deuce,0,1
44,231,201904バルセロナ,ダニール・メドベージェフ,1.0,9,圭,○,2,c,139,,0,15,Ad,1,0
45,232,201904バルセロナ,ダニール・メドベージェフ,1.0,9,圭,○,1,w,152,,15,15,Deuce,1,0
46,233,201904バルセロナ,ダニール・メドベージェフ,1.0,9,圭,○,1,w,155,,30,15,Ad,1,0
47,234,201904バルセロナ,ダニール・メドベージェフ,1.0,9,圭,○,1,w,150,,40,15,Deuce,1,0
48,283,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,×,1,c,,,0,0,Deuce,0,1
49,284,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,○,2,c,136,,0,15,Ad,1,0
50,285,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,○,1,c,187,,15,15,Deuce,1,0
51,286,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,×,1,w,,,30,15,Ad,0,1
52,287,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,○,2,c,134,,30,30,Deuce,1,0
53,288,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,×,1,c,,,40,30,Ad,0,1
54,289,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,×,2,w,134,,40,40,Deuce,0,1
55,290,201904バルセロナ,ダニール・メドベージェフ,1.0,10,芽,×,1,w,,,40,Ad,Ad,0,1
56,0,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,×,1,w,157,,0,0,Deuce,0,1
57,1,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,×,1,w,,,0,15,Ad,0,1
58,2,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,○,2,w,117,,0,30,Deuce,1,0
59,3,201904バルセロナ,ダニール・メドベージェフ,2.0,1,圭,○,1,c,,,15,30,Ad,1,0
