,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201907ウィンブルドン,キャメロン・ノリー,1.0,1,糊,×,1,c,177,,0,0,Deuce,0,1
1,1,201907ウィンブルドン,キャメロン・ノリー,1.0,1,糊,○,1,w,173,,0,15,Ad,1,0
2,2,201907ウィンブルドン,キャメロン・ノリー,1.0,1,糊,×,1,w,193,,15,15,Deuce,0,1
3,3,201907ウィンブルドン,キャメロン・ノリー,1.0,1,糊,○,1,b,,,15,30,Ad,1,0
4,4,201907ウィンブルドン,キャメロン・ノリー,1.0,1,糊,×,2,c,,Dc,30,30,Deuce,0,1
5,5,201907ウィンブルドン,キャメロン・ノリー,1.0,1,糊,×,1,w,194,,30,40,Ad,0,1
6,12,201907ウィンブルドン,キャメロン・ノリー,1.0,2,圭,○,1,c,188,,0,0,Deuce,1,0
7,13,201907ウィンブルドン,キャメロン・ノリー,1.0,2,圭,○,1,c,189,,15,0,Ad,1,0
8,14,201907ウィンブルドン,キャメロン・ノリー,1.0,2,圭,○,1,w,172,,30,0,Deuce,1,0
9,24,201907ウィンブルドン,キャメロン・ノリー,1.0,3,糊,○,1,b,,,0,0,Deuce,1,0
10,25,201907ウィンブルドン,キャメロン・ノリー,1.0,3,糊,×,2,c,149,,15,0,Ad,0,1
11,26,201907ウィンブルドン,キャメロン・ノリー,1.0,3,糊,○,1,c,191,Ac,15,15,Deuce,1,0
12,27,201907ウィンブルドン,キャメロン・ノリー,1.0,3,糊,×,1,c,165,,30,15,Ad,0,1
13,28,201907ウィンブルドン,キャメロン・ノリー,1.0,3,糊,×,1,w,157,,30,30,Deuce,0,1
14,29,201907ウィンブルドン,キャメロン・ノリー,1.0,3,糊,×,1,b,189,,30,40,Ad,0,1
15,45,201907ウィンブルドン,キャメロン・ノリー,1.0,4,圭,○,1,b,180,,0,0,Deuce,1,0
16,46,201907ウィンブルドン,キャメロン・ノリー,1.0,4,圭,○,1,w,180,,15,0,Ad,1,0
17,47,201907ウィンブルドン,キャメロン・ノリー,1.0,4,圭,○,1,b,,,30,0,Deuce,1,0
18,48,201907ウィンブルドン,キャメロン・ノリー,1.0,4,圭,○,2,c,146,,40,0,Ad,1,0
19,68,201907ウィンブルドン,キャメロン・ノリー,1.0,5,糊,×,1,c,177,,0,0,Deuce,0,1
20,69,201907ウィンブルドン,キャメロン・ノリー,1.0,5,糊,×,1,w,,,0,15,Ad,0,1
21,70,201907ウィンブルドン,キャメロン・ノリー,1.0,5,糊,○,2,b,149,,0,30,Deuce,1,0
22,71,201907ウィンブルドン,キャメロン・ノリー,1.0,5,糊,×,1,w,181,,15,30,Ad,0,1
23,72,201907ウィンブルドン,キャメロン・ノリー,1.0,5,糊,○,1,c,,,15,40,Deuce,1,0
24,73,201907ウィンブルドン,キャメロン・ノリー,1.0,5,糊,×,2,c,143,,30,40,Ad,0,1
25,99,201907ウィンブルドン,キャメロン・ノリー,1.0,6,圭,×,1,b,,,0,0,Deuce,0,1
26,100,201907ウィンブルドン,キャメロン・ノリー,1.0,6,圭,×,2,w,156,,0,15,Ad,0,1
27,101,201907ウィンブルドン,キャメロン・ノリー,1.0,6,圭,○,1,c,183,,0,30,Deuce,1,0
28,102,201907ウィンブルドン,キャメロン・ノリー,1.0,6,圭,×,1,w,157,,15,30,Ad,0,1
29,103,201907ウィンブルドン,キャメロン・ノリー,1.0,6,圭,×,1,w,173,,15,40,Deuce,0,1
30,134,201907ウィンブルドン,キャメロン・ノリー,1.0,7,糊,○,1,c,172,,0,0,Deuce,1,0
