,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201908シンシナティ,西岡良仁,1.0,1,圭,○,1,w,165,,0,0,Deuce,1,0
1,1,201908シンシナティ,西岡良仁,1.0,1,圭,×,1,w,,,15,0,Ad,0,1
2,2,201908シンシナティ,西岡良仁,1.0,1,圭,○,2,b,149,,15,15,Deuce,1,0
3,3,201908シンシナティ,西岡良仁,1.0,1,圭,○,1,w,,,30,15,Ad,1,0
4,4,201908シンシナティ,西岡良仁,1.0,1,圭,○,2,b,144,,40,15,Deuce,1,0
5,10,201908シンシナティ,西岡良仁,1.0,2,良,×,1,w,172,,0,0,Deuce,0,1
6,11,201908シンシナティ,西岡良仁,1.0,2,良,○,1,w,,,0,15,Ad,1,0
7,12,201908シンシナティ,西岡良仁,1.0,2,良,×,2,b,130,,15,15,Deuce,0,1
8,13,201908シンシナティ,西岡良仁,1.0,2,良,○,1,w,,,15,30,Ad,1,0
9,14,201908シンシナティ,西岡良仁,1.0,2,良,×,2,b,130,,30,30,Deuce,0,1
10,15,201908シンシナティ,西岡良仁,1.0,2,良,×,1,w,154,,30,40,Ad,0,1
11,27,201908シンシナティ,西岡良仁,1.0,3,圭,○,1,c,191,,0,0,Deuce,1,0
12,28,201908シンシナティ,西岡良仁,1.0,3,圭,×,1,c,178,,15,0,Ad,0,1
13,29,201908シンシナティ,西岡良仁,1.0,3,圭,×,1,c,,,15,15,Deuce,0,1
14,30,201908シンシナティ,西岡良仁,1.0,3,圭,×,1,w,,,15,30,Ad,0,1
15,31,201908シンシナティ,西岡良仁,1.0,3,圭,○,2,d,,,15,40,Deuce,1,0
16,32,201908シンシナティ,西岡良仁,1.0,3,圭,×,1,w,,,30,40,Ad,0,1
17,50,201908シンシナティ,西岡良仁,1.0,4,良,×,1,c,168,,0,0,Deuce,0,1
18,51,201908シンシナティ,西岡良仁,1.0,4,良,×,1,c,,,0,15,Ad,0,1
19,52,201908シンシナティ,西岡良仁,1.0,4,良,×,2,c,128,,0,30,Deuce,0,1
20,53,201908シンシナティ,西岡良仁,1.0,4,良,×,1,c,164,,0,40,Ad,0,1
21,75,201908シンシナティ,西岡良仁,1.0,5,圭,○,1,w,151,,0,0,Deuce,1,0
22,76,201908シンシナティ,西岡良仁,1.0,5,圭,○,1,c,167,,15,0,Ad,1,0
23,77,201908シンシナティ,西岡良仁,1.0,5,圭,○,1,b,170,,30,0,Deuce,1,0
24,78,201908シンシナティ,西岡良仁,1.0,5,圭,×,1,w,,,40,0,Ad,0,1
25,79,201908シンシナティ,西岡良仁,1.0,5,圭,×,2,w,146,,40,15,Deuce,0,1
26,80,201908シンシナティ,西岡良仁,1.0,5,圭,○,1,c,,,40,30,Ad,1,0
27,108,201908シンシナティ,西岡良仁,1.0,6,良,○,1,w,173,,0,0,Deuce,1,0
28,109,201908シンシナティ,西岡良仁,1.0,6,良,×,1,w,135,,15,0,Ad,0,1
29,110,201908シンシナティ,西岡良仁,1.0,6,良,○,1,w,,,15,15,Deuce,1,0
30,111,201908シンシナティ,西岡良仁,1.0,6,良,×,2,c,123,,30,15,Ad,0,1
31,112,201908シンシナティ,西岡良仁,1.0,6,良,×,1,c,,,30,30,Deuce,0,1
32,113,201908シンシナティ,西岡良仁,1.0,6,良,×,2,b,136,,30,40,Ad,0,1
33,147,201908シンシナティ,西岡良仁,1.0,7,圭,○,1,c,185,,0,0,Deuce,1,0
34,148,201908シンシナティ,西岡良仁,1.0,7,圭,○,1,b,170,,15,0,Ad,1,0
35,149,201908シンシナティ,西岡良仁,1.0,7,圭,○,1,w,,,30,0,Deuce,1,0
36,150,201908シンシナティ,西岡良仁,1.0,7,圭,○,2,w,154,,40,0,Ad,1,0
37,188,201908シンシナティ,西岡良仁,1.0,8,良,○,1,c,173,,0,0,Deuce,1,0
38,189,201908シンシナティ,西岡良仁,1.0,8,良,×,1,w,149,,15,0,Ad,0,1
39,190,201908シンシナティ,西岡良仁,1.0,8,良,×,1,c,165,,15,15,Deuce,0,1
40,191,201908シンシナティ,西岡良仁,1.0,8,良,×,1,c,197,Ac,15,30,Ad,0,1
41,192,201908シンシナティ,西岡良仁,1.0,8,良,○,1,w,183,,15,40,Deuce,1,0
42,193,201908シンシナティ,西岡良仁,1.0,8,良,○,1,c,,,30,40,Ad,1,0
43,194,201908シンシナティ,西岡良仁,1.0,8,良,×,2,w,136,,40,40,Deuce,0,1
44,195,201908シンシナティ,西岡良仁,1.0,8,良,×,1,c,168,,40,Ad,Ad,0,1
45,241,201908シンシナティ,西岡良仁,1.0,9,圭,○,1,c,,,0,0,Deuce,1,0
46,242,201908シンシナティ,西岡良仁,1.0,9,圭,○,2,w,149,,15,0,Ad,1,0
47,243,201908シンシナティ,西岡良仁,1.0,9,圭,○,1,b,168,,30,0,Deuce,1,0
48,244,201908シンシナティ,西岡良仁,1.0,9,圭,×,1,c,178,,40,0,Ad,0,1
49,245,201908シンシナティ,西岡良仁,1.0,9,圭,○,1,b,180,,40,15,Deuce,1,0
50,296,201908シンシナティ,西岡良仁,1.0,10,良,×,1,c,165,,0,0,Deuce,0,1
51,297,201908シンシナティ,西岡良仁,1.0,10,良,○,1,w,,,0,15,Ad,1,0
52,298,201908シンシナティ,西岡良仁,1.0,10,良,○,2,w,135,,15,15,Deuce,1,0
53,299,201908シンシナティ,西岡良仁,1.0,10,良,×,1,w,,,30,15,Ad,0,1
54,300,201908シンシナティ,西岡良仁,1.0,10,良,○,2,b,125,,30,30,Deuce,1,0
55,301,201908シンシナティ,西岡良仁,1.0,10,良,○,1,c,173,,40,30,Ad,1,0
56,358,201908シンシナティ,西岡良仁,1.0,11,圭,×,1,c,,,0,0,Deuce,0,1
57,359,201908シンシナティ,西岡良仁,1.0,11,圭,×,2,c,151,,0,15,Ad,0,1
58,360,201908シンシナティ,西岡良仁,1.0,11,圭,○,1,w,173,,0,30,Deuce,1,0
59,361,201908シンシナティ,西岡良仁,1.0,11,圭,×,1,c,186,,15,30,Ad,0,1
60,362,201908シンシナティ,西岡良仁,1.0,11,圭,○,1,w,180,,15,40,Deuce,1,0
61,363,201908シンシナティ,西岡良仁,1.0,11,圭,○,1,w,154,,30,40,Ad,1,0
62,364,201908シンシナティ,西岡良仁,1.0,11,圭,×,1,c,,,40,40,Deuce,0,1
63,365,201908シンシナティ,西岡良仁,1.0,11,圭,○,2,b,136,,40,Ad,Ad,1,0
64,367,201908シンシナティ,西岡良仁,1.0,11,圭,○,1,c,,,Ad,40,Ad,1,0
65,434,201908シンシナティ,西岡良仁,1.0,12,良,×,1,w,173,,0,0,Deuce,0,1
66,435,201908シンシナティ,西岡良仁,1.0,12,良,○,1,w,149,,0,15,Ad,1,0
67,436,201908シンシナティ,西岡良仁,1.0,12,良,×,1,c,157,,15,15,Deuce,0,1
68,437,201908シンシナティ,西岡良仁,1.0,12,良,×,1,w,,,15,30,Ad,0,1
69,438,201908シンシナティ,西岡良仁,1.0,12,良,×,2,w,138,,15,40,Deuce,0,1
70,0,201908シンシナティ,西岡良仁,1.0,13,圭,×,1,w,,,0,0,Deuce,0,1
71,1,201908シンシナティ,西岡良仁,1.0,13,良,×,1,b,193,,0,1,Ad,0,1
72,2,201908シンシナティ,西岡良仁,1.0,13,良,×,1,c,162,,0,2,Deuce,0,1
73,3,201908シンシナティ,西岡良仁,1.0,13,圭,×,1,c,,,0,3,Ad,0,1
74,4,201908シンシナティ,西岡良仁,1.0,13,圭,×,2,b,,,0,4,Deuce,0,1
75,5,201908シンシナティ,西岡良仁,1.0,13,良,×,1,c,,,0,5,Ad,0,1
76,6,201908シンシナティ,西岡良仁,1.0,13,良,○,2,w,,,0,6,Deuce,1,0
77,7,201908シンシナティ,西岡良仁,1.0,13,圭,○,1,w,,,1,6,Ad,1,0
78,8,201908シンシナティ,西岡良仁,1.0,13,圭,×,1,w,,,2,6,Deuce,0,1
79,0,201908シンシナティ,西岡良仁,2.0,1,良,×,1,c,164,,0,0,Deuce,0,1
80,1,201908シンシナティ,西岡良仁,2.0,1,良,×,1,c,193,,0,15,Ad,0,1
81,2,201908シンシナティ,西岡良仁,2.0,1,良,×,1,c,157,,0,30,Deuce,0,1
82,3,201908シンシナティ,西岡良仁,2.0,1,良,×,1,w,146,,0,40,Ad,0,1
83,8,201908シンシナティ,西岡良仁,2.0,2,圭,○,1,c,,,0,0,Deuce,1,0
84,9,201908シンシナティ,西岡良仁,2.0,2,圭,○,2,w,148,,15,0,Ad,1,0
85,10,201908シンシナティ,西岡良仁,2.0,2,圭,○,1,c,164,,30,0,Deuce,1,0
86,11,201908シンシナティ,西岡良仁,2.0,2,圭,○,1,w,151,,40,0,Ad,1,0
87,20,201908シンシナティ,西岡良仁,2.0,3,良,×,1,w,170,,0,0,Deuce,0,1
88,21,201908シンシナティ,西岡良仁,2.0,3,良,×,1,c,,,0,15,Ad,0,1
89,22,201908シンシナティ,西岡良仁,2.0,3,良,×,2,b,128,,0,30,Deuce,0,1
90,23,201908シンシナティ,西岡良仁,2.0,3,良,×,1,w,,,0,40,Ad,0,1
91,36,201908シンシナティ,西岡良仁,2.0,4,圭,○,1,w,148,,0,0,Deuce,1,0
92,37,201908シンシナティ,西岡良仁,2.0,4,圭,○,1,w,,,15,0,Ad,1,0
93,38,201908シンシナティ,西岡良仁,2.0,4,圭,○,2,w,136,,30,0,Deuce,1,0
94,39,201908シンシナティ,西岡良仁,2.0,4,圭,×,1,w,148,,40,0,Ad,0,1
95,40,201908シンシナティ,西岡良仁,2.0,4,圭,×,1,w,,,40,15,Deuce,0,1
96,41,201908シンシナティ,西岡良仁,2.0,4,圭,×,2,w,130,,40,30,Ad,0,1
97,42,201908シンシナティ,西岡良仁,2.0,4,圭,○,1,c,,,40,40,Deuce,1,0
98,43,201908シンシナティ,西岡良仁,2.0,4,圭,×,2,b,157,,Ad,40,Ad,0,1
99,47,201908シンシナティ,西岡良仁,2.0,4,圭,○,2,b,144,,40,Ad,Ad,1,0
100,76,201908シンシナティ,西岡良仁,2.0,5,良,×,1,c,112,,0,0,Deuce,0,1
101,77,201908シンシナティ,西岡良仁,2.0,5,良,×,1,c,183,Ac,0,15,Ad,0,1
102,78,201908シンシナティ,西岡良仁,2.0,5,良,×,1,c,157,,0,30,Deuce,0,1
103,79,201908シンシナティ,西岡良仁,2.0,5,良,○,1,b,,,0,40,Ad,1,0
104,80,201908シンシナティ,西岡良仁,2.0,5,良,○,2,w,127,,15,40,Deuce,1,0
105,81,201908シンシナティ,西岡良仁,2.0,5,良,○,1,w,,,30,40,Ad,1,0
106,82,201908シンシナティ,西岡良仁,2.0,5,良,○,2,c,122,,40,40,Deuce,1,0
107,83,201908シンシナティ,西岡良仁,2.0,5,良,×,1,w,156,,Ad,40,Ad,0,1
108,85,201908シンシナティ,西岡良仁,2.0,5,良,×,2,c,122,,40,Ad,Ad,0,1
