,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,×,1,w,177,,0,0,Deuce,0,1
1,1,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,○,1,b,,,0,15,Ad,1,0
2,2,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,×,2,w,149,,15,15,Deuce,0,1
3,3,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,○,1,w,192,,15,30,Ad,1,0
4,4,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,×,1,c,,,30,30,Deuce,0,1
5,5,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,○,2,c,172,,30,40,Ad,1,0
6,6,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,○,1,c,205,,40,40,Deuce,1,0
7,7,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,×,1,w,185,,Ad,40,Ad,0,1
8,9,202009ハンブルク,クリスチャン・ガリン,1.0,1,狩,×,1,w,188,,40,Ad,Ad,0,1
9,10,202009ハンブルク,クリスチャン・ガリン,1.0,2,圭,×,1,c,,,0,0,Deuce,0,1
10,11,202009ハンブルク,クリスチャン・ガリン,1.0,2,圭,×,2,c,145,,0,15,Ad,0,1
11,12,202009ハンブルク,クリスチャン・ガリン,1.0,2,圭,○,1,w,,,0,30,Deuce,1,0
12,13,202009ハンブルク,クリスチャン・ガリン,1.0,2,圭,○,2,w,135,,15,30,Ad,1,0
13,14,202009ハンブルク,クリスチャン・ガリン,1.0,2,圭,×,1,w,159,,30,30,Deuce,0,1
14,15,202009ハンブルク,クリスチャン・ガリン,1.0,2,圭,×,1,w,173,,30,40,Ad,0,1
15,21,202009ハンブルク,クリスチャン・ガリン,1.0,6,圭,×,1,c,171,,0,0,Deuce,0,1
16,22,202009ハンブルク,クリスチャン・ガリン,1.0,6,圭,○,1,w,171,,0,15,Ad,1,0
17,23,202009ハンブルク,クリスチャン・ガリン,1.0,6,圭,×,1,w,159,,15,15,Deuce,0,1
18,24,202009ハンブルク,クリスチャン・ガリン,1.0,6,圭,×,1,b,179,,15,30,Ad,0,1
19,25,202009ハンブルク,クリスチャン・ガリン,1.0,6,圭,○,1,c,181,,15,40,Deuce,1,0
20,26,202009ハンブルク,クリスチャン・ガリン,1.0,6,圭,×,1,w,138,,30,40,Ad,0,1
21,0,202009ハンブルク,クリスチャン・ガリン,2.0,1,狩,○,1,w,176,,0,0,Deuce,1,0
22,1,202009ハンブルク,クリスチャン・ガリン,2.0,1,狩,×,1,w,,,15,0,Ad,0,1
23,2,202009ハンブルク,クリスチャン・ガリン,2.0,1,狩,×,2,w,144,,15,15,Deuce,0,1
24,3,202009ハンブルク,クリスチャン・ガリン,2.0,1,狩,×,1,c,197,,15,30,Ad,0,1
25,4,202009ハンブルク,クリスチャン・ガリン,2.0,1,狩,×,1,w,192,,15,40,Deuce,0,1
26,5,202009ハンブルク,クリスチャン・ガリン,2.0,2,圭,○,1,w,157,,0,0,Deuce,1,0
27,6,202009ハンブルク,クリスチャン・ガリン,2.0,2,圭,○,1,c,,,15,0,Ad,1,0
28,7,202009ハンブルク,クリスチャン・ガリン,2.0,2,圭,○,2,w,131,,30,0,Deuce,1,0
29,8,202009ハンブルク,クリスチャン・ガリン,2.0,2,圭,×,1,w,160,,40,0,Ad,0,1
30,9,202009ハンブルク,クリスチャン・ガリン,2.0,2,圭,○,1,c,,,40,15,Deuce,1,0
31,10,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,○,1,c,,,0,0,Deuce,1,0
32,11,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,○,2,w,159,,15,0,Ad,1,0
33,12,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,×,1,w,,,30,0,Deuce,0,1
34,13,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,×,2,b,146,,30,15,Ad,0,1
35,14,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,×,1,c,,,30,30,Deuce,0,1
36,15,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,○,2,c,150,,30,40,Ad,1,0
37,16,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,×,1,w,,,40,40,Deuce,0,1
38,17,202009ハンブルク,クリスチャン・ガリン,2.0,3,狩,×,2,c,178,,40,Ad,Ad,0,1
39,18,202009ハンブルク,クリスチャン・ガリン,2.0,4,圭,○,1,c,183,,0,0,Deuce,1,0
40,19,202009ハンブルク,クリスチャン・ガリン,2.0,4,圭,○,1,w,164,,15,0,Ad,1,0
41,20,202009ハンブルク,クリスチャン・ガリン,2.0,4,圭,○,1,w,162,,30,0,Deuce,1,0
42,21,202009ハンブルク,クリスチャン・ガリン,2.0,4,圭,×,1,w,161,,40,0,Ad,0,1
43,22,202009ハンブルク,クリスチャン・ガリン,2.0,4,圭,×,1,b,171,,40,15,Deuce,0,1
44,23,202009ハンブルク,クリスチャン・ガリン,2.0,4,圭,○,1,w,185,,40,30,Ad,1,0
45,24,202009ハンブルク,クリスチャン・ガリン,2.0,5,狩,○,1,c,,,0,0,Deuce,1,0
46,25,202009ハンブルク,クリスチャン・ガリン,2.0,5,狩,×,2,w,,,15,0,Ad,0,1
47,26,202009ハンブルク,クリスチャン・ガリン,2.0,5,狩,○,1,w,172,,15,15,Deuce,1,0
48,27,202009ハンブルク,クリスチャン・ガリン,2.0,5,狩,×,1,c,,,30,15,Ad,0,1
49,28,202009ハンブルク,クリスチャン・ガリン,2.0,5,狩,○,2,b,,,30,30,Deuce,1,0
50,29,202009ハンブルク,クリスチャン・ガリン,2.0,5,狩,○,1,c,,,40,30,Ad,1,0
51,31,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,×,1,c,182,,0,0,Deuce,0,1
52,32,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,○,1,w,175,,0,15,Ad,1,0
53,33,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,○,1,c,170,,15,15,Deuce,1,0
54,34,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,○,1,w,162,,30,15,Ad,1,0
55,35,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,×,1,b,162,,40,15,Deuce,0,1
56,36,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,×,1,w,166,,40,30,Ad,0,1
57,37,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,×,1,c,,,40,40,Deuce,0,1
58,38,202009ハンブルク,クリスチャン・ガリン,2.0,6,圭,×,2,c,140,,40,Ad,Ad,0,1
59,39,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,○,1,w,173,,0,0,Deuce,1,0
60,40,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,○,1,w,,,15,0,Ad,1,0
61,41,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,○,2,c,,,30,0,Deuce,1,0
62,42,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,×,1,b,187,,40,0,Ad,0,1
63,43,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,×,1,w,176,,40,15,Deuce,0,1
64,44,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,×,1,c,204,,40,30,Ad,0,1
65,45,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,×,1,w,205,,40,40,Deuce,0,1
66,46,202009ハンブルク,クリスチャン・ガリン,2.0,9,狩,×,1,w,180,,40,Ad,Ad,0,1
