,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,1,圭,×,1,c,164,,0,0,Deuce,0,1
1,1,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,1,圭,○,1,c,169,,0,15,Ad,1,0
2,2,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,1,圭,×,1,w,,,15,15,Deuce,0,1
3,3,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,1,圭,○,2,c,145,,15,30,Ad,1,0
4,4,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,1,圭,○,1,c,171,,30,30,Deuce,1,0
5,5,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,1,圭,○,1,w,,,40,30,Ad,1,0
6,7,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,1,圭,○,1,c,169,,Ad,40,Ad,1,0
7,12,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,2,桔,×,1,b,,,0,0,Deuce,0,1
8,13,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,2,桔,○,2,c,136,,0,15,Ad,1,0
9,14,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,2,桔,○,1,c,194,,15,15,Deuce,1,0
10,15,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,2,桔,○,1,c,,,30,15,Ad,1,0
11,16,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,2,桔,○,2,c,138,,40,15,Deuce,1,0
12,28,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,3,圭,○,2,w,137,,0,0,Deuce,1,0
13,29,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,3,圭,○,1,c,156,,15,0,Ad,1,0
14,30,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,3,圭,○,1,c,182,Ac,30,0,Deuce,1,0
15,31,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,3,圭,○,1,w,,,40,0,Ad,1,0
16,47,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,4,桔,○,1,c,193,,0,0,Deuce,1,0
17,48,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,4,桔,○,1,w,,,15,0,Ad,1,0
18,49,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,4,桔,○,2,w,136,,30,0,Deuce,1,0
19,50,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,4,桔,×,1,w,,,40,0,Ad,0,1
20,51,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,4,桔,○,2,c,144,,40,15,Deuce,1,0
21,72,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,5,圭,×,1,w,,,0,0,Deuce,0,1
22,73,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,5,圭,○,2,c,147,,0,15,Ad,1,0
23,74,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,5,圭,×,1,w,173,,15,15,Deuce,0,1
24,75,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,5,圭,○,1,c,174,,15,30,Ad,1,0
25,76,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,5,圭,×,1,w,132,,30,30,Deuce,0,1
26,77,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,5,圭,×,1,w,168,,30,40,Ad,0,1
27,79,【復帰戦！】202009キッツビュール,ミオミル・ケツマノビッチ,1.0,5,圭,○,2,c,,Dc,40,Ad,Ad,1,0
