,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,202009ローマ,ゼッティ,1.0,1,無,×,1,1,111,,0,0,Deuce,0,1
1,1,202009ローマ,ゼッティ,1.0,1,無,×,,,111,,0,15,Ad,0,1
2,2,202009ローマ,ゼッティ,1.0,1,無,○,,,111,,0,30,Deuce,1,0
3,3,202009ローマ,ゼッティ,1.0,1,無,×,,,111,,15,30,Ad,0,1
4,4,202009ローマ,ゼッティ,1.0,1,無,○,,,111,,15,40,Deuce,1,0
5,5,202009ローマ,ゼッティ,1.0,1,無,○,,,111,,30,40,Ad,1,0
6,6,202009ローマ,ゼッティ,1.0,1,無,×,,,111,,40,40,Deuce,0,1
7,7,202009ローマ,ゼッティ,1.0,1,無,×,,,111,,40,Ad,Ad,0,1
8,8,202009ローマ,ゼッティ,1.0,2,圭,×,2,1,212,,0,0,Deuce,0,1
9,9,202009ローマ,ゼッティ,1.0,2,圭,○,2,d,122,,0,15,Ad,1,0
10,10,202009ローマ,ゼッティ,1.0,2,圭,○,,,122,,15,15,Deuce,1,0
11,11,202009ローマ,ゼッティ,1.0,2,圭,○,,,122,,30,15,Ad,1,0
12,12,202009ローマ,ゼッティ,1.0,2,圭,×,,,122,,40,15,Deuce,0,1
13,13,202009ローマ,ゼッティ,1.0,2,圭,×,,,122,,40,30,Ad,0,1
14,14,202009ローマ,ゼッティ,1.0,2,圭,○,,,122,,40,40,Deuce,1,0
15,15,202009ローマ,ゼッティ,1.0,2,圭,×,,,122,,Ad,40,Ad,0,1
16,18,202009ローマ,ゼッティ,1.0,3,無,○,2,1,212,,0,0,Deuce,1,0
17,19,202009ローマ,ゼッティ,1.0,3,無,×,,,212,,15,0,Ad,0,1
18,20,202009ローマ,ゼッティ,1.0,3,無,○,,,212,,15,15,Deuce,1,0
19,21,202009ローマ,ゼッティ,1.0,3,無,○,,,212,,30,15,Ad,1,0
20,22,202009ローマ,ゼッティ,1.0,3,無,×,,,212,,40,15,Deuce,0,1
21,23,202009ローマ,ゼッティ,1.0,3,無,×,,,212,,40,30,Ad,0,1
22,24,202009ローマ,ゼッティ,1.0,3,無,○,,,212,,40,40,Deuce,1,0
23,25,202009ローマ,ゼッティ,1.0,3,無,○,,,212,,Ad,40,Ad,1,0
24,0,202009ローマ,ラモス=ビニョラス,2.0,1,圭,○,1,c,,,0,0,Deuce,1,0
25,1,202009ローマ,ラモス=ビニョラス,2.0,1,圭,×,2,b,134,,15,0,Ad,0,1
26,2,202009ローマ,ラモス=ビニョラス,2.0,1,圭,○,1,c,,,15,15,Deuce,1,0
27,3,202009ローマ,ラモス=ビニョラス,2.0,1,圭,○,2,c,,Dc,30,15,Ad,1,0
28,4,202009ローマ,ラモス=ビニョラス,2.0,1,圭,○,1,w,158,,40,15,Deuce,1,0
29,10,202009ローマ,ラモス=ビニョラス,2.0,2,螺,×,1,c,153,,0,0,Deuce,0,1
30,11,202009ローマ,ラモス=ビニョラス,2.0,2,螺,×,1,c,162,,0,15,Ad,0,1
31,12,202009ローマ,ラモス=ビニョラス,2.0,2,螺,×,1,c,154,,0,30,Deuce,0,1
32,13,202009ローマ,ラモス=ビニョラス,2.0,2,螺,×,1,w,,,0,40,Ad,0,1
33,23,202009ローマ,ラモス=ビニョラス,2.0,3,圭,○,1,w,,,0,0,Deuce,1,0
34,24,202009ローマ,ラモス=ビニョラス,2.0,3,圭,×,2,w,134,,15,0,Ad,0,1
35,25,202009ローマ,ラモス=ビニョラス,2.0,3,圭,○,1,c,,,15,15,Deuce,1,0
36,26,202009ローマ,ラモス=ビニョラス,2.0,3,圭,○,2,c,120,,30,15,Ad,1,0
37,27,202009ローマ,ラモス=ビニョラス,2.0,3,圭,×,1,w,144,,40,15,Deuce,0,1
38,28,202009ローマ,ラモス=ビニョラス,2.0,3,圭,○,1,w,,,40,30,Ad,1,0
39,44,202009ローマ,ラモス=ビニョラス,2.0,4,螺,×,1,c,139,,0,0,Deuce,0,1
40,45,202009ローマ,ラモス=ビニョラス,2.0,4,螺,×,1,c,,,0,15,Ad,0,1
41,46,202009ローマ,ラモス=ビニョラス,2.0,4,螺,×,2,w,134,,0,30,Deuce,0,1
42,47,202009ローマ,ラモス=ビニョラス,2.0,4,螺,×,1,w,159,,0,40,Ad,0,1
43,67,202009ローマ,ラモス=ビニョラス,2.0,5,圭,○,1,c,,,0,0,Deuce,1,0
44,68,202009ローマ,ラモス=ビニョラス,2.0,5,圭,○,2,w,123,,15,0,Ad,1,0
45,69,202009ローマ,ラモス=ビニョラス,2.0,5,圭,○,1,w,173,,30,0,Deuce,1,0
46,70,202009ローマ,ラモス=ビニョラス,2.0,5,圭,×,1,c,167,,40,0,Ad,0,1
47,71,202009ローマ,ラモス=ビニョラス,2.0,5,圭,×,1,c,174,,40,15,Deuce,0,1
48,72,202009ローマ,ラモス=ビニョラス,2.0,5,圭,○,1,c,,,40,30,Ad,1,0
49,98,202009ローマ,ラモス=ビニョラス,2.0,6,螺,○,1,w,,,0,0,Deuce,1,0
50,99,202009ローマ,ラモス=ビニョラス,2.0,6,螺,×,2,c,129,,15,0,Ad,0,1
51,100,202009ローマ,ラモス=ビニョラス,2.0,6,螺,○,1,c,177,,15,15,Deuce,1,0
52,101,202009ローマ,ラモス=ビニョラス,2.0,6,螺,○,1,w,155,,30,15,Ad,1,0
53,102,202009ローマ,ラモス=ビニョラス,2.0,6,螺,×,1,w,150,,40,15,Deuce,0,1
54,103,202009ローマ,ラモス=ビニョラス,2.0,6,螺,○,1,c,161,,40,30,Ad,1,0
55,105,202009ローマ,ラモス=ビニョラス,2.0,6,螺,○,2,w,127,,Ad,40,Ad,1,0
56,108,202009ローマ,ラモス=ビニョラス,2.0,6,螺,×,1,w,,,40,40,Deuce,0,1
57,145,202009ローマ,ラモス=ビニョラス,2.0,7,圭,×,1,w,142,,0,0,Deuce,0,1
58,146,202009ローマ,ラモス=ビニョラス,2.0,7,圭,×,1,w,158,,0,15,Ad,0,1
59,147,202009ローマ,ラモス=ビニョラス,2.0,7,圭,○,1,w,139,,0,30,Deuce,1,0
60,148,202009ローマ,ラモス=ビニョラス,2.0,7,圭,○,1,w,,,15,30,Ad,1,0
61,149,202009ローマ,ラモス=ビニョラス,2.0,7,圭,○,2,w,113,,30,30,Deuce,1,0
62,150,202009ローマ,ラモス=ビニョラス,2.0,7,圭,×,1,c,,,40,30,Ad,0,1
63,151,202009ローマ,ラモス=ビニョラス,2.0,7,圭,×,2,w,125,,40,40,Deuce,0,1
64,152,202009ローマ,ラモス=ビニョラス,2.0,7,圭,○,1,w,,,40,Ad,Ad,1,0
65,154,202009ローマ,ラモス=ビニョラス,2.0,7,圭,○,1,c,,,Ad,40,Ad,1,0
66,201,202009ローマ,ラモス=ビニョラス,2.0,8,螺,×,1,c,160,,0,0,Deuce,0,1
